D = 2;
n = [ 5 5 ];
N = 66;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.56 0.03 0.80 0.81 0.68 0.90 0.90 0.82 0.95 0.67 0.08 0.73 0.63 0.81 0.06 0.59 1.00 0.36 0.90 0.36 0.08 0.34 0.57 0.10 0.64 0.56 0.72 0.73 0.70 0.91 0.94 0.50 0.33 0.85 0.17 0.33 0.03 0.69 0.44 0.05 0.42 0.18 0.05 0.53 0.97 0.53 0.59 0.16 0.21 0.60 0.11 0.44 0.92 0.28 0.99 0.16 0.56 0.76 0.60 0.64 0.89 0.76 0.18 0.96 0.41 ]
[0.56 1.00 0.72 0.79 0.71 0.98 0.98 0.27 0.46 0.62 0.30 0.88 0.94 0.73 0.60 0.63 0.36 0.20 0.85 0.49 0.88 0.50 0.44 0.00 0.64 0.78 0.89 0.33 0.69 0.68 0.02 0.17 0.13 0.87 0.85 0.72 0.93 0.23 0.43 0.10 0.93 0.41 0.18 0.66 0.63 0.64 0.84 0.18 0.94 0.93 0.63 0.03 0.35 0.33 0.86 0.33 0.45 0.72 0.66 0.75 0.10 0.30 0.72 0.28 0.44 0.52 ]
[0.03 0.72 1.00 0.89 0.92 0.21 0.14 0.48 0.28 0.65 0.08 0.06 0.73 0.37 0.30 0.41 0.72 0.91 0.17 0.12 0.63 0.51 0.70 0.73 0.63 0.43 0.51 0.13 1.00 0.25 0.58 0.90 0.48 0.81 0.09 0.26 0.73 0.20 0.20 0.16 0.36 0.27 0.06 0.32 0.45 0.26 0.82 0.88 0.39 0.68 0.55 0.20 0.57 0.01 0.31 0.05 0.32 0.54 0.58 0.11 0.74 0.72 0.74 0.34 0.60 0.55 ]
[0.80 0.79 0.89 1.00 0.25 0.28 0.52 0.38 0.51 0.08 0.24 0.29 0.90 0.65 0.52 0.36 0.36 0.88 0.95 0.96 0.35 0.61 0.05 0.29 0.93 0.51 0.34 0.26 0.64 0.77 0.13 0.91 0.86 0.67 0.11 0.12 0.41 0.96 0.81 0.96 0.96 0.67 0.16 0.46 0.75 0.93 0.90 0.66 0.79 0.28 0.28 0.28 0.32 0.05 0.83 0.28 0.82 0.97 0.55 0.81 0.43 0.99 0.11 0.50 0.41 0.07 ]
[0.81 0.71 0.92 0.25 1.00 0.31 0.80 0.34 0.16 0.77 0.51 0.07 0.14 0.57 0.49 0.61 0.52 0.34 0.92 0.80 0.80 0.66 0.04 0.65 0.65 0.32 0.32 0.62 0.49 0.66 0.16 0.31 0.01 0.87 0.34 0.40 0.15 0.44 0.01 0.92 0.24 0.81 0.04 0.55 0.72 0.54 0.46 0.57 0.57 0.71 0.74 0.13 0.47 0.81 0.81 0.76 0.03 0.39 0.46 0.87 0.39 0.77 0.77 0.93 0.97 0.19 ]
[0.68 0.98 0.21 0.28 0.31 1.00 0.94 0.37 0.95 0.62 0.39 0.85 0.66 0.50 0.64 0.89 0.63 0.81 0.67 0.54 0.65 0.26 0.86 0.39 0.76 0.26 0.05 0.27 0.25 0.86 0.17 0.46 0.29 0.34 0.25 0.96 1.00 0.49 0.96 0.90 0.22 0.58 0.05 0.39 0.30 0.80 0.30 0.98 0.95 0.71 0.41 0.48 0.20 0.26 0.59 0.95 0.01 0.38 0.79 0.38 0.72 0.86 0.31 0.12 0.93 0.89 ]
[0.90 0.98 0.14 0.52 0.80 0.94 1.00 0.32 0.71 0.50 0.63 0.02 0.89 0.97 0.87 0.19 0.30 0.99 0.84 0.49 0.54 0.99 0.36 0.58 0.81 0.98 0.61 0.89 0.65 0.97 0.49 0.50 0.83 0.19 0.25 0.50 0.71 0.15 0.27 0.81 0.35 0.04 0.34 0.32 0.28 0.61 0.04 0.23 0.20 0.39 0.91 0.76 0.01 0.78 0.46 0.26 0.57 0.81 0.65 0.93 0.59 0.96 0.68 0.96 0.76 0.10 ]
[0.90 0.27 0.48 0.38 0.34 0.37 0.32 1.00 0.58 0.54 0.27 0.57 0.85 0.47 0.70 0.14 0.42 0.39 0.36 0.24 0.93 0.04 0.49 0.75 0.57 0.06 0.81 0.52 0.78 0.57 0.08 0.29 0.55 0.06 0.60 0.18 0.36 0.57 0.87 0.36 0.08 0.00 0.89 0.08 0.98 0.63 0.64 0.95 0.40 0.99 0.17 0.31 0.24 0.09 0.90 0.05 0.70 0.23 0.99 0.20 0.92 0.95 0.30 0.23 0.26 0.89 ]
[0.82 0.46 0.28 0.51 0.16 0.95 0.71 0.58 1.00 0.62 0.78 0.65 0.82 0.37 0.27 0.27 0.77 0.69 0.30 0.35 0.44 0.69 0.97 0.14 0.59 0.09 0.21 0.16 0.36 0.51 0.51 0.54 0.37 0.56 0.37 0.21 0.17 0.31 0.37 0.34 0.15 0.61 0.08 0.95 0.48 0.34 0.66 0.53 0.08 0.10 0.67 0.02 0.88 0.29 0.96 0.47 0.73 0.82 0.76 0.82 0.68 0.80 0.87 0.46 0.45 0.42 ]
[0.95 0.62 0.65 0.08 0.77 0.62 0.50 0.54 0.62 1.00 0.70 0.01 0.50 0.78 0.47 0.97 0.70 0.47 0.66 0.58 0.70 0.85 0.96 0.62 0.58 0.39 0.71 0.29 0.20 0.28 0.85 0.98 0.56 0.74 0.79 0.55 0.28 0.46 0.81 0.25 0.05 0.93 0.42 0.84 0.22 0.65 0.45 0.11 0.26 0.34 0.05 0.47 0.24 0.59 0.25 0.84 0.95 0.02 0.67 0.88 0.54 0.12 0.89 0.48 0.02 0.60 ]
