D = 6;
n = [ 4 4 4 4 4 4 ];
N = 75;
d = [1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.51 0.80 0.38 0.74 0.81 0.68 0.84 0.75 0.27 0.28 0.24 0.17 0.44 0.00 0.10 0.21 0.08 0.40 0.30 0.58 0.38 0.63 0.91 0.31 0.39 0.33 0.23 0.73 0.87 0.25 0.69 0.62 0.01 0.13 0.08 0.06 0.01 0.09 0.31 0.49 0.32 0.57 0.59 0.76 0.05 0.04 0.73 0.81 0.61 0.23 0.67 0.82 0.77 0.76 0.02 0.13 0.19 0.14 0.05 0.26 0.42 0.23 0.15 0.03 0.84 0.08 0.63 0.26 0.55 0.68 0.91 0.59 0.92 0.79 ]
[0.51 1.00 0.49 0.84 0.51 0.20 0.88 0.22 0.98 0.11 0.46 0.43 0.72 0.18 0.79 0.61 0.04 0.92 0.06 0.18 0.21 0.98 0.26 0.99 0.69 0.10 0.65 0.18 0.18 0.51 0.64 0.78 0.33 0.26 0.93 0.80 0.99 0.81 0.71 0.74 0.14 0.75 0.57 0.23 0.10 0.30 0.58 0.35 0.21 0.06 0.23 0.04 0.25 0.20 0.80 0.87 0.80 0.10 0.38 0.92 0.29 0.10 0.49 0.09 0.51 0.22 0.67 0.08 0.48 0.58 0.83 0.83 0.14 0.15 0.27 ]
[0.80 0.49 1.00 0.01 0.59 0.61 0.27 0.16 0.08 0.29 0.72 0.25 0.84 0.97 0.53 0.03 0.17 0.27 0.78 0.59 0.76 0.85 0.91 0.53 0.18 0.84 0.99 0.88 0.06 0.85 0.62 0.35 0.22 0.27 0.93 0.61 0.35 0.64 0.44 0.04 0.55 0.25 0.26 0.89 0.75 1.00 0.25 0.92 0.68 0.30 1.00 0.79 0.14 0.73 0.98 0.89 0.19 0.06 0.45 0.05 0.11 0.93 0.55 0.79 0.34 0.23 0.68 0.79 0.43 0.14 0.06 0.19 0.31 0.64 0.68 ]
[0.38 0.84 0.01 1.00 0.33 0.98 0.90 0.68 0.54 0.45 0.47 0.70 0.35 0.21 0.37 0.40 0.02 0.58 0.58 0.42 0.50 0.23 0.73 0.97 0.23 1.00 0.52 0.62 0.62 0.76 0.95 0.57 0.43 0.26 0.66 0.29 0.69 0.21 0.42 0.34 0.55 0.77 0.92 0.33 0.23 0.02 0.87 0.15 0.15 0.37 0.19 0.95 0.13 0.98 0.28 0.82 0.81 0.36 0.31 0.59 0.68 0.27 0.31 0.68 0.81 0.49 0.24 0.05 0.24 0.22 0.76 0.28 0.56 0.68 0.10 ]
[0.74 0.51 0.59 0.33 1.00 0.38 0.63 0.28 0.63 0.35 0.33 0.06 0.10 0.48 0.88 0.49 0.48 0.39 0.47 0.80 0.38 0.00 0.96 0.09 0.75 0.72 0.42 0.25 0.24 0.38 0.53 0.48 0.08 0.13 0.60 0.48 0.29 0.42 0.87 0.37 0.87 0.52 0.75 0.00 0.88 0.56 0.19 0.09 0.17 0.80 0.38 0.25 0.38 0.29 0.51 0.42 0.88 0.54 0.01 0.24 0.90 0.79 0.59 0.97 0.74 0.14 0.86 0.14 0.23 0.41 0.74 0.34 0.71 0.61 0.03 ]
[0.81 0.20 0.61 0.98 0.38 1.00 0.58 0.71 0.55 0.37 0.71 0.13 0.14 0.28 0.81 0.72 0.61 0.52 0.42 0.64 0.14 0.10 0.79 0.58 0.27 0.58 0.83 0.41 0.48 0.94 0.80 0.50 0.47 0.41 0.31 0.51 0.95 0.77 0.40 0.54 0.61 0.84 0.07 0.85 0.19 0.74 0.99 0.61 0.84 0.82 0.21 0.19 0.67 0.15 0.35 0.38 0.92 0.59 0.76 0.01 0.52 0.07 0.65 0.27 0.07 0.65 0.87 0.69 0.06 0.65 0.43 0.05 0.81 0.37 0.23 ]
[0.68 0.88 0.27 0.90 0.63 0.58 1.00 0.25 0.95 0.59 0.47 0.63 0.61 0.75 0.89 0.72 0.28 0.67 0.90 0.36 0.29 0.82 0.98 0.55 0.95 0.02 0.91 0.75 0.44 0.75 0.83 0.31 0.33 0.06 0.69 0.43 0.83 0.84 0.85 0.32 0.95 0.13 0.79 0.85 0.25 0.19 0.59 0.61 0.30 0.62 0.59 0.10 1.00 0.14 0.89 0.05 0.03 0.61 0.99 0.31 0.71 0.48 0.40 0.22 0.56 0.65 0.09 0.22 0.71 0.43 0.25 0.94 0.69 0.10 0.29 ]
[0.84 0.22 0.16 0.68 0.28 0.71 0.25 1.00 0.05 0.19 0.72 0.45 0.11 0.01 0.79 0.08 0.30 0.01 0.34 0.18 0.88 0.10 0.81 0.81 0.74 0.14 0.98 1.00 0.92 0.97 0.20 0.16 0.29 0.78 0.22 0.21 0.09 0.78 0.93 0.37 0.17 0.63 0.14 0.08 0.04 1.00 0.16 0.98 0.70 0.01 0.32 0.55 0.25 0.90 0.73 0.35 0.21 0.01 0.26 0.16 0.62 0.19 0.68 0.74 0.07 0.68 0.22 0.03 0.92 0.10 0.28 0.76 0.28 0.41 0.53 ]
[0.75 0.98 0.08 0.54 0.63 0.55 0.95 0.05 1.00 0.72 0.15 0.68 0.51 0.43 0.46 0.16 0.38 0.47 0.41 0.56 0.52 0.44 0.08 0.53 0.28 0.41 0.35 0.51 0.26 0.18 0.91 0.27 0.29 0.93 0.06 0.58 0.41 0.08 0.12 0.17 0.84 0.79 0.12 0.07 0.24 0.95 0.84 0.54 0.26 0.74 0.00 0.03 0.29 0.19 0.52 0.92 0.07 0.43 0.65 0.21 0.44 0.39 0.44 0.97 0.33 0.03 0.96 0.78 0.95 0.65 0.70 0.54 0.72 0.84 0.17 ]
[0.27 0.11 0.29 0.45 0.35 0.37 0.59 0.19 0.72 1.00 0.52 0.79 0.83 0.77 0.44 0.24 0.51 0.09 0.15 0.90 0.35 0.57 0.36 0.25 0.81 0.64 0.06 0.27 0.91 0.50 0.00 0.47 0.00 0.66 0.90 0.08 0.31 0.55 0.40 0.73 0.41 0.58 0.76 0.11 0.22 0.94 0.58 0.45 0.71 0.83 0.64 0.04 0.01 0.05 0.95 0.44 0.41 0.30 0.60 0.80 0.32 0.14 0.61 0.42 0.33 0.90 0.64 0.31 0.19 0.35 0.01 0.33 0.08 0.34 0.07 ]
