D = 6;
n = [ 4 4 4 4 4 4 ];
N = 73;
d = [1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.06 0.52 0.36 0.08 0.72 0.87 0.70 0.00 0.09 0.44 0.09 0.56 0.06 0.58 0.55 0.73 0.41 0.20 0.04 0.46 0.08 0.56 0.15 0.04 0.81 0.90 0.45 0.01 0.10 0.68 0.22 0.01 0.21 0.60 0.40 0.56 0.75 0.01 0.67 0.45 0.06 0.92 0.54 0.39 0.42 0.67 0.89 0.62 0.77 0.17 0.52 0.77 0.35 0.89 0.49 0.08 0.02 0.97 0.20 0.19 0.72 0.78 0.91 0.21 0.13 0.61 0.01 0.67 0.18 0.52 0.86 0.26 ]
[0.06 1.00 0.86 0.82 0.74 0.38 0.87 0.59 0.79 0.42 0.81 0.68 0.37 0.38 0.91 0.67 0.29 0.17 0.53 0.83 0.69 0.04 0.68 0.37 0.65 0.94 0.31 0.48 0.78 0.45 0.15 0.63 0.97 0.54 0.56 0.47 0.16 0.48 0.08 0.53 0.13 0.01 0.80 0.89 0.77 0.92 0.92 0.23 0.35 0.46 0.19 0.42 0.73 0.27 0.09 0.57 0.67 0.32 0.13 0.03 0.31 0.35 0.76 0.28 0.89 0.17 0.80 0.19 0.34 0.06 0.02 0.27 0.14 ]
[0.52 0.86 1.00 0.71 0.17 0.55 0.48 0.03 0.26 0.65 0.19 0.12 0.15 0.24 0.18 0.48 0.05 0.51 0.59 0.05 0.82 0.56 0.92 0.14 0.25 0.59 0.69 0.19 0.84 0.60 0.36 0.16 0.04 0.30 0.28 0.43 0.13 0.52 0.02 0.87 0.34 0.40 0.97 0.77 0.90 0.67 0.47 0.94 0.34 0.70 0.60 0.89 0.26 0.35 0.16 0.81 0.67 0.90 0.63 0.28 0.21 0.10 0.53 0.34 0.75 0.87 0.27 0.98 0.35 0.32 0.26 0.73 0.42 ]
[0.36 0.82 0.71 1.00 0.83 0.25 0.81 0.88 0.74 0.67 0.35 0.41 0.11 0.21 0.32 0.64 0.06 0.09 0.73 0.66 0.54 0.79 0.01 0.81 0.90 0.92 0.92 0.20 0.22 0.32 0.14 0.88 0.44 0.94 0.33 0.05 0.52 0.07 0.30 0.74 0.33 0.58 0.85 0.07 0.58 0.21 0.12 0.35 0.53 0.95 0.24 0.32 0.47 0.50 0.46 0.06 0.66 0.77 0.65 0.43 0.70 0.78 0.18 0.38 0.73 0.34 0.90 0.08 0.57 0.70 0.55 0.28 0.97 ]
[0.08 0.74 0.17 0.83 1.00 0.36 0.20 0.13 0.09 0.06 0.56 0.32 0.13 0.86 0.82 0.42 0.41 0.78 0.57 0.06 0.33 0.18 0.11 0.54 0.55 0.25 0.55 0.44 0.63 0.76 0.02 0.37 0.18 0.27 0.03 0.46 0.31 0.34 0.12 0.27 0.33 0.87 0.82 0.68 0.96 0.12 0.76 0.32 0.61 0.73 0.48 0.55 0.20 0.19 0.32 0.01 0.96 0.93 0.74 0.30 0.24 0.89 0.32 0.77 0.49 0.20 0.01 0.41 0.16 0.44 0.52 0.81 0.58 ]
[0.72 0.38 0.55 0.25 0.36 1.00 0.03 0.83 0.47 0.41 0.79 0.97 0.84 0.67 0.18 0.01 0.40 0.34 0.09 0.40 0.01 0.07 0.44 0.14 0.21 0.49 0.62 0.17 0.96 0.97 0.01 0.67 0.36 0.21 0.26 0.43 0.19 0.26 0.28 0.11 0.18 0.71 0.82 0.12 0.35 0.78 0.80 0.78 0.67 0.67 0.70 0.75 0.11 0.96 0.14 0.59 0.85 0.16 0.80 0.03 0.14 0.99 0.07 0.18 0.71 0.51 0.59 0.64 0.83 0.93 0.02 0.62 0.93 ]
[0.87 0.87 0.48 0.81 0.20 0.03 1.00 0.24 0.19 0.79 0.12 0.23 0.39 0.70 0.46 0.85 0.45 0.59 0.85 0.40 0.54 0.29 0.10 0.06 0.95 0.28 0.48 0.09 0.51 0.77 0.04 0.73 0.93 0.79 0.21 0.42 0.37 0.96 0.45 0.06 0.32 0.56 0.91 0.84 0.02 0.64 0.81 0.63 0.04 0.24 0.48 0.58 0.38 0.53 0.78 0.17 0.93 0.92 0.87 0.71 0.40 0.58 0.42 0.74 0.89 0.04 0.00 0.72 0.15 0.85 0.70 0.79 0.56 ]
[0.70 0.59 0.03 0.88 0.13 0.83 0.24 1.00 0.31 0.04 0.59 0.52 0.67 0.91 0.13 0.66 0.39 0.62 0.75 0.80 0.04 0.58 0.74 0.90 0.89 0.59 0.32 0.70 0.73 0.05 0.69 0.18 0.61 0.83 0.87 0.29 0.97 0.23 0.43 0.80 0.33 0.64 0.86 0.43 0.37 0.71 0.80 0.74 0.49 0.79 0.69 0.21 0.60 0.97 1.00 0.45 0.33 0.26 0.99 0.94 0.56 0.55 0.22 0.10 0.39 0.22 0.17 0.12 0.39 0.68 0.23 0.77 0.47 ]
[0.00 0.79 0.26 0.74 0.09 0.47 0.19 0.31 1.00 0.18 0.31 0.61 0.23 0.67 0.23 0.25 0.94 0.74 0.26 0.68 0.02 0.45 0.51 0.32 0.15 0.18 0.50 0.83 0.76 0.70 0.07 0.78 0.41 0.35 0.72 0.56 0.90 0.91 0.06 0.33 0.21 0.25 0.92 0.62 0.79 0.84 0.57 0.00 0.34 0.89 0.04 0.57 0.95 0.28 0.05 0.51 0.99 0.97 0.74 0.82 0.74 0.74 0.37 0.00 0.97 0.24 0.87 0.80 0.30 0.48 0.78 0.30 0.37 ]
[0.09 0.42 0.65 0.67 0.06 0.41 0.79 0.04 0.18 1.00 0.39 0.55 0.07 0.25 0.99 0.59 0.67 0.20 0.62 0.19 0.84 0.59 0.93 0.66 0.90 0.41 0.10 0.10 0.15 0.90 0.46 0.98 0.65 0.81 0.48 0.22 0.29 0.36 0.71 0.01 0.70 0.29 0.40 0.73 0.22 0.67 0.52 0.76 0.84 0.76 0.57 0.40 0.19 0.56 0.59 0.25 0.56 0.32 0.28 0.78 0.91 0.25 0.20 0.03 0.79 0.28 0.74 0.52 0.09 0.71 0.28 0.92 0.41 ]
