D = 6;
n = [ 2 2 2 2 2 2 ];
N = 59;
d = [1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.90 0.70 0.22 0.63 0.07 0.87 0.47 0.75 0.22 0.64 0.68 0.72 0.33 0.99 0.80 0.37 0.45 0.92 0.34 0.26 0.71 0.45 0.48 0.52 0.16 0.22 0.13 0.69 0.67 0.09 0.69 0.68 0.50 0.32 0.27 0.70 0.76 0.88 0.05 0.88 0.03 0.96 0.69 0.61 0.40 0.87 0.08 0.39 0.84 0.11 0.23 0.68 0.25 0.15 0.82 0.31 0.61 0.88 ]
[0.90 1.00 0.45 0.72 0.20 0.40 0.51 0.08 0.49 0.23 0.59 0.54 0.59 0.09 0.63 0.28 0.73 0.40 0.90 0.00 0.30 0.13 0.64 0.69 0.07 0.42 0.58 0.08 0.61 0.45 0.02 0.77 0.29 0.36 0.69 0.58 0.16 0.55 0.70 0.34 0.96 0.99 0.57 0.76 0.77 0.52 0.04 0.92 0.13 0.34 0.29 0.19 0.08 0.17 0.64 0.13 0.58 0.31 0.58 ]
[0.70 0.45 1.00 0.80 0.59 0.48 0.73 0.97 0.54 0.02 0.38 0.75 0.50 0.57 0.78 0.35 0.10 0.16 0.56 0.34 0.53 0.18 0.75 0.58 0.81 0.71 0.80 0.29 0.51 0.94 0.58 0.02 0.32 0.13 0.15 0.51 0.17 0.43 0.90 0.40 0.21 0.56 0.64 0.76 0.26 0.83 0.24 0.97 0.25 0.44 0.86 0.48 0.34 0.61 0.19 0.90 0.84 0.02 0.15 ]
[0.22 0.72 0.80 1.00 0.16 0.59 0.20 0.51 0.67 0.16 0.81 0.60 0.95 0.10 0.34 0.98 0.94 0.84 0.74 0.49 0.16 0.56 0.24 0.94 0.25 0.26 0.71 0.06 0.07 0.94 0.05 0.31 0.91 0.89 0.66 0.46 0.88 0.67 0.63 0.25 0.86 0.15 0.18 0.51 0.96 0.46 0.98 0.54 0.13 0.53 0.59 0.44 0.46 0.45 0.89 0.74 0.58 0.88 0.72 ]
[0.63 0.20 0.59 0.16 1.00 0.01 0.99 0.40 0.72 0.15 0.73 0.08 0.47 0.17 0.62 0.46 0.83 0.89 0.51 0.88 0.06 0.97 0.81 0.34 0.06 0.30 0.30 0.55 1.00 0.48 0.21 0.32 0.56 0.48 0.09 0.78 0.63 0.53 0.61 0.91 0.58 0.45 0.16 0.32 0.77 0.89 0.07 0.87 0.53 0.06 0.45 0.66 0.40 0.15 0.20 0.89 0.11 0.72 0.92 ]
[0.07 0.40 0.48 0.59 0.01 1.00 0.58 0.57 0.93 0.70 0.32 0.14 0.19 0.86 0.39 0.08 0.09 0.70 0.56 0.24 0.31 0.08 0.53 0.25 0.15 0.87 0.58 0.09 0.56 0.69 0.50 0.05 0.45 0.44 0.76 0.90 0.01 0.45 0.80 0.44 0.92 0.37 0.76 0.51 0.68 0.43 0.40 0.91 0.25 0.88 0.14 0.39 0.68 0.81 0.24 0.78 0.44 0.82 0.45 ]
[0.87 0.51 0.73 0.20 0.99 0.58 1.00 0.31 0.30 0.42 0.77 0.23 0.16 0.57 0.93 0.37 0.93 0.68 0.73 0.88 0.08 0.19 0.47 0.38 0.96 0.74 0.53 0.44 0.37 0.58 0.57 0.77 0.09 0.80 0.32 0.17 0.59 0.32 0.97 0.66 0.79 0.60 0.52 0.61 0.36 0.46 0.37 0.58 0.15 0.52 0.42 0.59 0.30 0.74 0.36 0.56 0.41 0.38 0.50 ]
[0.47 0.08 0.97 0.51 0.40 0.57 0.31 1.00 0.65 0.22 0.67 0.00 0.74 0.22 0.84 0.50 0.43 0.42 0.10 0.85 0.96 0.95 0.78 0.22 0.66 0.46 0.67 0.35 0.82 0.08 0.84 0.19 0.99 0.46 0.69 0.61 0.36 0.01 0.31 0.99 0.01 0.67 0.83 0.10 0.22 0.33 0.32 0.24 0.86 0.62 0.41 0.12 0.13 0.17 0.12 0.00 0.85 0.77 0.02 ]
[0.75 0.49 0.54 0.67 0.72 0.93 0.30 0.65 1.00 0.11 0.60 0.36 0.99 0.45 0.64 0.43 0.46 0.62 0.98 0.03 0.74 0.02 0.26 0.96 0.78 0.42 0.97 0.91 0.98 0.38 0.90 0.89 0.67 0.16 0.10 0.08 0.55 0.20 0.58 0.25 0.74 0.08 0.03 0.29 0.03 0.25 0.07 0.16 0.15 0.91 0.36 0.98 0.81 0.77 0.68 0.48 0.16 0.67 0.71 ]
[0.22 0.23 0.02 0.16 0.15 0.70 0.42 0.22 0.11 1.00 0.77 0.94 0.37 0.12 0.38 0.31 0.47 0.88 0.52 0.14 0.18 0.96 0.47 0.97 0.90 0.79 0.17 0.84 0.80 0.53 0.94 0.51 0.05 0.50 0.94 0.85 0.93 0.38 0.70 0.49 0.54 0.08 0.15 0.19 0.72 0.71 0.96 0.05 0.44 0.55 0.51 0.12 0.41 0.38 0.31 0.67 0.42 0.98 0.95 ]
