D = 2;
n = [ 4 4 ];
N = 65;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.15 0.08 0.86 0.02 0.35 0.33 0.58 0.68 0.64 0.36 0.84 0.41 0.30 0.42 0.31 0.68 0.96 0.87 0.06 0.42 0.81 0.85 0.11 0.77 0.79 0.61 0.71 0.10 0.13 0.89 0.01 0.46 0.96 0.98 0.43 0.09 0.02 0.03 0.20 0.26 0.17 0.07 0.60 0.13 0.75 0.95 0.03 0.49 0.18 0.72 0.43 0.86 0.91 0.37 0.67 0.59 0.40 0.43 0.49 0.66 0.18 0.20 0.57 0.74 ]
[0.15 1.00 0.86 0.60 0.62 0.33 0.86 0.93 0.74 0.83 0.82 0.10 0.58 0.64 0.52 0.41 0.87 0.85 0.56 0.52 0.45 0.81 0.89 0.24 0.49 0.11 0.65 0.68 0.15 0.05 0.56 0.60 0.23 0.65 0.09 0.39 0.52 0.04 0.45 0.85 0.76 0.98 0.28 0.52 0.13 0.27 0.05 0.22 0.54 0.14 0.34 0.73 0.08 0.05 0.93 0.71 0.83 0.63 0.07 0.61 0.89 0.06 0.19 0.71 0.95 ]
[0.08 0.86 1.00 0.22 0.50 0.90 0.00 0.76 0.54 0.21 0.86 0.05 0.14 0.87 0.58 0.66 0.75 0.98 0.62 0.70 0.03 0.16 0.10 0.82 0.66 0.50 0.84 0.47 0.99 0.79 0.46 0.20 0.73 0.88 0.32 0.79 0.43 0.88 0.76 0.57 1.00 0.25 0.53 0.99 0.25 0.97 0.11 0.10 0.78 0.48 0.24 0.79 0.29 0.42 0.77 0.28 0.40 0.76 0.16 0.20 0.11 0.64 0.33 0.80 0.90 ]
[0.86 0.60 0.22 1.00 0.27 0.61 0.45 0.81 0.88 0.05 0.52 0.30 0.65 0.12 0.74 0.33 0.27 0.26 0.19 0.71 0.50 0.92 0.36 0.58 0.02 0.91 0.04 0.16 0.27 0.55 0.01 0.50 0.55 0.21 0.42 0.61 0.65 0.26 0.89 0.70 0.48 0.38 0.56 0.17 0.76 0.63 0.90 0.58 0.70 0.21 0.80 0.10 0.45 0.88 0.74 0.69 0.99 0.64 0.62 0.64 0.81 0.43 0.18 0.62 0.22 ]
[0.02 0.62 0.50 0.27 1.00 0.46 0.97 0.77 0.78 0.26 0.69 0.58 0.21 0.77 0.47 0.83 0.93 0.92 0.64 0.39 0.33 0.19 0.00 0.49 0.13 0.50 0.74 0.95 0.16 0.16 0.25 0.62 0.00 0.39 0.34 0.30 0.17 0.77 0.72 0.39 0.30 0.16 0.63 0.57 0.76 0.75 0.39 0.58 0.77 0.96 0.78 0.33 0.61 0.39 0.97 0.93 0.17 0.30 0.93 0.85 0.97 0.73 0.26 0.77 0.96 ]
[0.35 0.33 0.90 0.61 0.46 1.00 0.90 0.42 0.95 0.56 0.79 0.46 0.85 0.55 1.00 0.40 0.33 0.24 0.25 0.99 0.32 0.40 0.08 0.61 0.91 0.68 0.93 0.35 0.79 0.99 0.84 0.83 0.47 0.94 0.31 0.70 0.45 0.44 0.90 0.59 0.12 0.68 0.76 0.86 0.33 0.36 0.41 0.41 0.38 0.25 0.69 0.48 0.50 0.45 0.49 0.06 0.13 0.58 0.04 0.80 0.72 0.42 0.08 0.34 0.34 ]
[0.33 0.86 0.00 0.45 0.97 0.90 1.00 0.38 0.03 0.89 0.79 0.38 0.72 0.70 0.20 0.98 0.39 0.90 0.33 0.34 0.83 0.19 0.98 0.20 0.60 0.74 0.20 0.52 0.79 0.99 0.60 0.42 0.49 0.67 0.35 0.58 0.57 0.37 0.91 0.76 0.14 0.93 0.49 0.99 0.82 0.81 0.45 0.73 0.75 0.04 0.74 0.80 0.31 0.79 0.71 0.52 0.29 0.25 0.03 0.64 0.85 0.87 0.55 0.25 0.27 ]
[0.58 0.93 0.76 0.81 0.77 0.42 0.38 1.00 0.47 0.52 0.91 0.80 0.75 0.98 0.88 0.61 0.32 0.09 0.88 0.00 1.00 0.64 0.28 0.22 0.99 0.36 0.67 0.98 0.92 0.78 0.11 0.15 0.03 0.57 0.22 0.43 0.69 0.01 0.56 0.44 0.58 0.29 0.66 0.53 0.84 0.13 0.42 0.56 0.93 0.64 0.22 0.43 0.32 0.49 0.64 0.72 0.01 0.53 0.28 0.64 0.49 0.72 0.91 0.25 0.78 ]
[0.68 0.74 0.54 0.88 0.78 0.95 0.03 0.47 1.00 0.39 0.60 0.08 0.80 0.37 0.21 0.34 0.52 0.98 0.09 0.72 0.28 0.22 0.01 0.72 0.49 0.83 0.89 0.01 0.18 0.84 0.34 0.19 0.38 0.74 0.90 0.38 0.46 0.74 0.17 0.73 0.24 0.86 0.48 0.48 0.92 0.98 0.49 0.61 0.94 0.36 0.18 0.73 0.16 0.51 0.61 0.08 0.37 0.94 0.12 0.60 0.99 0.28 0.85 0.75 0.33 ]
[0.64 0.83 0.21 0.05 0.26 0.56 0.89 0.52 0.39 1.00 0.40 0.72 0.61 0.76 0.83 0.08 0.05 0.01 0.99 0.80 0.83 0.12 0.56 0.86 0.54 0.70 0.28 0.20 0.34 0.85 0.98 0.90 0.79 0.40 0.60 0.01 0.31 0.76 0.23 0.84 0.77 0.53 0.82 0.54 0.59 0.49 0.95 0.82 0.95 0.93 0.38 0.28 0.16 0.48 0.64 0.04 0.57 0.82 0.56 0.19 0.73 0.90 0.03 0.35 0.91 ]
[0.36 0.82 0.86 0.52 0.69 0.79 0.79 0.91 0.60 0.40 1.00 0.40 0.43 0.62 0.50 0.12 0.16 0.78 0.43 0.59 0.82 0.54 0.72 0.41 0.03 0.12 0.72 0.78 0.59 0.58 0.56 0.76 0.86 0.35 0.28 0.60 0.07 0.59 0.63 0.56 0.36 0.26 0.80 0.18 0.67 0.33 0.89 0.98 0.44 0.13 0.76 0.20 0.44 0.60 0.47 0.49 0.08 0.07 0.32 0.76 0.86 0.04 0.39 0.79 0.11 ]
[0.84 0.10 0.05 0.30 0.58 0.46 0.38 0.80 0.08 0.72 0.40 1.00 0.96 0.64 0.38 0.74 0.09 0.93 0.31 0.92 0.83 0.88 0.09 0.71 0.81 0.20 0.67 0.43 0.98 0.20 0.03 0.65 0.05 0.03 0.36 0.62 0.80 0.41 0.97 0.28 0.09 0.12 0.04 0.62 0.83 0.97 0.32 0.87 0.06 0.59 0.87 0.49 0.84 0.44 0.44 0.61 0.19 0.25 0.45 0.71 0.70 0.80 0.76 0.41 0.49 ]
[0.41 0.58 0.14 0.65 0.21 0.85 0.72 0.75 0.80 0.61 0.43 0.96 1.00 0.14 0.03 0.23 0.34 0.33 0.32 0.19 0.74 0.64 0.39 0.66 0.57 0.94 0.75 0.54 0.55 0.22 0.40 0.48 0.12 0.17 0.48 0.30 0.61 0.43 0.13 0.30 0.70 0.20 0.95 0.63 0.18 0.27 0.91 0.96 0.51 0.88 0.61 0.51 0.23 0.07 0.29 0.03 0.97 0.04 0.62 0.34 0.31 0.08 0.57 0.73 0.89 ]
[0.30 0.64 0.87 0.12 0.77 0.55 0.70 0.98 0.37 0.76 0.62 0.64 0.14 1.00 0.82 0.19 0.41 0.19 0.94 0.21 0.85 0.46 0.14 0.99 0.41 0.42 0.59 0.68 0.34 0.34 0.79 0.59 0.62 0.74 0.45 0.78 0.46 0.81 0.69 1.00 0.76 0.12 0.47 0.08 0.29 0.82 0.99 0.24 0.99 0.81 0.70 0.54 0.76 0.46 0.49 0.64 0.65 0.91 0.36 0.06 0.53 0.98 0.08 0.39 0.71 ]
[0.42 0.52 0.58 0.74 0.47 1.00 0.20 0.88 0.21 0.83 0.50 0.38 0.03 0.82 1.00 0.92 0.09 0.43 0.02 0.74 0.38 1.00 0.40 0.79 0.29 0.20 0.19 0.74 0.79 0.12 0.15 0.76 0.91 0.00 0.26 0.37 0.27 0.05 0.46 0.29 0.42 0.75 0.48 1.00 0.76 0.88 0.88 0.30 0.84 0.27 0.68 0.73 0.83 0.74 0.49 0.91 0.67 0.04 0.62 0.95 0.41 0.42 0.28 0.07 0.54 ]
[0.31 0.41 0.66 0.33 0.83 0.40 0.98 0.61 0.34 0.08 0.12 0.74 0.23 0.19 0.92 1.00 0.49 0.28 0.07 0.97 0.25 0.06 0.56 0.53 0.80 0.94 0.28 0.73 0.20 0.71 0.83 0.74 0.20 0.96 0.13 0.85 0.01 0.21 0.09 0.69 0.89 0.64 0.27 0.24 0.15 0.01 0.04 0.76 0.17 0.18 0.99 0.60 0.07 0.28 0.48 0.81 0.42 0.61 0.55 0.85 0.14 0.44 0.30 0.19 0.71 ]
[0.68 0.87 0.75 0.27 0.93 0.33 0.39 0.32 0.52 0.05 0.16 0.09 0.34 0.41 0.09 0.49 1.00 0.88 0.38 0.73 0.73 0.23 0.94 0.12 0.70 0.90 0.66 0.81 0.70 0.09 0.89 0.58 0.70 0.71 0.85 0.19 0.48 0.58 0.26 0.05 0.15 0.80 0.74 0.09 0.52 0.01 0.31 0.57 0.78 0.47 0.92 0.45 0.03 0.39 0.70 0.84 0.36 0.33 0.11 0.70 0.42 0.37 0.95 0.39 0.58 ]
[0.96 0.85 0.98 0.26 0.92 0.24 0.90 0.09 0.98 0.01 0.78 0.93 0.33 0.19 0.43 0.28 0.88 1.00 0.58 0.93 0.07 0.43 0.75 0.11 0.71 0.57 0.51 0.85 0.46 0.17 0.71 0.70 0.80 0.75 0.75 0.47 0.08 0.24 0.42 0.93 0.36 0.17 0.35 0.13 0.83 0.37 0.43 0.54 0.10 0.80 0.57 0.05 0.24 0.76 0.67 0.22 0.62 0.25 0.85 0.86 0.77 0.11 0.80 0.44 0.63 ]
[0.87 0.56 0.62 0.19 0.64 0.25 0.33 0.88 0.09 0.99 0.43 0.31 0.32 0.94 0.02 0.07 0.38 0.58 1.00 0.18 0.71 0.38 0.05 0.86 0.81 0.66 0.30 0.63 0.39 0.82 0.35 0.30 0.04 0.51 0.36 0.55 0.58 0.22 0.05 0.26 0.20 0.31 0.03 0.75 0.99 0.01 0.90 0.91 0.47 0.51 0.26 0.03 0.47 0.89 0.45 0.76 0.71 0.33 0.74 0.22 0.71 0.89 0.04 0.25 0.77 ]
[0.06 0.52 0.70 0.71 0.39 0.99 0.34 0.00 0.72 0.80 0.59 0.92 0.19 0.21 0.74 0.97 0.73 0.93 0.18 1.00 0.76 0.54 0.95 0.93 0.34 0.01 0.83 0.79 0.73 0.33 0.03 0.17 0.55 0.06 0.67 0.04 0.29 0.89 0.37 0.27 0.84 0.66 0.18 0.36 0.17 0.86 0.93 0.89 0.07 0.03 0.11 0.67 0.99 0.06 0.03 0.45 0.62 0.63 0.93 0.57 0.70 0.22 0.80 0.93 0.60 ]
[0.42 0.45 0.03 0.50 0.33 0.32 0.83 1.00 0.28 0.83 0.82 0.83 0.74 0.85 0.38 0.25 0.73 0.07 0.71 0.76 1.00 0.45 0.90 0.16 0.60 0.62 0.04 0.72 0.47 0.32 0.30 0.64 0.67 0.82 0.66 0.74 0.91 0.11 0.54 0.43 0.53 0.86 0.13 0.13 0.39 0.04 0.71 0.67 0.51 0.76 0.54 0.80 0.91 0.95 0.71 0.38 0.27 0.81 0.63 0.25 0.90 0.08 0.53 0.38 0.00 ]
[0.81 0.81 0.16 0.92 0.19 0.40 0.19 0.64 0.22 0.12 0.54 0.88 0.64 0.46 1.00 0.06 0.23 0.43 0.38 0.54 0.45 1.00 0.42 0.68 0.35 0.61 0.60 0.46 0.94 0.66 0.70 0.48 0.06 0.18 0.06 0.04 0.26 0.77 0.56 0.57 0.16 0.11 0.79 0.31 0.90 0.86 0.98 0.12 0.56 0.70 0.99 0.86 0.47 0.86 0.99 0.48 0.03 0.42 0.52 0.32 0.31 0.09 0.28 0.43 0.86 ]
[0.85 0.89 0.10 0.36 0.00 0.08 0.98 0.28 0.01 0.56 0.72 0.09 0.39 0.14 0.40 0.56 0.94 0.75 0.05 0.95 0.90 0.42 1.00 0.95 0.30 0.15 0.52 0.37 0.90 0.77 0.34 0.40 0.81 0.21 0.72 0.68 0.24 0.88 0.43 0.59 0.35 0.88 0.13 0.46 0.64 0.66 0.31 0.93 0.75 0.81 0.22 0.64 0.70 0.73 0.86 1.00 0.26 0.01 0.01 0.49 0.85 0.71 0.06 0.13 0.72 ]
[0.11 0.24 0.82 0.58 0.49 0.61 0.20 0.22 0.72 0.86 0.41 0.71 0.66 0.99 0.79 0.53 0.12 0.11 0.86 0.93 0.16 0.68 0.95 1.00 0.97 0.28 0.28 0.71 0.29 0.83 0.43 0.87 0.24 0.80 0.23 0.11 0.90 0.74 0.42 0.41 0.56 0.15 0.08 0.02 0.77 0.67 0.12 0.60 0.31 0.86 0.36 0.56 0.02 0.78 0.31 0.21 0.89 0.06 0.78 0.61 0.01 0.48 0.23 0.25 0.66 ]
[0.77 0.49 0.66 0.02 0.13 0.91 0.60 0.99 0.49 0.54 0.03 0.81 0.57 0.41 0.29 0.80 0.70 0.71 0.81 0.34 0.60 0.35 0.30 0.97 1.00 0.11 0.53 0.04 0.55 0.81 0.52 0.15 0.49 0.35 0.29 0.78 0.67 0.65 0.11 0.96 0.40 0.80 0.93 0.66 0.56 0.31 0.05 0.76 0.06 0.48 0.17 0.32 0.37 0.12 0.32 0.48 0.23 0.91 0.78 0.65 0.70 0.82 0.97 0.09 0.05 ]
