D = 2;
n = [ 5 5 ];
N = 16;
d = [1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.14 0.36 0.11 0.30 0.82 0.25 0.27 0.12 0.06 0.67 0.63 0.61 0.15 0.34 0.73 ]
[0.14 1.00 0.81 0.65 0.34 0.91 0.45 0.64 0.03 0.02 0.93 0.65 0.37 0.53 0.28 0.78 ]
[0.36 0.81 1.00 0.34 0.74 0.16 0.98 0.04 0.67 0.25 0.64 0.55 0.63 0.96 0.42 0.48 ]
[0.11 0.65 0.34 1.00 0.93 0.00 0.94 0.34 0.62 0.66 0.57 0.13 0.93 0.92 0.22 0.25 ]
[0.30 0.34 0.74 0.93 1.00 0.50 0.36 0.89 0.64 0.47 0.46 0.21 0.07 0.97 0.76 0.18 ]
[0.82 0.91 0.16 0.00 0.50 1.00 0.55 0.84 0.68 0.91 0.45 0.74 0.36 0.73 0.64 0.61 ]
[0.25 0.45 0.98 0.94 0.36 0.55 1.00 0.76 0.79 0.29 0.93 0.57 0.55 0.35 1.00 0.09 ]
[0.27 0.64 0.04 0.34 0.89 0.84 0.76 1.00 0.02 0.46 0.19 0.59 0.17 0.73 0.23 0.53 ]
[0.12 0.03 0.67 0.62 0.64 0.68 0.79 0.02 1.00 0.75 0.57 0.44 0.54 0.83 0.32 0.87 ]
[0.06 0.02 0.25 0.66 0.47 0.91 0.29 0.46 0.75 1.00 0.97 0.88 0.21 0.67 0.16 0.74 ]
[0.67 0.93 0.64 0.57 0.46 0.45 0.93 0.19 0.57 0.97 1.00 0.71 0.84 0.57 0.40 0.93 ]
[0.63 0.65 0.55 0.13 0.21 0.74 0.57 0.59 0.44 0.88 0.71 1.00 0.84 0.04 0.29 0.13 ]
[0.61 0.37 0.63 0.93 0.07 0.36 0.55 0.17 0.54 0.21 0.84 0.84 1.00 0.25 0.96 0.21 ]
[0.15 0.53 0.96 0.92 0.97 0.73 0.35 0.73 0.83 0.67 0.57 0.04 0.25 1.00 0.47 0.86 ]
[0.34 0.28 0.42 0.22 0.76 0.64 1.00 0.23 0.32 0.16 0.40 0.29 0.96 0.47 1.00 0.09 ]
[0.73 0.78 0.48 0.25 0.18 0.61 0.09 0.53 0.87 0.74 0.93 0.13 0.21 0.86 0.09 1.00 ]
];
