D = 6;
n = [ 3 3 3 3 3 3 ];
N = 50;
d = [1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.95 0.71 0.77 0.24 0.79 0.80 0.87 0.56 0.78 0.45 0.77 0.57 0.01 0.57 0.11 0.83 0.90 0.97 0.97 0.51 0.55 0.38 0.27 0.92 0.19 0.57 0.06 0.82 0.33 0.99 0.86 0.35 0.22 0.07 0.37 0.41 0.71 0.17 0.53 0.78 0.11 0.15 0.55 0.39 0.31 0.77 0.78 0.01 0.71 ]
[0.95 1.00 0.02 0.90 0.52 0.01 0.09 0.21 0.68 0.61 0.09 0.67 0.18 0.78 0.34 0.04 0.75 0.21 0.49 0.31 0.51 0.89 0.17 0.36 0.05 0.82 0.31 0.21 0.03 0.40 0.93 0.24 0.58 0.42 0.95 0.42 0.46 0.30 1.00 0.53 0.76 0.11 0.08 0.36 0.54 0.19 0.78 0.11 0.55 0.72 ]
[0.71 0.02 1.00 0.73 0.80 0.10 0.79 0.73 0.47 0.53 0.93 0.13 0.10 0.30 0.44 0.59 0.79 0.18 0.88 0.39 0.00 0.52 0.39 0.46 0.09 0.02 0.90 0.67 0.40 0.38 0.34 0.84 0.55 0.25 0.21 0.27 0.92 0.66 0.70 0.20 0.92 0.58 0.49 0.32 0.35 0.62 0.89 0.55 0.75 0.95 ]
[0.77 0.90 0.73 1.00 0.22 0.48 0.69 0.00 0.40 0.75 0.75 0.34 0.54 0.67 0.81 0.00 0.60 0.96 0.83 0.25 0.40 0.60 0.72 0.02 0.08 0.20 0.54 0.75 0.97 0.62 0.57 0.15 0.73 0.14 0.81 0.26 0.31 0.18 0.16 0.41 0.94 0.71 0.06 0.69 0.70 0.85 0.36 0.19 0.00 0.31 ]
[0.24 0.52 0.80 0.22 1.00 0.14 0.59 0.88 0.32 0.04 0.62 0.61 0.54 0.87 0.68 0.92 0.52 0.16 0.30 0.92 0.60 0.30 0.05 0.94 0.34 0.47 0.34 0.67 0.93 0.93 0.11 0.91 0.52 0.99 0.43 0.88 0.67 0.74 0.29 0.46 0.51 0.62 0.03 0.45 0.28 0.48 0.89 0.27 0.59 0.84 ]
[0.79 0.01 0.10 0.48 0.14 1.00 0.51 0.77 0.68 0.36 0.35 0.54 0.84 0.00 0.30 0.06 0.17 0.70 0.20 0.63 0.71 0.23 0.52 0.28 0.67 0.68 0.30 0.30 0.32 0.16 0.59 0.88 0.83 0.49 0.94 0.23 0.28 0.06 0.22 0.15 0.39 0.02 0.36 0.17 0.86 0.60 0.94 0.44 0.99 0.29 ]
[0.80 0.09 0.79 0.69 0.59 0.51 1.00 0.92 0.41 0.07 0.88 0.78 0.97 0.35 0.68 0.75 0.90 0.75 0.91 0.04 0.63 0.47 0.92 0.68 0.09 0.36 0.59 0.06 0.94 0.27 0.07 0.94 0.45 0.81 0.31 0.98 0.64 0.39 0.85 0.99 0.50 0.65 0.74 0.00 0.77 0.38 0.02 0.19 0.69 0.20 ]
[0.87 0.21 0.73 0.00 0.88 0.77 0.92 1.00 0.24 0.63 0.12 0.61 0.16 0.77 0.80 0.41 0.36 0.79 0.59 0.13 0.81 0.22 0.76 0.49 0.09 0.45 0.44 0.45 0.39 0.86 0.22 0.81 0.75 0.30 0.88 0.22 0.63 0.25 0.13 0.50 0.74 0.07 0.24 0.33 0.22 0.09 0.26 0.89 0.57 0.65 ]
[0.56 0.68 0.47 0.40 0.32 0.68 0.41 0.24 1.00 0.64 0.21 0.85 0.39 0.44 0.41 0.93 0.20 0.69 0.02 0.86 0.63 0.69 0.53 0.82 0.49 0.51 0.80 0.59 0.42 0.46 0.44 0.12 0.13 0.50 0.40 0.43 0.66 0.60 0.30 0.49 0.95 0.98 0.10 0.90 0.27 0.63 0.91 0.89 0.11 0.82 ]
[0.78 0.61 0.53 0.75 0.04 0.36 0.07 0.63 0.64 1.00 0.63 0.26 0.00 0.52 0.39 0.84 0.86 0.74 0.48 0.97 0.06 0.39 0.47 0.63 0.67 0.27 0.30 0.22 0.47 0.41 0.40 0.64 0.15 0.11 0.55 0.02 0.85 0.01 0.53 0.20 0.17 0.80 0.23 0.19 0.58 0.81 0.45 0.56 0.88 0.51 ]
[0.45 0.09 0.93 0.75 0.62 0.35 0.88 0.12 0.21 0.63 1.00 0.45 0.06 0.74 0.37 0.09 0.27 0.02 0.84 0.79 0.24 0.22 0.44 0.82 0.78 0.39 0.43 0.99 0.10 0.57 0.95 0.73 0.23 0.62 0.55 0.44 0.42 0.80 0.04 0.92 0.96 0.61 0.60 0.62 0.49 0.02 0.17 0.75 0.04 0.81 ]
[0.77 0.67 0.13 0.34 0.61 0.54 0.78 0.61 0.85 0.26 0.45 1.00 0.34 0.25 0.42 0.95 0.27 0.22 0.05 0.12 0.36 0.67 0.72 0.78 0.25 0.78 0.10 0.27 0.30 0.16 0.74 0.65 0.71 0.45 0.32 0.06 0.43 0.89 0.69 0.05 0.48 0.02 0.89 0.90 0.99 0.30 0.32 0.36 0.65 0.97 ]
[0.57 0.18 0.10 0.54 0.54 0.84 0.97 0.16 0.39 0.00 0.06 0.34 1.00 0.77 0.23 0.24 0.20 0.25 0.01 0.27 0.41 0.01 0.90 0.47 0.94 0.00 0.28 0.93 0.05 0.36 0.69 0.67 0.01 0.75 0.42 0.78 0.73 0.52 0.38 0.75 0.60 0.65 0.65 0.04 0.59 0.69 0.22 0.27 0.88 0.78 ]
[0.01 0.78 0.30 0.67 0.87 0.00 0.35 0.77 0.44 0.52 0.74 0.25 0.77 1.00 0.43 0.12 0.96 0.36 0.79 0.75 0.66 0.45 0.45 0.90 0.49 0.93 0.45 0.74 0.10 0.98 0.93 0.94 0.51 0.12 0.89 0.08 0.27 0.12 0.75 0.64 0.63 0.77 0.71 0.87 0.81 0.28 0.61 0.78 0.31 0.66 ]
