D = 6;
n = [ 2 2 2 2 2 2 ];
N = 83;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.31 0.38 0.06 0.71 0.80 0.46 0.34 0.60 0.50 0.04 0.83 0.00 0.25 0.91 0.46 0.71 0.29 0.10 0.37 0.40 0.62 0.91 0.00 0.46 0.24 0.45 0.47 0.28 0.68 0.40 0.81 0.37 0.75 0.75 0.16 0.85 0.18 0.61 0.18 0.24 0.48 0.47 0.04 0.25 0.98 0.01 0.17 0.24 0.37 0.33 0.30 0.01 0.89 0.82 0.29 0.88 0.79 0.39 0.66 0.10 0.91 0.92 0.79 0.65 0.43 0.44 0.69 0.10 0.77 0.17 0.76 0.83 0.22 0.75 0.18 0.66 0.83 0.06 0.03 0.46 0.64 0.07 ]
[0.31 1.00 0.16 0.61 0.75 0.72 0.82 0.66 0.21 0.67 0.05 0.29 0.89 0.12 0.33 0.95 0.89 0.82 0.89 0.63 0.70 0.16 0.28 0.43 0.17 0.43 0.13 0.76 0.38 0.60 0.20 0.51 0.02 0.73 0.22 0.87 0.51 0.62 0.48 0.78 0.61 0.37 0.82 0.10 0.93 0.38 0.90 0.47 0.14 0.96 0.64 0.75 0.27 0.94 0.81 0.46 0.69 0.02 0.49 0.41 0.15 0.21 0.07 0.51 0.25 0.95 0.47 0.70 0.18 0.61 0.84 0.28 0.36 0.48 0.32 0.06 0.21 0.77 0.42 0.25 0.96 0.45 0.31 ]
[0.38 0.16 1.00 0.26 0.57 0.72 0.45 0.70 0.73 0.99 0.77 0.39 0.64 0.60 0.60 0.63 0.52 0.99 0.48 0.03 0.85 0.87 0.34 0.23 0.15 0.57 0.30 0.39 0.60 0.93 0.35 0.68 0.15 0.36 0.82 0.53 0.24 0.65 0.82 0.09 0.19 0.56 0.72 0.80 0.04 0.26 0.13 0.40 0.53 0.29 0.61 0.09 0.20 0.67 0.09 0.17 0.34 0.27 0.22 0.94 0.06 0.15 0.25 0.07 0.82 0.86 0.03 0.89 0.06 0.76 0.18 0.88 0.24 0.41 0.89 0.30 0.31 0.55 0.62 0.88 0.97 0.47 0.74 ]
[0.06 0.61 0.26 1.00 0.59 0.05 0.69 0.56 0.16 0.66 0.84 0.71 0.36 0.22 0.11 0.84 0.54 0.53 0.30 0.12 0.19 0.17 0.57 0.26 0.57 0.32 0.86 0.65 0.82 0.98 0.41 0.36 0.67 0.46 0.18 0.67 0.62 0.13 0.26 0.71 0.98 0.60 0.21 0.88 0.46 0.91 0.32 0.93 0.46 0.33 0.27 0.29 0.49 0.17 0.09 0.67 0.90 0.46 0.06 0.87 0.41 0.69 0.11 0.25 0.24 0.56 0.18 0.14 0.05 0.15 0.28 0.56 0.38 0.54 0.08 0.33 0.11 0.16 0.28 0.71 0.29 0.26 0.64 ]
[0.71 0.75 0.57 0.59 1.00 0.59 0.40 0.76 0.97 0.17 0.47 0.82 0.96 0.76 0.38 0.49 0.45 0.03 0.28 0.79 0.33 0.32 0.28 0.37 0.29 0.30 0.87 0.48 0.24 0.64 0.02 0.35 0.36 1.00 0.76 0.10 0.33 0.53 0.53 0.48 0.64 0.22 0.87 0.67 0.81 1.00 0.90 0.82 0.44 0.03 0.84 0.05 0.33 0.22 0.85 0.52 0.02 0.94 0.42 0.23 0.78 0.64 0.44 0.56 0.70 0.72 0.93 0.06 0.34 0.57 0.74 0.28 0.51 0.08 0.82 0.04 0.78 0.53 0.31 0.94 0.87 0.10 0.57 ]
[0.80 0.72 0.72 0.05 0.59 1.00 0.78 0.87 0.75 0.04 0.05 0.84 0.26 0.40 0.61 0.18 0.69 0.09 0.71 0.93 0.95 0.74 0.95 0.51 0.42 0.52 1.00 0.20 0.77 0.81 0.00 0.06 0.46 0.16 0.69 0.09 0.36 0.42 0.67 0.50 0.33 0.09 0.74 0.02 0.04 0.49 0.50 0.74 0.99 0.97 0.65 0.35 0.21 0.69 0.42 0.69 0.88 0.34 0.59 0.79 0.15 0.09 0.02 0.35 0.09 0.94 0.67 0.36 0.31 0.85 0.61 0.93 0.91 0.96 0.71 0.85 0.80 0.60 0.12 0.74 0.36 0.75 0.04 ]
[0.46 0.82 0.45 0.69 0.40 0.78 1.00 0.80 0.30 0.94 0.11 0.02 0.71 0.17 0.85 0.62 0.42 0.01 0.16 0.48 0.93 0.41 0.43 0.79 0.33 0.21 0.56 0.32 0.82 0.49 0.92 0.35 0.12 0.71 0.88 0.09 0.53 0.16 0.04 0.91 0.70 0.82 0.44 0.06 0.43 0.02 0.88 0.76 0.95 0.45 0.37 0.13 0.44 0.29 0.55 0.43 0.18 0.51 0.49 0.14 0.91 0.89 0.20 0.51 0.95 0.93 0.27 0.56 0.25 0.56 0.57 0.90 0.19 0.22 0.05 0.94 0.64 0.54 0.23 0.98 0.73 0.97 0.54 ]
[0.34 0.66 0.70 0.56 0.76 0.87 0.80 1.00 0.89 0.53 0.13 0.62 0.47 0.45 0.95 0.48 0.84 0.90 0.25 0.90 0.78 0.23 0.08 0.61 0.26 0.64 0.78 0.04 0.97 0.12 0.23 0.14 0.02 0.56 0.10 0.56 0.79 0.51 0.27 0.78 0.65 0.91 0.51 0.52 0.59 0.75 0.49 0.92 0.63 0.16 0.82 0.13 0.12 0.37 0.43 0.42 0.92 0.06 0.84 0.58 0.86 0.59 0.53 0.06 0.43 0.47 0.31 0.21 0.72 0.40 0.55 0.53 0.44 0.67 0.44 0.58 0.38 0.09 0.51 0.11 0.76 0.71 0.80 ]
[0.60 0.21 0.73 0.16 0.97 0.75 0.30 0.89 1.00 0.82 0.95 0.69 0.91 0.05 0.49 0.43 0.32 0.48 0.25 0.53 0.41 0.00 0.39 0.95 0.12 0.72 0.14 0.26 0.48 0.51 0.05 0.65 0.05 0.91 0.99 0.72 0.14 0.47 0.61 0.81 0.01 0.16 0.32 0.67 0.59 0.73 0.32 0.08 0.28 0.81 0.52 0.14 0.22 0.23 0.59 0.90 0.15 0.85 0.88 0.44 0.19 0.71 0.08 0.78 0.86 0.00 0.62 0.87 0.33 0.23 0.37 0.05 0.32 0.40 0.71 0.12 0.16 0.36 0.80 0.99 0.01 0.19 0.70 ]
[0.50 0.67 0.99 0.66 0.17 0.04 0.94 0.53 0.82 1.00 0.88 0.86 0.97 0.14 0.31 0.26 0.64 0.84 0.84 0.89 0.95 0.27 0.85 0.55 0.32 0.22 0.98 0.65 0.34 0.41 0.02 0.41 0.55 0.78 0.66 0.24 0.85 0.18 0.79 0.87 0.73 0.76 0.97 0.06 0.06 0.25 0.21 0.50 0.79 0.31 0.67 0.20 0.57 0.15 0.49 0.63 0.21 0.10 0.11 0.13 0.36 0.17 0.91 0.39 0.82 0.23 0.07 0.18 0.81 0.73 0.88 0.06 0.02 0.11 0.97 0.23 0.80 0.27 0.78 0.23 0.75 0.66 0.69 ]
