D = 2;
n = [ 4 4 ];
N = 11;
d = [1 1 1 1 1 2 2 2 2 2 2 ];
m = [
[1.00 0.79 0.49 1.00 0.65 0.43 0.05 0.63 0.15 0.56 0.42 ]
[0.79 1.00 0.57 0.82 0.58 0.04 0.03 0.80 0.03 0.88 0.39 ]
[0.49 0.57 1.00 0.15 0.20 0.62 0.88 0.03 0.33 0.58 0.32 ]
[1.00 0.82 0.15 1.00 0.50 0.39 0.09 0.10 0.98 0.91 0.95 ]
[0.65 0.58 0.20 0.50 1.00 0.90 0.24 0.06 0.39 0.47 0.79 ]
[0.43 0.04 0.62 0.39 0.90 1.00 0.39 0.81 0.12 0.40 0.26 ]
[0.05 0.03 0.88 0.09 0.24 0.39 1.00 0.47 0.33 0.08 0.93 ]
[0.63 0.80 0.03 0.10 0.06 0.81 0.47 1.00 0.93 0.41 0.90 ]
[0.15 0.03 0.33 0.98 0.39 0.12 0.33 0.93 1.00 0.53 0.25 ]
[0.56 0.88 0.58 0.91 0.47 0.40 0.08 0.41 0.53 1.00 0.76 ]
[0.42 0.39 0.32 0.95 0.79 0.26 0.93 0.90 0.25 0.76 1.00 ]
];
