D = 4;
n = [ 4 4 4 4 ];
N = 26;
d = [1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 3 3 3 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.27 0.05 0.17 0.93 0.46 0.84 0.30 0.30 0.82 0.03 0.20 0.43 0.95 0.09 0.18 0.13 0.86 0.86 0.58 0.40 0.03 0.46 0.62 0.91 0.06 ]
[0.27 1.00 0.95 0.62 0.81 0.22 0.30 0.09 0.83 0.63 0.54 0.79 0.41 0.74 0.44 0.30 0.57 0.80 0.77 0.59 0.89 0.83 0.83 0.70 0.56 0.40 ]
[0.05 0.95 1.00 0.71 0.57 0.04 0.72 0.63 0.57 0.71 0.59 0.03 0.28 0.26 0.21 0.77 0.85 0.81 0.71 0.82 0.01 0.37 0.75 0.67 0.60 0.72 ]
[0.17 0.62 0.71 1.00 0.14 0.08 0.41 0.69 0.09 0.25 0.49 0.51 0.26 0.55 0.18 0.33 0.33 0.32 0.80 0.28 0.12 0.25 0.03 0.79 0.55 0.86 ]
[0.93 0.81 0.57 0.14 1.00 0.91 0.55 0.46 0.90 0.19 0.09 0.60 0.84 0.32 0.04 0.50 0.42 0.95 0.07 0.85 0.33 0.80 0.21 0.11 0.65 0.36 ]
[0.46 0.22 0.04 0.08 0.91 1.00 0.04 0.03 0.45 0.56 0.56 0.42 1.00 0.31 0.36 0.56 0.69 0.23 0.11 0.64 0.90 0.48 0.09 0.19 0.98 0.97 ]
[0.84 0.30 0.72 0.41 0.55 0.04 1.00 0.50 0.28 0.50 0.52 0.34 0.86 0.82 0.42 0.56 0.35 0.09 0.90 0.25 0.88 0.72 0.61 0.81 0.38 0.41 ]
[0.30 0.09 0.63 0.69 0.46 0.03 0.50 1.00 0.61 0.85 0.79 0.82 0.47 0.87 0.96 0.91 0.83 0.04 0.63 0.84 0.70 0.90 0.62 0.34 0.90 0.65 ]
[0.30 0.83 0.57 0.09 0.90 0.45 0.28 0.61 1.00 0.34 0.86 0.11 0.18 0.79 0.34 0.93 0.42 0.87 0.98 0.92 0.72 0.73 0.99 0.82 0.21 0.32 ]
[0.82 0.63 0.71 0.25 0.19 0.56 0.50 0.85 0.34 1.00 0.85 0.21 0.15 0.89 0.87 0.17 0.28 0.59 0.98 0.68 0.63 0.30 0.01 0.79 0.22 0.33 ]
[0.03 0.54 0.59 0.49 0.09 0.56 0.52 0.79 0.86 0.85 1.00 0.55 0.54 0.65 0.35 0.08 0.29 0.06 0.26 0.83 0.18 0.44 0.94 0.09 0.25 0.02 ]
