D = 6;
n = [ 5 5 5 5 5 5 ];
N = 69;
d = [1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.05 0.85 0.82 0.14 0.78 0.54 0.69 0.96 0.20 0.40 0.07 0.85 0.78 0.84 0.41 0.37 0.59 0.52 0.49 0.82 0.87 0.19 0.48 0.80 0.78 0.23 0.29 0.68 0.28 0.26 0.12 0.18 0.58 0.25 0.34 0.82 0.62 0.23 0.41 0.20 0.41 0.35 0.56 0.14 0.56 0.58 0.64 0.62 0.08 0.62 0.01 0.52 0.07 0.56 0.42 0.11 0.98 0.08 0.18 0.11 0.75 0.17 0.22 0.93 0.92 0.53 0.85 0.88 ]
[0.05 1.00 0.16 0.55 0.57 0.44 0.61 0.93 0.53 0.61 0.68 0.40 0.80 0.02 0.58 0.25 0.52 0.81 0.20 0.75 0.55 0.73 0.98 0.67 0.55 0.29 0.75 0.76 0.24 0.84 0.37 0.53 0.84 0.65 0.83 0.80 0.93 0.46 0.37 0.67 0.09 0.81 0.27 0.58 0.21 0.31 0.16 0.05 0.26 0.86 0.39 0.98 0.78 0.83 0.67 0.72 0.98 0.24 0.28 0.91 0.80 0.87 0.69 0.51 0.07 0.41 0.36 0.51 0.12 ]
[0.85 0.16 1.00 0.01 0.42 0.96 0.94 0.29 0.83 0.37 0.46 0.00 0.10 0.31 0.31 0.09 0.20 0.51 0.77 0.99 0.64 0.45 0.72 0.96 0.46 0.41 0.60 1.00 0.22 0.25 0.54 0.77 0.37 0.62 0.59 0.65 0.06 0.51 0.03 0.78 0.64 0.62 0.58 0.84 0.41 0.46 0.14 0.46 0.00 0.13 0.48 0.91 0.36 0.49 0.11 0.91 0.14 0.46 0.54 0.39 0.32 0.86 0.18 0.40 0.61 0.39 0.24 0.75 0.80 ]
[0.82 0.55 0.01 1.00 0.26 0.34 0.08 0.64 0.26 0.07 0.64 0.14 0.69 0.26 0.40 0.88 0.72 0.12 0.29 0.27 0.76 0.90 0.04 0.49 0.05 0.04 0.23 0.84 0.77 0.11 0.15 0.59 0.89 0.82 0.32 0.80 0.27 0.99 0.27 0.71 0.69 0.66 0.99 0.13 0.13 0.42 0.61 0.10 0.67 0.95 0.43 0.48 0.29 0.91 0.05 0.16 0.47 0.77 0.85 0.95 0.03 0.43 0.20 0.79 0.36 0.85 0.28 0.48 0.61 ]
[0.14 0.57 0.42 0.26 1.00 0.71 0.09 0.79 0.29 0.13 0.30 0.16 0.94 0.63 0.19 0.76 0.65 0.55 0.41 0.82 0.42 0.59 0.77 0.82 0.29 0.96 0.27 0.48 0.40 0.65 0.75 0.37 0.18 0.85 0.09 0.43 0.55 0.31 0.80 0.46 0.84 0.53 0.24 0.38 0.48 0.60 0.40 0.66 0.75 0.58 0.21 0.39 0.94 0.39 0.30 0.10 0.52 0.84 0.87 0.20 0.73 0.65 0.95 0.77 0.22 0.83 0.41 0.48 0.06 ]
[0.78 0.44 0.96 0.34 0.71 1.00 0.57 0.44 0.74 0.04 0.86 0.35 0.33 0.81 0.81 0.13 0.31 0.47 0.74 0.11 0.88 0.49 0.12 0.22 0.56 0.33 0.00 0.25 0.23 0.18 0.37 0.69 0.29 0.39 0.09 0.11 0.30 0.99 0.91 0.99 0.30 0.44 0.97 0.88 0.37 0.34 0.33 0.70 0.65 0.81 0.59 0.63 0.47 0.41 0.85 0.57 0.69 0.89 0.78 0.22 0.20 0.67 0.78 0.48 0.52 0.05 0.24 0.88 1.00 ]
[0.54 0.61 0.94 0.08 0.09 0.57 1.00 0.11 0.52 0.68 0.82 0.36 0.04 0.96 0.86 0.01 0.82 0.35 0.64 0.54 0.39 0.72 0.72 0.40 0.39 0.99 0.95 0.64 0.05 0.36 0.53 0.37 0.97 0.50 0.46 0.74 0.17 0.54 0.68 0.03 0.35 0.93 0.16 0.18 0.00 0.86 0.43 0.81 0.78 0.13 0.74 0.14 0.21 0.96 0.98 0.10 0.27 0.08 0.92 0.59 0.77 0.04 0.88 0.19 0.73 0.34 0.22 0.17 0.59 ]
[0.69 0.93 0.29 0.64 0.79 0.44 0.11 1.00 0.99 0.59 0.74 0.89 0.11 0.55 0.28 0.44 0.77 0.41 0.02 0.57 0.22 0.67 0.10 0.06 0.24 0.29 0.91 0.29 0.09 0.31 0.32 0.05 0.27 0.96 0.05 0.88 0.69 0.95 0.01 0.57 0.24 0.68 0.49 0.48 0.95 0.28 0.23 0.88 0.79 0.21 0.26 0.81 0.06 0.93 0.99 0.60 0.07 0.22 0.54 0.52 0.71 0.59 0.38 0.22 0.03 0.59 0.30 0.97 0.58 ]
[0.96 0.53 0.83 0.26 0.29 0.74 0.52 0.99 1.00 0.64 0.21 0.22 0.45 0.97 0.46 0.07 0.71 0.07 0.50 0.98 0.19 0.93 0.28 0.38 0.92 0.38 0.72 0.83 0.68 0.02 0.48 0.49 0.58 0.68 0.82 1.00 0.73 0.34 0.68 0.80 0.49 0.50 0.90 0.26 0.13 0.33 0.81 0.19 0.32 0.72 0.69 0.08 0.13 0.45 0.49 0.71 0.21 0.68 0.86 0.67 0.68 0.02 0.33 0.37 0.03 0.46 0.96 0.47 0.66 ]
[0.20 0.61 0.37 0.07 0.13 0.04 0.68 0.59 0.64 1.00 0.31 0.68 0.04 0.96 0.55 0.16 0.97 0.09 0.73 0.39 0.45 0.97 0.26 0.76 0.91 0.11 0.83 0.33 0.91 0.81 0.55 0.17 0.70 0.97 0.86 0.80 0.91 0.37 0.82 0.78 0.47 0.59 0.88 0.54 0.73 0.16 0.86 0.90 0.53 0.85 0.92 0.24 0.79 0.18 0.71 0.35 0.31 0.58 0.59 0.19 0.63 0.89 0.52 0.06 0.77 0.36 0.90 0.88 0.08 ]
