D = 2;
n = [ 1 1 ];
N = 23;
d = [1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.27 0.62 0.72 0.35 0.15 0.14 0.69 0.80 0.77 0.73 0.54 0.98 0.11 0.62 0.04 0.99 0.96 0.16 0.89 0.72 0.26 0.23 ]
[0.27 1.00 0.07 0.05 0.65 0.91 0.91 0.27 0.07 0.17 0.84 0.43 0.14 0.78 0.53 0.83 0.90 0.63 0.07 0.11 0.71 0.86 0.56 ]
[0.62 0.07 1.00 0.60 0.98 0.34 0.42 0.35 0.66 0.11 0.59 0.58 0.27 0.40 0.67 0.85 0.77 0.37 0.61 0.56 0.58 0.69 0.77 ]
[0.72 0.05 0.60 1.00 0.27 0.03 0.36 0.37 0.75 0.25 0.96 0.13 0.81 0.40 0.14 0.64 0.40 0.99 0.62 0.90 0.19 0.82 0.17 ]
[0.35 0.65 0.98 0.27 1.00 0.12 0.20 0.98 0.85 0.13 0.33 0.59 0.13 0.58 0.97 0.31 0.17 0.37 0.65 0.26 0.91 0.83 0.13 ]
[0.15 0.91 0.34 0.03 0.12 1.00 0.17 0.27 0.87 0.72 0.59 0.87 0.58 0.93 0.67 0.54 0.84 0.42 0.24 0.61 0.90 0.94 0.45 ]
[0.14 0.91 0.42 0.36 0.20 0.17 1.00 0.92 0.36 0.79 0.12 0.68 0.04 0.89 0.61 0.51 0.14 0.96 0.69 0.69 0.94 0.64 0.25 ]
[0.69 0.27 0.35 0.37 0.98 0.27 0.92 1.00 0.09 0.16 0.52 0.01 0.97 1.00 0.63 0.41 0.05 0.88 0.45 0.90 0.57 0.45 0.14 ]
[0.80 0.07 0.66 0.75 0.85 0.87 0.36 0.09 1.00 0.07 0.34 0.23 0.73 0.94 0.47 0.13 0.67 0.26 0.82 0.68 0.51 0.79 0.70 ]
[0.77 0.17 0.11 0.25 0.13 0.72 0.79 0.16 0.07 1.00 0.62 0.43 0.96 0.43 0.83 0.80 0.44 0.61 0.72 0.09 0.07 0.72 0.52 ]
[0.73 0.84 0.59 0.96 0.33 0.59 0.12 0.52 0.34 0.62 1.00 0.08 0.13 0.10 0.32 0.53 0.89 0.68 0.90 0.99 0.52 0.84 0.43 ]
[0.54 0.43 0.58 0.13 0.59 0.87 0.68 0.01 0.23 0.43 0.08 1.00 0.62 0.28 0.43 0.40 0.62 0.38 0.41 0.22 0.88 0.38 0.52 ]
[0.98 0.14 0.27 0.81 0.13 0.58 0.04 0.97 0.73 0.96 0.13 0.62 1.00 0.12 0.01 0.73 0.95 0.19 0.87 0.64 0.26 0.46 0.64 ]
[0.11 0.78 0.40 0.40 0.58 0.93 0.89 1.00 0.94 0.43 0.10 0.28 0.12 1.00 0.74 0.59 0.87 0.80 0.44 0.98 0.75 0.64 0.65 ]
[0.62 0.53 0.67 0.14 0.97 0.67 0.61 0.63 0.47 0.83 0.32 0.43 0.01 0.74 1.00 0.67 0.47 0.05 0.29 0.43 0.89 0.22 0.97 ]
[0.04 0.83 0.85 0.64 0.31 0.54 0.51 0.41 0.13 0.80 0.53 0.40 0.73 0.59 0.67 1.00 0.13 0.86 0.49 0.32 0.53 0.04 0.18 ]
[0.99 0.90 0.77 0.40 0.17 0.84 0.14 0.05 0.67 0.44 0.89 0.62 0.95 0.87 0.47 0.13 1.00 0.69 0.34 0.10 0.89 0.80 0.89 ]
[0.96 0.63 0.37 0.99 0.37 0.42 0.96 0.88 0.26 0.61 0.68 0.38 0.19 0.80 0.05 0.86 0.69 1.00 0.11 0.55 0.41 0.40 0.21 ]
[0.16 0.07 0.61 0.62 0.65 0.24 0.69 0.45 0.82 0.72 0.90 0.41 0.87 0.44 0.29 0.49 0.34 0.11 1.00 0.39 0.97 0.27 0.09 ]
[0.89 0.11 0.56 0.90 0.26 0.61 0.69 0.90 0.68 0.09 0.99 0.22 0.64 0.98 0.43 0.32 0.10 0.55 0.39 1.00 0.83 0.72 0.30 ]
[0.72 0.71 0.58 0.19 0.91 0.90 0.94 0.57 0.51 0.07 0.52 0.88 0.26 0.75 0.89 0.53 0.89 0.41 0.97 0.83 1.00 0.97 0.33 ]
[0.26 0.86 0.69 0.82 0.83 0.94 0.64 0.45 0.79 0.72 0.84 0.38 0.46 0.64 0.22 0.04 0.80 0.40 0.27 0.72 0.97 1.00 0.41 ]
[0.23 0.56 0.77 0.17 0.13 0.45 0.25 0.14 0.70 0.52 0.43 0.52 0.64 0.65 0.97 0.18 0.89 0.21 0.09 0.30 0.33 0.41 1.00 ]
];
