D = 2;
n = [ 1 1 ];
N = 11;
d = [1 1 1 1 1 2 2 2 2 2 2 ];
m = [
[1.00 0.20 0.82 0.62 0.12 0.56 0.54 0.62 0.23 0.64 0.02 ]
[0.20 1.00 0.84 0.66 0.46 0.49 0.82 0.11 0.72 0.59 0.94 ]
[0.82 0.84 1.00 0.07 0.94 0.65 0.20 0.28 0.27 0.18 0.64 ]
[0.62 0.66 0.07 1.00 0.31 1.00 0.06 0.94 0.50 0.36 0.39 ]
[0.12 0.46 0.94 0.31 1.00 0.33 0.14 0.89 0.63 0.19 0.58 ]
[0.56 0.49 0.65 1.00 0.33 1.00 0.51 0.44 0.60 0.99 0.21 ]
[0.54 0.82 0.20 0.06 0.14 0.51 1.00 0.34 0.87 0.87 0.95 ]
[0.62 0.11 0.28 0.94 0.89 0.44 0.34 1.00 0.13 0.77 0.93 ]
[0.23 0.72 0.27 0.50 0.63 0.60 0.87 0.13 1.00 0.40 0.26 ]
[0.64 0.59 0.18 0.36 0.19 0.99 0.87 0.77 0.40 1.00 0.71 ]
[0.02 0.94 0.64 0.39 0.58 0.21 0.95 0.93 0.26 0.71 1.00 ]
];
