D = 2;
n = [ 5 5 ];
N = 29;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.88 0.16 0.62 0.20 0.73 0.04 0.90 0.69 0.38 0.17 0.08 0.38 1.00 0.88 0.62 0.91 0.32 0.37 0.09 0.87 0.50 0.36 0.37 0.06 0.32 0.82 0.59 0.91 ]
[0.88 1.00 0.99 0.08 0.52 0.59 0.54 0.91 0.60 0.28 0.75 0.80 0.63 0.69 0.06 0.85 0.80 0.29 0.70 0.89 0.27 0.90 0.62 0.59 0.17 0.95 0.19 0.70 0.49 ]
[0.16 0.99 1.00 0.39 1.00 0.71 0.25 0.57 0.44 0.36 0.32 0.02 0.89 0.95 0.41 0.23 0.30 1.00 0.98 0.09 0.49 0.51 0.98 0.69 0.45 0.64 0.44 0.03 0.42 ]
[0.62 0.08 0.39 1.00 0.07 0.26 0.27 0.16 0.53 0.52 0.43 0.33 0.05 0.84 0.05 0.58 0.86 0.37 0.32 0.89 0.78 0.98 0.49 0.92 0.85 0.11 0.61 0.87 0.26 ]
[0.20 0.52 1.00 0.07 1.00 0.10 0.65 0.92 0.89 0.63 0.37 0.90 0.03 0.73 0.52 0.47 0.91 0.06 0.01 0.87 0.55 0.97 0.90 0.41 0.86 0.32 0.74 0.80 0.13 ]
[0.73 0.59 0.71 0.26 0.10 1.00 0.90 0.41 0.00 0.58 0.92 0.99 0.27 0.62 0.20 0.96 0.86 0.37 1.00 0.25 0.88 0.97 0.74 0.65 0.97 0.13 0.94 0.26 0.50 ]
[0.04 0.54 0.25 0.27 0.65 0.90 1.00 0.80 0.55 0.75 0.14 0.23 0.64 0.42 0.75 0.92 0.26 0.82 0.48 0.37 0.47 0.89 0.10 0.79 0.84 0.52 0.36 0.60 0.78 ]
[0.90 0.91 0.57 0.16 0.92 0.41 0.80 1.00 0.80 0.35 0.24 0.41 0.37 0.31 0.13 0.87 0.59 0.64 0.24 0.85 0.27 0.05 0.49 0.60 0.70 0.58 0.51 0.89 0.11 ]
[0.69 0.60 0.44 0.53 0.89 0.00 0.55 0.80 1.00 0.68 0.46 0.27 0.41 0.64 0.17 0.69 0.95 0.24 0.73 0.82 0.18 0.01 0.43 0.27 0.46 0.34 0.36 0.12 0.74 ]
[0.38 0.28 0.36 0.52 0.63 0.58 0.75 0.35 0.68 1.00 0.60 0.72 0.16 0.22 0.76 0.83 0.54 0.79 0.58 0.87 0.42 0.51 0.98 0.37 0.28 0.51 0.22 0.82 0.43 ]
[0.17 0.75 0.32 0.43 0.37 0.92 0.14 0.24 0.46 0.60 1.00 0.18 0.75 0.05 0.69 0.66 0.66 0.56 0.88 0.85 0.99 0.74 0.13 0.76 0.84 0.96 0.96 0.30 0.45 ]
[0.08 0.80 0.02 0.33 0.90 0.99 0.23 0.41 0.27 0.72 0.18 1.00 0.52 0.88 0.38 0.06 0.45 0.94 0.63 0.44 0.77 0.90 0.89 0.78 0.30 0.56 0.16 0.35 0.66 ]
[0.38 0.63 0.89 0.05 0.03 0.27 0.64 0.37 0.41 0.16 0.75 0.52 1.00 0.85 0.52 0.35 0.78 0.71 0.55 0.70 0.09 0.99 0.91 0.71 0.99 0.99 0.71 0.75 0.40 ]
[1.00 0.69 0.95 0.84 0.73 0.62 0.42 0.31 0.64 0.22 0.05 0.88 0.85 1.00 0.20 0.01 0.70 0.67 0.95 0.28 0.27 0.64 0.88 0.94 0.35 0.01 0.53 0.52 0.95 ]
[0.88 0.06 0.41 0.05 0.52 0.20 0.75 0.13 0.17 0.76 0.69 0.38 0.52 0.20 1.00 0.67 0.18 0.10 0.26 0.39 0.47 0.57 0.08 0.02 0.53 0.50 0.96 0.38 0.49 ]
[0.62 0.85 0.23 0.58 0.47 0.96 0.92 0.87 0.69 0.83 0.66 0.06 0.35 0.01 0.67 1.00 0.43 0.59 0.07 0.77 0.77 0.62 0.27 0.07 0.20 0.13 0.04 0.94 0.52 ]
