D = 2;
n = [ 2 2 ];
N = 11;
d = [1 1 1 1 1 2 2 2 2 2 2 ];
m = [
[1.00 0.35 0.98 0.45 0.89 0.75 0.82 0.21 0.99 0.39 0.92 ]
[0.35 1.00 0.78 0.95 0.19 0.14 0.45 0.22 0.01 0.70 0.73 ]
[0.98 0.78 1.00 0.98 0.40 0.02 0.33 0.35 0.55 0.24 0.55 ]
[0.45 0.95 0.98 1.00 0.59 0.47 0.24 0.96 0.13 0.84 0.52 ]
[0.89 0.19 0.40 0.59 1.00 0.44 0.80 0.04 0.94 0.70 0.69 ]
[0.75 0.14 0.02 0.47 0.44 1.00 0.78 0.63 0.26 0.64 0.80 ]
[0.82 0.45 0.33 0.24 0.80 0.78 1.00 0.21 0.55 0.97 0.39 ]
[0.21 0.22 0.35 0.96 0.04 0.63 0.21 1.00 0.86 0.23 0.87 ]
[0.99 0.01 0.55 0.13 0.94 0.26 0.55 0.86 1.00 0.75 0.75 ]
[0.39 0.70 0.24 0.84 0.70 0.64 0.97 0.23 0.75 1.00 0.43 ]
[0.92 0.73 0.55 0.52 0.69 0.80 0.39 0.87 0.75 0.43 1.00 ]
];
