D = 4;
n = [ 5 5 5 5 ];
N = 44;
d = [1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.43 0.91 0.95 0.19 0.05 0.90 0.32 0.47 0.44 0.92 0.58 0.61 0.15 0.97 0.86 0.09 0.03 0.21 0.45 0.35 0.31 0.46 0.72 0.93 0.83 0.88 0.83 0.34 0.12 0.67 0.98 0.08 0.87 0.04 0.23 0.06 0.74 0.67 0.08 0.92 0.70 0.66 0.76 ]
[0.43 1.00 0.20 0.07 0.11 0.01 0.69 0.63 0.44 0.79 0.73 0.39 0.34 0.96 0.70 0.48 0.60 0.85 0.73 0.84 0.03 0.55 0.69 0.05 0.32 0.47 0.49 0.55 0.03 0.84 0.78 1.00 0.94 0.98 0.27 0.24 0.15 0.64 0.51 0.58 0.65 0.77 0.56 0.35 ]
[0.91 0.20 1.00 0.44 0.36 0.26 0.74 0.23 0.93 0.13 0.14 0.52 0.25 0.56 0.69 0.27 0.18 0.02 0.50 0.63 0.21 0.46 0.78 0.93 0.13 0.33 0.96 0.64 0.95 0.65 1.00 0.44 0.43 0.52 0.22 0.14 0.96 0.11 0.31 0.69 0.36 0.44 0.83 0.94 ]
[0.95 0.07 0.44 1.00 0.40 0.74 0.22 0.32 0.64 0.92 0.09 0.04 0.48 0.05 0.09 0.13 0.95 0.10 0.34 0.18 0.72 0.38 0.13 0.71 0.39 0.52 0.27 0.59 0.54 0.36 0.05 0.71 0.10 0.33 0.18 0.49 0.88 0.90 0.58 0.68 0.62 0.21 0.39 0.06 ]
[0.19 0.11 0.36 0.40 1.00 0.33 0.34 0.86 0.82 0.64 0.20 0.53 0.94 0.33 0.44 0.13 0.28 0.70 0.22 0.18 0.34 0.17 0.37 0.85 0.38 0.85 0.56 0.03 0.92 0.73 0.80 0.63 0.08 0.32 0.12 0.72 0.64 0.72 0.86 0.96 0.55 0.65 0.04 0.55 ]
[0.05 0.01 0.26 0.74 0.33 1.00 0.17 0.91 0.34 0.64 0.57 0.20 0.43 0.25 0.37 0.20 0.77 0.42 0.97 0.21 0.33 0.96 0.84 0.40 0.42 0.75 0.22 0.20 0.26 0.05 0.54 0.02 0.65 0.52 0.18 0.17 0.75 0.24 0.67 0.82 0.47 0.06 0.18 0.31 ]
[0.90 0.69 0.74 0.22 0.34 0.17 1.00 0.44 0.22 0.97 0.52 0.64 0.63 0.75 0.52 0.25 0.53 0.93 0.70 0.93 0.84 0.38 0.37 0.69 0.92 0.81 0.47 0.41 0.63 0.35 0.75 0.64 0.02 0.33 0.61 0.96 0.70 0.43 0.11 0.05 0.03 0.87 0.49 0.76 ]
[0.32 0.63 0.23 0.32 0.86 0.91 0.44 1.00 0.02 0.60 0.19 0.99 0.62 0.29 0.13 0.13 0.39 0.76 0.92 0.83 0.61 0.47 0.26 0.21 0.54 0.17 0.69 0.67 0.01 0.54 0.74 0.25 0.14 0.78 0.78 0.51 0.29 0.06 0.06 0.15 0.85 0.93 0.38 0.32 ]
[0.47 0.44 0.93 0.64 0.82 0.34 0.22 0.02 1.00 0.46 0.61 0.34 0.16 0.21 0.65 0.02 0.37 0.53 0.96 0.98 0.42 0.76 0.50 0.59 0.57 0.73 0.50 0.97 0.13 0.02 0.02 0.59 0.02 0.33 0.74 0.86 0.09 0.94 0.84 0.80 0.16 0.56 0.17 0.27 ]
[0.44 0.79 0.13 0.92 0.64 0.64 0.97 0.60 0.46 1.00 0.46 0.64 0.49 0.13 0.12 0.10 0.95 0.24 0.96 0.93 0.60 0.19 0.61 0.11 0.74 0.32 0.05 0.55 0.99 0.18 0.60 0.82 0.65 0.99 0.66 0.77 0.55 0.38 0.46 0.89 0.72 0.40 0.13 0.30 ]
[0.92 0.73 0.14 0.09 0.20 0.57 0.52 0.19 0.61 0.46 1.00 0.24 0.78 0.53 0.60 0.40 0.56 0.96 0.56 0.49 1.00 0.73 0.43 0.97 0.81 0.37 0.12 0.44 0.93 0.29 0.73 0.37 0.04 0.61 0.93 0.03 0.17 0.17 0.65 0.97 0.57 0.75 0.36 0.75 ]
[0.58 0.39 0.52 0.04 0.53 0.20 0.64 0.99 0.34 0.64 0.24 1.00 0.08 0.75 0.08 0.18 0.42 0.05 0.58 0.06 0.12 0.66 0.98 0.99 0.84 0.34 0.74 0.57 0.24 0.28 0.57 0.70 0.13 0.59 0.04 0.11 0.10 0.35 0.22 0.39 0.63 0.01 0.02 0.65 ]
[0.61 0.34 0.25 0.48 0.94 0.43 0.63 0.62 0.16 0.49 0.78 0.08 1.00 0.17 0.14 0.82 0.44 0.92 0.40 0.45 0.22 0.20 0.32 0.41 0.09 0.11 0.88 0.21 0.97 0.95 0.18 0.57 0.17 0.28 0.75 0.92 0.45 0.11 0.49 0.00 0.36 0.65 0.71 0.73 ]
[0.15 0.96 0.56 0.05 0.33 0.25 0.75 0.29 0.21 0.13 0.53 0.75 0.17 1.00 0.91 0.65 0.98 0.16 0.57 0.95 0.05 0.72 0.42 0.44 0.95 0.30 0.24 0.12 0.56 0.26 0.34 0.94 0.99 0.32 0.56 0.62 0.40 0.75 0.37 0.01 0.36 0.61 0.10 0.36 ]
[0.97 0.70 0.69 0.09 0.44 0.37 0.52 0.13 0.65 0.12 0.60 0.08 0.14 0.91 1.00 0.06 0.54 0.12 0.18 0.72 0.82 0.81 0.72 0.66 0.02 0.78 0.75 0.03 0.90 0.14 0.10 0.96 0.27 0.19 1.00 0.60 0.79 0.59 0.79 0.78 0.14 0.96 0.94 0.52 ]
