D = 6;
n = [ 2 2 2 2 2 2 ];
N = 22;
d = [1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 6 6 6 6 ];
m = [
[1.00 0.01 0.01 0.98 0.95 0.49 0.78 0.11 0.56 0.92 0.64 0.05 0.58 0.02 0.55 0.58 0.08 0.93 0.40 0.14 0.97 0.26 ]
[0.01 1.00 0.21 0.94 0.76 0.45 0.19 0.22 0.52 0.29 0.12 0.14 0.60 0.37 0.55 0.35 0.70 0.18 0.98 0.55 0.47 0.23 ]
[0.01 0.21 1.00 0.43 0.85 0.32 0.53 0.04 0.55 0.60 0.13 0.71 0.65 0.02 0.56 0.30 0.82 0.20 0.10 0.32 0.34 0.21 ]
[0.98 0.94 0.43 1.00 0.73 0.56 0.17 0.78 0.36 0.66 0.55 0.69 0.67 1.00 0.10 0.60 0.65 0.13 0.14 0.12 0.71 0.92 ]
[0.95 0.76 0.85 0.73 1.00 0.66 0.03 0.73 0.43 0.13 0.81 0.85 0.40 0.46 0.33 0.22 0.94 0.06 0.57 0.73 0.28 0.70 ]
[0.49 0.45 0.32 0.56 0.66 1.00 0.50 0.25 0.40 0.29 0.37 0.45 0.70 0.03 0.66 0.08 0.09 0.68 0.03 0.11 0.50 0.63 ]
[0.78 0.19 0.53 0.17 0.03 0.50 1.00 0.68 0.57 0.45 0.84 0.17 0.13 0.65 0.26 0.41 0.97 0.43 0.15 0.67 0.21 0.80 ]
[0.11 0.22 0.04 0.78 0.73 0.25 0.68 1.00 0.10 0.28 0.75 0.53 0.62 0.73 0.96 0.11 0.31 0.35 0.55 0.24 0.44 0.23 ]
[0.56 0.52 0.55 0.36 0.43 0.40 0.57 0.10 1.00 0.42 0.24 0.23 0.79 0.94 0.75 0.31 0.86 0.89 0.51 0.10 0.74 0.89 ]
[0.92 0.29 0.60 0.66 0.13 0.29 0.45 0.28 0.42 1.00 0.22 0.79 0.12 0.47 0.50 0.67 0.82 0.82 0.61 0.03 0.22 0.98 ]
[0.64 0.12 0.13 0.55 0.81 0.37 0.84 0.75 0.24 0.22 1.00 0.07 0.79 0.11 0.74 0.60 0.93 0.14 0.49 0.76 0.58 0.58 ]
[0.05 0.14 0.71 0.69 0.85 0.45 0.17 0.53 0.23 0.79 0.07 1.00 0.69 0.88 0.83 0.88 0.40 1.00 0.83 0.82 0.09 0.01 ]
[0.58 0.60 0.65 0.67 0.40 0.70 0.13 0.62 0.79 0.12 0.79 0.69 1.00 0.69 0.84 0.50 0.37 0.51 0.32 0.45 0.08 0.48 ]
[0.02 0.37 0.02 1.00 0.46 0.03 0.65 0.73 0.94 0.47 0.11 0.88 0.69 1.00 0.81 0.29 0.08 0.99 0.21 0.36 0.56 0.91 ]
[0.55 0.55 0.56 0.10 0.33 0.66 0.26 0.96 0.75 0.50 0.74 0.83 0.84 0.81 1.00 0.57 0.42 0.61 0.02 0.44 0.67 0.07 ]
[0.58 0.35 0.30 0.60 0.22 0.08 0.41 0.11 0.31 0.67 0.60 0.88 0.50 0.29 0.57 1.00 0.06 0.64 0.33 0.04 0.86 0.48 ]
[0.08 0.70 0.82 0.65 0.94 0.09 0.97 0.31 0.86 0.82 0.93 0.40 0.37 0.08 0.42 0.06 1.00 0.41 0.74 0.67 0.46 0.52 ]
[0.93 0.18 0.20 0.13 0.06 0.68 0.43 0.35 0.89 0.82 0.14 1.00 0.51 0.99 0.61 0.64 0.41 1.00 0.34 0.54 0.39 0.17 ]
[0.40 0.98 0.10 0.14 0.57 0.03 0.15 0.55 0.51 0.61 0.49 0.83 0.32 0.21 0.02 0.33 0.74 0.34 1.00 0.40 0.49 0.05 ]
[0.14 0.55 0.32 0.12 0.73 0.11 0.67 0.24 0.10 0.03 0.76 0.82 0.45 0.36 0.44 0.04 0.67 0.54 0.40 1.00 0.01 0.63 ]
[0.97 0.47 0.34 0.71 0.28 0.50 0.21 0.44 0.74 0.22 0.58 0.09 0.08 0.56 0.67 0.86 0.46 0.39 0.49 0.01 1.00 0.77 ]
[0.26 0.23 0.21 0.92 0.70 0.63 0.80 0.23 0.89 0.98 0.58 0.01 0.48 0.91 0.07 0.48 0.52 0.17 0.05 0.63 0.77 1.00 ]
];
