D = 8;
n = [ 4 4 4 4 4 4 4 4 ];
N = 41;
d = [1 1 1 1 1 2 2 2 2 2 3 3 3 3 3 4 4 4 4 4 5 5 5 5 5 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 8 ];
m = [
[1.00 0.91 0.91 0.14 0.27 0.37 0.97 0.72 0.53 0.06 0.94 0.91 0.21 0.38 0.48 0.22 0.37 0.70 0.58 0.52 0.69 0.35 0.18 0.17 0.32 0.57 0.18 0.52 0.16 0.42 0.97 0.18 0.18 0.62 0.17 0.26 0.91 0.95 0.93 0.76 0.36 ]
[0.91 1.00 0.33 0.34 0.97 0.09 0.33 0.08 0.87 0.01 0.30 0.45 0.12 0.86 0.35 0.55 0.25 0.87 0.20 0.60 0.32 0.85 0.04 0.52 0.75 0.04 0.29 0.79 0.65 0.88 0.43 0.89 0.19 0.86 0.91 0.24 0.61 0.51 0.01 0.30 0.69 ]
[0.91 0.33 1.00 0.60 0.42 0.37 0.20 0.26 0.97 0.02 0.94 0.23 0.06 0.63 0.58 0.75 0.70 0.01 0.10 0.42 0.42 0.77 0.60 0.82 0.80 0.71 0.45 0.75 0.87 0.50 0.11 0.53 0.78 0.33 0.45 0.92 0.74 0.02 0.60 0.15 0.95 ]
[0.14 0.34 0.60 1.00 0.53 0.40 0.02 0.55 0.00 0.67 0.75 0.04 0.23 0.65 0.87 0.73 0.67 0.63 0.65 0.22 0.11 0.74 0.36 0.71 0.64 0.84 0.15 0.48 0.04 0.83 0.07 0.26 0.40 0.18 0.61 0.59 0.85 0.98 0.51 0.13 0.31 ]
[0.27 0.97 0.42 0.53 1.00 0.15 0.96 0.42 0.11 0.38 0.59 0.73 0.44 0.51 0.42 0.40 0.42 0.80 0.10 0.83 0.18 0.44 0.95 0.61 0.06 0.55 0.63 0.28 0.45 0.16 0.31 0.14 0.95 0.86 0.28 0.48 0.29 0.25 0.37 0.00 0.46 ]
[0.37 0.09 0.37 0.40 0.15 1.00 0.91 0.00 0.24 0.13 0.29 0.93 0.61 0.08 0.31 0.14 0.88 0.31 0.13 0.07 0.63 0.80 0.44 0.09 0.81 0.06 0.98 0.41 0.89 0.58 0.35 0.44 0.98 0.77 0.17 0.96 0.63 0.81 0.94 0.90 0.70 ]
[0.97 0.33 0.20 0.02 0.96 0.91 1.00 0.33 0.53 0.08 0.44 0.97 0.86 0.09 0.18 0.46 0.28 0.08 0.41 0.71 0.32 0.22 0.38 0.32 0.94 0.39 0.10 0.97 0.75 0.81 0.49 0.84 0.94 0.23 0.18 0.86 0.26 0.39 0.00 0.23 0.64 ]
[0.72 0.08 0.26 0.55 0.42 0.00 0.33 1.00 0.35 0.21 0.92 0.80 0.96 0.59 0.60 0.97 0.12 0.63 0.15 0.04 0.76 0.93 0.47 0.94 0.64 0.88 0.17 0.32 0.73 0.76 0.51 0.99 0.77 0.96 0.52 0.59 0.30 0.38 0.55 0.70 0.42 ]
[0.53 0.87 0.97 0.00 0.11 0.24 0.53 0.35 1.00 0.89 0.06 0.44 0.87 0.11 0.92 0.45 0.70 0.91 0.44 0.34 0.30 0.71 0.31 0.40 0.76 0.53 0.42 0.87 0.39 0.94 0.97 0.57 0.88 0.37 0.30 0.90 0.39 0.95 0.29 0.60 0.10 ]
[0.06 0.01 0.02 0.67 0.38 0.13 0.08 0.21 0.89 1.00 0.35 0.33 0.09 0.51 0.79 0.12 0.80 0.84 0.91 0.16 0.82 0.78 0.35 0.86 0.10 0.45 0.52 0.69 0.07 0.58 0.92 0.86 0.69 0.59 0.05 0.05 0.83 0.31 0.30 0.42 0.95 ]
