D = 2;
n = [ 1 1 ];
N = 14;
d = [1 1 1 1 1 1 1 2 2 2 2 2 2 2 ];
m = [
[1.00 0.04 0.71 0.80 0.92 0.62 0.20 0.12 0.24 0.30 0.46 0.85 0.44 0.29 ]
[0.04 1.00 0.64 0.95 0.50 0.73 0.83 0.68 0.70 0.15 0.96 0.47 0.12 0.42 ]
[0.71 0.64 1.00 0.39 0.11 0.22 0.77 0.56 0.43 0.17 0.54 0.36 0.09 0.96 ]
[0.80 0.95 0.39 1.00 0.11 0.85 0.19 0.36 0.36 0.02 0.23 0.42 0.04 0.95 ]
[0.92 0.50 0.11 0.11 1.00 0.65 0.40 0.27 0.92 0.08 0.89 0.14 0.49 0.74 ]
[0.62 0.73 0.22 0.85 0.65 1.00 0.63 0.52 0.24 0.14 0.46 0.12 0.41 0.06 ]
[0.20 0.83 0.77 0.19 0.40 0.63 1.00 0.11 0.41 0.31 0.69 0.56 0.23 0.74 ]
[0.12 0.68 0.56 0.36 0.27 0.52 0.11 1.00 0.05 0.81 0.04 0.67 0.40 0.23 ]
[0.24 0.70 0.43 0.36 0.92 0.24 0.41 0.05 1.00 0.87 0.71 0.97 0.53 0.89 ]
[0.30 0.15 0.17 0.02 0.08 0.14 0.31 0.81 0.87 1.00 0.16 0.64 0.26 0.54 ]
[0.46 0.96 0.54 0.23 0.89 0.46 0.69 0.04 0.71 0.16 1.00 0.23 0.01 0.96 ]
[0.85 0.47 0.36 0.42 0.14 0.12 0.56 0.67 0.97 0.64 0.23 1.00 0.91 0.74 ]
[0.44 0.12 0.09 0.04 0.49 0.41 0.23 0.40 0.53 0.26 0.01 0.91 1.00 0.76 ]
[0.29 0.42 0.96 0.95 0.74 0.06 0.74 0.23 0.89 0.54 0.96 0.74 0.76 1.00 ]
];
