D = 2;
n = [ 5 5 ];
N = 70;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.79 0.42 0.13 0.24 0.50 0.67 0.75 0.73 0.55 0.31 0.70 0.94 0.32 0.12 0.56 0.14 0.84 0.33 0.04 0.75 0.05 0.04 0.38 0.40 0.94 0.32 0.59 0.79 0.00 0.24 0.77 0.67 0.76 0.81 0.33 0.68 0.99 0.86 0.53 0.04 1.00 0.42 0.32 0.30 0.86 0.48 0.54 0.57 0.88 0.08 0.82 0.46 0.89 0.31 0.92 0.14 0.01 0.04 0.31 0.49 0.22 0.33 0.41 0.01 0.08 0.03 0.25 0.47 0.15 ]
[0.79 1.00 0.00 0.03 0.28 0.19 0.25 0.97 0.80 0.41 0.51 0.85 0.19 0.33 0.60 0.81 0.69 0.01 0.06 0.83 0.40 0.39 0.79 0.90 0.34 0.11 0.86 0.46 0.18 0.74 0.36 0.25 0.82 0.29 0.72 0.52 0.69 0.05 0.65 0.34 0.25 0.04 0.57 0.20 0.32 0.07 0.85 0.92 0.96 0.86 0.07 0.05 0.56 0.08 0.05 0.46 0.12 0.18 0.99 0.33 0.36 0.36 0.11 0.42 0.69 0.71 0.66 0.16 0.60 0.24 ]
[0.42 0.00 1.00 0.70 0.63 0.21 0.46 0.89 0.21 0.99 0.51 0.04 0.21 0.01 0.92 0.82 0.12 0.59 0.23 0.21 0.55 0.53 0.60 0.94 0.29 0.02 0.79 0.78 0.07 0.89 0.01 0.25 0.58 0.21 0.23 0.44 0.66 0.96 0.95 0.91 0.59 0.40 0.36 0.77 0.71 0.74 0.84 0.60 0.66 0.76 0.86 0.31 0.25 0.51 0.66 0.33 0.03 0.43 0.49 0.31 0.07 0.56 0.07 0.46 0.36 0.49 0.19 0.40 0.35 0.48 ]
[0.13 0.03 0.70 1.00 0.68 0.89 0.89 0.29 0.84 0.10 0.96 0.66 0.17 0.97 0.86 0.01 0.85 0.34 0.51 0.65 0.42 0.55 0.45 0.64 0.30 0.20 0.73 0.55 0.42 1.00 0.75 0.40 0.30 0.92 1.00 0.70 0.58 0.36 0.73 0.16 0.76 0.31 0.90 0.28 0.39 0.20 0.48 0.28 0.83 0.28 0.34 0.67 0.74 0.03 0.38 0.38 0.15 0.33 0.37 0.79 0.74 0.24 0.33 0.92 0.60 0.53 0.77 0.97 0.42 0.81 ]
[0.24 0.28 0.63 0.68 1.00 0.20 0.98 0.71 0.92 0.69 0.84 0.93 0.30 0.11 0.32 0.31 0.30 0.41 0.97 0.99 0.44 0.04 0.11 0.19 0.24 0.06 0.31 0.96 0.29 0.66 0.45 0.27 0.02 0.15 0.95 0.24 0.61 0.64 0.77 0.54 0.41 0.23 0.62 0.22 0.31 0.91 0.41 0.99 0.10 0.55 0.55 0.57 0.34 0.80 0.58 0.12 0.69 0.41 0.97 0.90 0.27 0.92 0.44 0.36 0.08 0.77 0.35 0.56 0.28 0.37 ]
[0.50 0.19 0.21 0.89 0.20 1.00 0.14 0.66 0.52 0.06 0.82 0.75 0.99 0.10 0.94 0.40 0.89 0.59 0.17 0.13 0.17 0.76 0.67 0.19 0.52 0.53 0.34 0.14 0.82 0.68 0.82 0.20 0.46 0.37 0.68 0.77 0.42 0.80 0.45 0.40 0.87 0.36 0.37 0.08 0.05 0.90 0.50 0.11 0.32 0.67 0.82 0.79 0.57 0.56 0.17 0.69 0.51 0.45 0.54 0.70 0.73 0.24 0.32 0.29 0.99 0.65 0.77 0.62 0.97 0.18 ]
[0.67 0.25 0.46 0.89 0.98 0.14 1.00 0.61 0.46 0.90 0.02 0.65 0.27 0.77 0.25 0.57 0.92 0.03 0.38 0.03 0.68 0.85 0.48 0.87 0.64 0.55 0.94 0.14 0.69 0.03 0.63 0.92 0.27 0.79 0.56 0.70 0.96 0.20 0.90 0.92 0.51 0.89 0.99 0.28 0.90 0.68 0.00 0.16 0.90 0.20 0.78 0.07 0.84 0.66 0.37 0.03 0.45 0.34 0.07 0.41 0.01 0.56 0.81 0.15 0.94 0.12 0.20 0.53 0.10 0.40 ]
[0.75 0.97 0.89 0.29 0.71 0.66 0.61 1.00 0.48 0.71 0.94 0.20 0.42 0.27 0.11 0.99 0.67 0.35 0.31 0.65 0.69 0.56 0.02 0.28 0.89 0.52 0.75 0.55 0.68 0.00 0.33 0.80 0.66 0.34 0.77 0.88 0.90 0.96 0.68 0.53 0.55 0.13 0.55 0.60 0.72 0.57 0.48 0.19 0.41 0.54 0.15 0.86 0.77 0.35 0.93 0.57 0.32 0.39 0.85 0.76 0.55 0.34 0.60 0.11 0.01 0.82 0.05 0.78 0.05 0.57 ]
[0.73 0.80 0.21 0.84 0.92 0.52 0.46 0.48 1.00 0.41 0.65 0.10 0.23 0.39 0.45 0.85 0.29 0.18 0.87 0.56 0.42 0.73 0.96 0.51 0.42 0.13 0.87 0.78 0.12 0.68 0.49 0.95 0.07 0.39 0.62 0.31 0.84 0.86 0.65 0.90 0.83 0.33 0.30 0.40 0.63 0.32 0.55 0.40 0.91 0.06 0.02 0.96 0.96 0.88 0.58 0.64 0.25 0.91 0.54 0.87 0.18 0.97 0.43 0.79 0.82 0.69 0.07 0.00 0.60 0.98 ]
[0.55 0.41 0.99 0.10 0.69 0.06 0.90 0.71 0.41 1.00 0.27 0.35 0.40 0.53 0.42 0.13 0.36 0.28 0.01 0.10 0.82 0.32 0.74 0.19 0.24 0.21 0.18 0.71 0.17 0.14 0.04 0.40 0.13 0.41 0.10 0.17 0.60 0.90 0.12 0.33 0.53 0.09 0.58 0.14 0.32 0.66 0.17 0.16 0.32 0.50 0.94 0.90 0.97 0.74 0.25 0.48 0.53 0.61 0.45 0.13 0.19 0.18 0.75 0.23 0.82 0.92 0.13 0.65 0.16 0.87 ]
[0.31 0.51 0.51 0.96 0.84 0.82 0.02 0.94 0.65 0.27 1.00 0.82 0.12 0.43 0.97 0.97 0.17 0.79 0.25 0.40 0.98 0.56 0.45 0.27 0.23 0.17 0.14 0.90 0.42 0.57 0.94 0.16 0.20 0.56 0.41 0.58 0.44 0.00 0.33 0.19 0.42 0.14 0.12 0.65 0.64 0.28 0.27 0.06 0.91 0.43 0.89 0.61 0.18 0.71 0.71 0.09 0.81 0.77 0.80 0.36 0.38 0.58 0.74 0.62 0.73 0.39 0.77 0.30 0.27 0.54 ]
[0.70 0.85 0.04 0.66 0.93 0.75 0.65 0.20 0.10 0.35 0.82 1.00 0.88 0.42 0.25 0.04 0.04 0.68 0.73 0.07 0.65 0.03 0.30 0.88 0.47 0.86 0.71 0.02 0.58 0.48 0.08 0.32 0.81 0.86 0.07 0.98 0.81 0.75 0.91 0.34 0.53 0.84 0.09 0.66 0.91 0.59 0.99 0.23 0.29 0.09 0.80 0.33 0.66 0.11 0.91 0.14 0.90 0.14 0.61 0.01 0.54 0.71 0.92 0.36 0.59 0.93 0.25 0.56 0.23 0.74 ]
[0.94 0.19 0.21 0.17 0.30 0.99 0.27 0.42 0.23 0.40 0.12 0.88 1.00 0.01 0.64 0.16 0.84 0.53 0.88 0.48 0.92 0.34 0.27 0.58 0.68 0.93 0.43 0.82 0.77 0.11 0.18 0.86 0.49 0.72 0.84 0.83 0.06 0.01 0.46 0.38 0.27 0.36 0.10 0.37 0.02 0.56 0.70 0.44 1.00 0.45 0.94 0.96 0.14 0.02 0.30 0.96 0.89 0.50 0.87 0.98 0.12 0.05 0.69 0.74 0.02 0.93 0.78 0.61 0.30 0.73 ]
[0.32 0.33 0.01 0.97 0.11 0.10 0.77 0.27 0.39 0.53 0.43 0.42 0.01 1.00 0.72 0.23 0.45 0.29 0.19 0.65 0.87 0.56 0.16 0.57 0.97 0.23 0.19 0.55 0.22 0.90 0.93 0.37 0.82 0.15 0.10 0.41 0.70 0.95 0.28 0.23 0.40 0.46 0.31 0.61 0.30 0.87 0.39 0.78 0.19 0.40 0.32 0.75 0.90 0.34 0.74 0.49 0.25 0.09 0.83 0.19 0.79 0.09 0.77 0.70 0.90 0.61 0.74 0.14 0.65 0.71 ]
[0.12 0.60 0.92 0.86 0.32 0.94 0.25 0.11 0.45 0.42 0.97 0.25 0.64 0.72 1.00 0.18 0.89 0.68 0.91 0.82 0.88 0.86 0.23 0.84 0.60 0.03 0.69 0.21 0.40 0.83 0.62 0.38 0.82 0.75 0.81 0.36 0.28 0.98 0.95 0.09 0.87 0.17 0.95 0.14 0.17 0.98 0.21 0.33 0.37 0.80 0.38 0.11 0.31 0.46 0.87 0.45 0.85 0.22 0.70 0.44 0.55 0.94 0.04 0.39 0.08 0.85 0.25 0.04 0.88 0.49 ]
