D = 4;
n = [ 3 3 3 3 ];
N = 36;
d = [1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.39 0.37 0.79 0.35 0.54 0.25 0.91 0.54 0.74 0.09 0.82 0.83 0.02 0.95 0.03 0.84 0.23 0.41 0.17 0.49 0.19 0.42 0.88 0.18 0.32 0.73 0.79 0.13 0.99 0.41 0.95 0.04 0.09 0.98 0.03 ]
[0.39 1.00 0.38 0.38 0.33 0.94 0.02 0.41 0.75 0.48 0.32 0.36 0.88 0.34 0.24 0.20 0.38 0.99 0.12 0.37 0.82 0.74 0.11 0.93 0.71 0.60 0.21 0.72 0.07 0.48 0.71 0.77 0.10 0.94 0.01 0.40 ]
[0.37 0.38 1.00 0.69 0.04 0.19 0.28 0.27 0.10 0.69 0.93 0.08 0.62 0.22 0.28 0.63 0.31 0.46 0.84 0.56 0.17 0.01 0.03 0.13 0.95 0.13 0.70 0.85 0.78 0.08 0.20 0.98 0.53 0.49 0.07 0.70 ]
[0.79 0.38 0.69 1.00 0.71 0.32 0.17 0.68 0.16 0.83 0.29 0.12 0.21 0.42 0.33 0.95 0.09 0.09 0.78 0.65 0.81 0.51 0.06 0.24 0.48 0.12 0.32 0.55 0.81 0.86 0.68 0.50 0.29 0.30 0.79 0.96 ]
[0.35 0.33 0.04 0.71 1.00 0.88 0.81 0.82 0.97 0.56 0.68 0.86 0.89 0.97 0.24 0.11 0.08 0.03 0.41 0.90 0.71 0.91 0.40 0.33 0.66 0.03 0.55 0.06 0.83 0.61 0.82 0.51 0.04 0.68 0.25 0.39 ]
[0.54 0.94 0.19 0.32 0.88 1.00 0.09 0.51 0.45 0.29 0.43 0.89 0.01 0.45 0.82 0.74 0.99 0.81 0.88 0.93 0.41 0.95 0.83 0.69 0.29 0.76 0.75 0.87 0.90 0.17 0.12 0.94 0.88 0.21 0.88 0.52 ]
[0.25 0.02 0.28 0.17 0.81 0.09 1.00 0.95 0.42 0.69 0.12 0.70 0.06 0.80 0.96 0.65 0.65 0.58 0.19 0.65 0.88 0.78 0.23 0.02 0.47 0.46 0.17 0.19 0.89 0.34 0.62 0.34 0.98 0.87 0.12 0.61 ]
[0.91 0.41 0.27 0.68 0.82 0.51 0.95 1.00 0.97 0.39 0.16 0.04 0.15 0.81 0.33 0.91 0.43 0.01 0.81 0.32 0.67 0.77 0.51 0.74 0.29 0.27 0.66 0.17 0.64 0.68 0.86 0.58 0.73 0.18 0.35 0.50 ]
[0.54 0.75 0.10 0.16 0.97 0.45 0.42 0.97 1.00 0.83 0.77 0.62 0.48 0.79 0.41 0.04 0.81 0.79 0.52 0.78 0.31 0.61 0.64 0.99 0.55 0.12 0.65 0.16 0.88 0.31 0.72 0.67 0.00 0.47 1.00 0.43 ]
[0.74 0.48 0.69 0.83 0.56 0.29 0.69 0.39 0.83 1.00 0.55 0.12 0.82 0.42 0.32 0.58 0.53 0.46 0.79 0.10 0.34 0.26 0.75 0.02 0.68 0.97 0.41 0.10 0.88 0.22 0.21 0.87 0.52 0.66 0.59 0.72 ]
[0.09 0.32 0.93 0.29 0.68 0.43 0.12 0.16 0.77 0.55 1.00 0.44 0.89 0.99 0.53 0.81 0.36 0.88 0.78 0.98 0.86 0.99 0.34 0.12 0.18 0.08 0.85 0.76 0.70 0.39 0.53 0.70 0.95 0.71 0.70 0.86 ]
[0.82 0.36 0.08 0.12 0.86 0.89 0.70 0.04 0.62 0.12 0.44 1.00 0.78 0.83 0.15 0.24 0.40 0.64 0.83 0.22 0.71 0.40 0.26 0.60 0.42 0.46 0.62 0.43 0.30 0.53 0.59 0.94 0.17 0.72 0.41 0.11 ]
[0.83 0.88 0.62 0.21 0.89 0.01 0.06 0.15 0.48 0.82 0.89 0.78 1.00 0.57 0.80 0.47 0.63 0.88 0.11 0.54 0.81 0.84 0.70 0.69 0.95 0.15 0.68 0.77 0.68 0.95 1.00 0.00 0.04 0.74 0.19 0.84 ]
[0.02 0.34 0.22 0.42 0.97 0.45 0.80 0.81 0.79 0.42 0.99 0.83 0.57 1.00 0.51 0.95 0.19 0.90 0.99 0.41 0.80 0.55 0.92 0.82 0.76 0.72 0.41 0.83 0.09 0.23 0.36 0.32 0.98 0.40 0.56 0.60 ]
[0.95 0.24 0.28 0.33 0.24 0.82 0.96 0.33 0.41 0.32 0.53 0.15 0.80 0.51 1.00 0.58 0.42 0.66 0.41 0.89 0.38 0.16 0.37 0.45 0.65 0.04 0.95 0.10 0.76 0.08 0.04 0.51 0.80 0.31 0.01 0.75 ]
[0.03 0.20 0.63 0.95 0.11 0.74 0.65 0.91 0.04 0.58 0.81 0.24 0.47 0.95 0.58 1.00 0.14 0.40 0.21 0.13 0.72 0.57 0.78 0.97 0.53 0.54 0.22 0.60 0.82 0.72 0.64 0.05 0.93 0.85 0.86 0.26 ]
[0.84 0.38 0.31 0.09 0.08 0.99 0.65 0.43 0.81 0.53 0.36 0.40 0.63 0.19 0.42 0.14 1.00 0.88 0.84 0.89 0.71 0.68 0.33 0.81 0.53 0.73 0.22 0.46 0.07 0.01 0.49 0.65 0.53 0.12 0.25 0.71 ]
[0.23 0.99 0.46 0.09 0.03 0.81 0.58 0.01 0.79 0.46 0.88 0.64 0.88 0.90 0.66 0.40 0.88 1.00 0.50 0.90 0.09 0.27 0.94 0.83 0.76 0.42 0.59 0.18 0.62 0.48 0.33 0.17 0.85 0.73 0.49 0.30 ]
[0.41 0.12 0.84 0.78 0.41 0.88 0.19 0.81 0.52 0.79 0.78 0.83 0.11 0.99 0.41 0.21 0.84 0.50 1.00 0.08 0.62 0.09 0.74 0.23 0.65 0.35 0.28 0.31 0.26 0.72 0.75 0.84 0.91 0.72 0.45 0.76 ]
[0.17 0.37 0.56 0.65 0.90 0.93 0.65 0.32 0.78 0.10 0.98 0.22 0.54 0.41 0.89 0.13 0.89 0.90 0.08 1.00 0.64 0.26 0.45 0.87 0.12 0.67 0.62 0.84 0.63 0.00 0.82 0.80 0.60 0.07 0.79 0.85 ]
[0.49 0.82 0.17 0.81 0.71 0.41 0.88 0.67 0.31 0.34 0.86 0.71 0.81 0.80 0.38 0.72 0.71 0.09 0.62 0.64 1.00 0.38 0.01 0.05 0.91 0.90 0.19 0.83 0.89 0.88 0.66 0.01 0.76 0.51 0.70 0.61 ]
[0.19 0.74 0.01 0.51 0.91 0.95 0.78 0.77 0.61 0.26 0.99 0.40 0.84 0.55 0.16 0.57 0.68 0.27 0.09 0.26 0.38 1.00 0.91 0.51 0.51 0.62 0.92 0.01 0.87 0.02 0.65 0.57 0.02 0.54 0.82 0.97 ]
[0.42 0.11 0.03 0.06 0.40 0.83 0.23 0.51 0.64 0.75 0.34 0.26 0.70 0.92 0.37 0.78 0.33 0.94 0.74 0.45 0.01 0.91 1.00 0.28 0.71 0.82 0.96 0.31 0.66 0.90 0.63 0.12 0.98 0.25 0.06 0.38 ]
[0.88 0.93 0.13 0.24 0.33 0.69 0.02 0.74 0.99 0.02 0.12 0.60 0.69 0.82 0.45 0.97 0.81 0.83 0.23 0.87 0.05 0.51 0.28 1.00 0.54 0.89 0.22 0.51 0.27 0.87 0.90 0.98 0.01 0.07 0.71 0.75 ]
[0.18 0.71 0.95 0.48 0.66 0.29 0.47 0.29 0.55 0.68 0.18 0.42 0.95 0.76 0.65 0.53 0.53 0.76 0.65 0.12 0.91 0.51 0.71 0.54 1.00 0.76 0.13 0.92 0.69 0.66 0.94 0.69 0.21 0.79 0.09 0.34 ]
