D = 4;
n = [ 3 3 3 3 ];
N = 37;
d = [1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.80 0.94 0.95 0.39 0.78 0.76 0.04 0.00 0.76 0.40 0.42 0.80 0.89 0.39 0.29 0.04 0.15 0.64 0.87 0.33 0.80 0.50 0.10 0.63 0.36 0.80 0.99 0.10 0.03 0.32 0.24 0.43 0.46 0.43 0.59 0.88 ]
[0.80 1.00 0.80 0.47 1.00 0.31 0.36 0.28 0.15 0.05 0.54 0.33 0.64 0.14 0.96 0.29 0.73 0.88 0.40 0.11 0.60 0.99 0.10 0.37 0.50 0.14 0.92 0.51 0.71 0.35 0.93 0.92 0.75 0.24 0.01 0.56 0.14 ]
[0.94 0.80 1.00 0.85 0.61 0.38 0.28 0.27 0.82 0.76 0.29 0.03 0.69 0.32 0.86 0.45 0.02 0.81 0.92 0.74 0.43 0.90 0.44 0.20 0.22 0.96 0.81 0.00 0.56 0.01 0.56 0.66 0.15 0.71 0.59 0.68 0.47 ]
[0.95 0.47 0.85 1.00 0.10 0.32 0.25 0.57 0.88 0.24 0.57 0.90 0.88 0.02 0.12 0.44 0.77 0.11 0.58 0.30 0.79 0.93 0.28 0.13 0.17 0.64 0.24 0.84 0.98 0.40 0.30 0.95 0.55 0.20 0.77 0.60 0.65 ]
[0.39 1.00 0.61 0.10 1.00 0.48 0.00 0.91 0.10 0.34 0.12 0.41 0.77 0.66 0.24 0.10 0.55 0.35 0.25 0.65 1.00 0.31 0.94 0.53 0.76 0.49 0.02 0.91 0.48 0.90 0.96 0.44 0.03 0.41 0.27 0.78 0.48 ]
[0.78 0.31 0.38 0.32 0.48 1.00 0.86 0.28 0.51 0.36 0.43 0.20 0.18 0.08 0.55 0.09 0.89 0.56 0.28 0.52 0.66 0.54 0.41 0.65 0.94 0.18 0.45 0.26 0.70 0.18 0.57 0.89 0.93 0.39 0.81 0.20 0.55 ]
[0.76 0.36 0.28 0.25 0.00 0.86 1.00 0.98 0.30 0.00 0.79 0.70 0.81 0.33 0.34 0.62 0.23 0.86 0.88 0.41 0.28 0.46 0.56 0.55 0.55 0.58 0.29 0.07 0.01 0.11 0.65 0.30 0.57 0.08 0.65 0.30 0.57 ]
[0.04 0.28 0.27 0.57 0.91 0.28 0.98 1.00 0.62 0.33 1.00 0.13 0.90 0.13 0.33 0.94 0.87 0.48 1.00 0.94 0.97 0.67 0.19 0.78 0.18 0.92 0.41 0.99 0.44 0.37 0.39 0.34 0.68 0.72 0.39 0.21 0.98 ]
[0.00 0.15 0.82 0.88 0.10 0.51 0.30 0.62 1.00 0.11 0.70 0.76 0.24 0.63 0.94 0.76 0.45 0.05 0.31 0.52 0.64 0.90 0.56 0.70 0.91 0.05 0.62 0.53 0.88 1.00 0.98 0.22 0.69 0.84 0.96 0.57 0.09 ]
[0.76 0.05 0.76 0.24 0.34 0.36 0.00 0.33 0.11 1.00 0.29 0.42 0.42 0.69 0.33 0.22 0.58 0.82 0.81 0.39 0.58 0.28 0.31 0.21 0.21 0.63 0.67 0.26 0.86 0.96 0.44 0.37 0.06 0.16 0.92 0.54 0.73 ]
[0.40 0.54 0.29 0.57 0.12 0.43 0.79 1.00 0.70 0.29 1.00 0.34 0.71 0.89 0.23 0.80 0.94 0.55 0.32 0.08 0.15 0.36 0.22 0.67 0.70 0.75 0.50 0.84 0.62 0.51 0.24 0.93 0.09 0.18 0.44 0.50 0.51 ]
[0.42 0.33 0.03 0.90 0.41 0.20 0.70 0.13 0.76 0.42 0.34 1.00 0.39 0.72 0.57 0.63 0.42 0.46 0.84 0.01 0.72 0.34 0.97 0.56 0.46 0.73 0.03 0.66 0.19 0.54 0.37 0.50 0.11 0.71 0.38 0.21 0.60 ]
[0.80 0.64 0.69 0.88 0.77 0.18 0.81 0.90 0.24 0.42 0.71 0.39 1.00 0.15 0.83 0.31 0.28 0.12 0.08 0.94 0.20 0.74 0.89 0.02 0.92 0.03 0.81 0.39 0.37 0.26 0.06 0.47 0.92 0.59 0.24 0.16 0.48 ]
[0.89 0.14 0.32 0.02 0.66 0.08 0.33 0.13 0.63 0.69 0.89 0.72 0.15 1.00 0.22 0.90 0.59 0.29 0.06 0.39 0.87 0.70 0.99 0.05 0.30 0.50 0.75 0.93 0.65 0.10 0.56 0.55 0.31 0.86 0.63 0.54 0.77 ]
[0.39 0.96 0.86 0.12 0.24 0.55 0.34 0.33 0.94 0.33 0.23 0.57 0.83 0.22 1.00 0.09 0.03 0.03 0.14 0.18 0.05 0.32 0.41 0.07 0.78 1.00 0.33 0.69 0.49 0.31 0.02 0.48 0.77 0.49 0.64 0.92 0.00 ]
[0.29 0.29 0.45 0.44 0.10 0.09 0.62 0.94 0.76 0.22 0.80 0.63 0.31 0.90 0.09 1.00 0.12 0.96 0.62 0.14 0.64 0.01 0.29 0.37 0.43 0.40 0.03 0.25 0.66 0.03 0.42 0.18 0.03 0.84 0.14 0.93 0.41 ]
[0.04 0.73 0.02 0.77 0.55 0.89 0.23 0.87 0.45 0.58 0.94 0.42 0.28 0.59 0.03 0.12 1.00 0.16 0.13 0.31 0.13 0.85 0.79 0.43 0.49 0.51 0.23 0.50 0.23 0.15 0.03 0.76 0.68 0.35 0.88 0.19 0.96 ]
