D = 2;
n = [ 1 1 ];
N = 21;
d = [1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 1.00 0.05 0.55 0.28 0.07 0.91 0.08 0.13 0.69 0.72 0.27 0.17 0.85 0.29 0.10 0.73 0.01 0.63 0.31 0.81 ]
[1.00 1.00 0.13 0.30 0.13 0.45 0.36 0.29 0.79 0.15 0.85 0.67 0.54 0.53 0.45 0.21 0.86 0.43 0.58 0.94 0.64 ]
[0.05 0.13 1.00 0.82 0.13 0.91 0.80 0.71 0.32 0.08 0.27 0.86 0.75 0.94 0.17 0.29 0.69 0.92 0.19 0.74 0.98 ]
[0.55 0.30 0.82 1.00 0.91 0.03 0.95 0.25 0.15 0.81 0.97 0.95 0.40 0.83 0.55 0.54 0.62 0.30 0.86 0.39 0.75 ]
[0.28 0.13 0.13 0.91 1.00 0.18 0.11 0.92 0.65 0.15 0.78 0.12 0.54 0.12 0.37 0.59 0.03 0.92 0.09 0.88 0.54 ]
[0.07 0.45 0.91 0.03 0.18 1.00 0.50 0.50 0.03 0.76 0.44 0.67 0.85 0.38 0.41 0.99 0.81 0.63 0.31 0.19 0.55 ]
[0.91 0.36 0.80 0.95 0.11 0.50 1.00 0.97 0.31 0.63 0.68 0.52 0.84 0.35 0.44 0.52 0.17 0.64 0.93 0.79 0.65 ]
[0.08 0.29 0.71 0.25 0.92 0.50 0.97 1.00 0.03 0.19 0.43 0.66 0.16 0.51 0.02 0.27 0.94 0.50 0.20 0.00 0.80 ]
[0.13 0.79 0.32 0.15 0.65 0.03 0.31 0.03 1.00 0.64 0.26 0.10 0.98 0.56 0.96 0.21 0.02 0.75 0.57 0.59 0.89 ]
[0.69 0.15 0.08 0.81 0.15 0.76 0.63 0.19 0.64 1.00 0.69 0.65 0.62 0.69 0.39 0.19 0.27 0.40 0.99 0.53 0.25 ]
[0.72 0.85 0.27 0.97 0.78 0.44 0.68 0.43 0.26 0.69 1.00 0.43 0.02 0.89 0.73 0.74 0.61 0.74 0.36 0.56 0.89 ]
[0.27 0.67 0.86 0.95 0.12 0.67 0.52 0.66 0.10 0.65 0.43 1.00 0.20 0.10 0.35 0.27 0.15 0.38 0.62 0.64 0.69 ]
[0.17 0.54 0.75 0.40 0.54 0.85 0.84 0.16 0.98 0.62 0.02 0.20 1.00 0.32 0.05 0.39 0.04 0.70 0.66 0.69 0.65 ]
[0.85 0.53 0.94 0.83 0.12 0.38 0.35 0.51 0.56 0.69 0.89 0.10 0.32 1.00 0.72 0.22 0.53 0.04 0.62 0.17 0.32 ]
[0.29 0.45 0.17 0.55 0.37 0.41 0.44 0.02 0.96 0.39 0.73 0.35 0.05 0.72 1.00 0.09 0.23 0.57 0.74 0.41 0.87 ]
[0.10 0.21 0.29 0.54 0.59 0.99 0.52 0.27 0.21 0.19 0.74 0.27 0.39 0.22 0.09 1.00 0.87 0.74 0.37 0.12 0.34 ]
[0.73 0.86 0.69 0.62 0.03 0.81 0.17 0.94 0.02 0.27 0.61 0.15 0.04 0.53 0.23 0.87 1.00 0.22 0.53 0.26 0.09 ]
[0.01 0.43 0.92 0.30 0.92 0.63 0.64 0.50 0.75 0.40 0.74 0.38 0.70 0.04 0.57 0.74 0.22 1.00 0.43 0.48 0.75 ]
[0.63 0.58 0.19 0.86 0.09 0.31 0.93 0.20 0.57 0.99 0.36 0.62 0.66 0.62 0.74 0.37 0.53 0.43 1.00 0.09 0.11 ]
[0.31 0.94 0.74 0.39 0.88 0.19 0.79 0.00 0.59 0.53 0.56 0.64 0.69 0.17 0.41 0.12 0.26 0.48 0.09 1.00 0.56 ]
[0.81 0.64 0.98 0.75 0.54 0.55 0.65 0.80 0.89 0.25 0.89 0.69 0.65 0.32 0.87 0.34 0.09 0.75 0.11 0.56 1.00 ]
];
