D = 2;
n = [ 1 1 ];
N = 20;
d = [1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.20 0.71 1.00 0.23 0.20 0.40 0.04 0.71 0.91 0.62 0.66 0.16 0.13 0.35 0.99 0.86 0.12 0.95 0.04 ]
[0.20 1.00 0.70 0.91 0.61 0.69 0.25 0.01 0.80 0.13 1.00 0.23 0.81 0.03 0.40 0.01 0.44 0.84 0.07 0.08 ]
[0.71 0.70 1.00 0.65 0.20 0.45 0.09 0.02 0.20 0.00 0.30 0.42 0.59 0.69 0.26 0.00 0.97 0.95 0.97 0.45 ]
[1.00 0.91 0.65 1.00 0.51 0.99 0.89 0.66 0.99 0.96 0.60 0.86 0.93 0.57 0.72 0.70 0.00 0.05 0.49 0.13 ]
[0.23 0.61 0.20 0.51 1.00 0.13 0.24 0.66 0.83 0.94 0.59 0.10 0.05 0.48 0.17 0.12 0.73 0.93 0.25 0.62 ]
[0.20 0.69 0.45 0.99 0.13 1.00 0.14 0.21 0.25 0.54 0.08 0.38 0.06 0.13 0.79 0.11 0.50 0.62 0.39 0.63 ]
[0.40 0.25 0.09 0.89 0.24 0.14 1.00 0.66 0.21 0.16 0.80 0.61 0.78 0.86 0.66 0.56 0.83 0.17 0.88 0.67 ]
[0.04 0.01 0.02 0.66 0.66 0.21 0.66 1.00 0.63 0.70 0.97 0.25 0.34 0.45 0.37 0.51 0.76 0.28 0.64 0.44 ]
[0.71 0.80 0.20 0.99 0.83 0.25 0.21 0.63 1.00 0.67 0.53 0.15 0.44 0.26 0.25 0.45 0.69 0.18 0.91 0.50 ]
[0.91 0.13 0.00 0.96 0.94 0.54 0.16 0.70 0.67 1.00 0.97 0.50 0.47 0.25 0.38 0.25 0.52 0.15 0.93 0.96 ]
[0.62 1.00 0.30 0.60 0.59 0.08 0.80 0.97 0.53 0.97 1.00 0.46 0.94 0.90 0.46 0.94 0.13 0.41 0.95 0.40 ]
[0.66 0.23 0.42 0.86 0.10 0.38 0.61 0.25 0.15 0.50 0.46 1.00 0.40 0.37 0.99 0.39 0.83 0.95 0.14 0.85 ]
[0.16 0.81 0.59 0.93 0.05 0.06 0.78 0.34 0.44 0.47 0.94 0.40 1.00 0.87 0.95 0.25 0.37 0.36 0.32 0.56 ]
[0.13 0.03 0.69 0.57 0.48 0.13 0.86 0.45 0.26 0.25 0.90 0.37 0.87 1.00 0.48 0.12 0.98 0.96 0.84 0.75 ]
[0.35 0.40 0.26 0.72 0.17 0.79 0.66 0.37 0.25 0.38 0.46 0.99 0.95 0.48 1.00 0.99 0.56 0.53 0.41 0.06 ]
[0.99 0.01 0.00 0.70 0.12 0.11 0.56 0.51 0.45 0.25 0.94 0.39 0.25 0.12 0.99 1.00 0.81 0.75 0.31 0.78 ]
[0.86 0.44 0.97 0.00 0.73 0.50 0.83 0.76 0.69 0.52 0.13 0.83 0.37 0.98 0.56 0.81 1.00 0.12 0.77 0.07 ]
[0.12 0.84 0.95 0.05 0.93 0.62 0.17 0.28 0.18 0.15 0.41 0.95 0.36 0.96 0.53 0.75 0.12 1.00 0.94 0.40 ]
[0.95 0.07 0.97 0.49 0.25 0.39 0.88 0.64 0.91 0.93 0.95 0.14 0.32 0.84 0.41 0.31 0.77 0.94 1.00 0.68 ]
[0.04 0.08 0.45 0.13 0.62 0.63 0.67 0.44 0.50 0.96 0.40 0.85 0.56 0.75 0.06 0.78 0.07 0.40 0.68 1.00 ]
];
