D = 2;
n = [ 5 5 ];
N = 11;
d = [1 1 1 1 1 2 2 2 2 2 2 ];
m = [
[1.00 0.05 0.04 0.44 0.46 0.39 0.32 0.55 0.42 0.76 0.70 ]
[0.05 1.00 0.40 0.34 0.58 0.53 0.50 0.33 0.30 0.48 0.41 ]
[0.04 0.40 1.00 0.99 0.84 0.20 0.27 0.51 0.84 0.42 0.47 ]
[0.44 0.34 0.99 1.00 0.12 0.96 0.27 1.00 0.81 0.28 0.34 ]
[0.46 0.58 0.84 0.12 1.00 0.53 0.10 0.24 0.32 0.96 0.38 ]
[0.39 0.53 0.20 0.96 0.53 1.00 0.28 0.65 0.48 0.86 0.24 ]
[0.32 0.50 0.27 0.27 0.10 0.28 1.00 0.54 0.51 0.28 0.12 ]
[0.55 0.33 0.51 1.00 0.24 0.65 0.54 1.00 0.00 0.84 0.50 ]
[0.42 0.30 0.84 0.81 0.32 0.48 0.51 0.00 1.00 0.35 0.61 ]
[0.76 0.48 0.42 0.28 0.96 0.86 0.28 0.84 0.35 1.00 0.94 ]
[0.70 0.41 0.47 0.34 0.38 0.24 0.12 0.50 0.61 0.94 1.00 ]
];
