D = 4;
n = [ 3 3 3 3 ];
N = 13;
d = [1 1 1 2 2 2 3 3 3 4 4 4 4 ];
m = [
[1.00 0.60 0.59 0.60 0.71 0.81 0.36 0.37 0.32 0.37 0.91 0.09 0.66 ]
[0.60 1.00 0.33 0.39 0.80 0.70 0.74 0.31 0.43 0.94 0.96 0.11 0.75 ]
[0.59 0.33 1.00 0.81 0.49 0.04 0.18 0.32 0.49 0.84 0.60 0.93 0.89 ]
[0.60 0.39 0.81 1.00 0.64 0.87 0.91 0.57 0.60 0.16 0.74 0.23 0.18 ]
[0.71 0.80 0.49 0.64 1.00 0.73 0.16 0.04 0.59 0.18 0.56 0.45 0.14 ]
[0.81 0.70 0.04 0.87 0.73 1.00 0.78 0.52 0.22 0.47 0.06 0.47 0.32 ]
[0.36 0.74 0.18 0.91 0.16 0.78 1.00 0.20 0.00 0.44 0.84 0.94 0.09 ]
[0.37 0.31 0.32 0.57 0.04 0.52 0.20 1.00 0.60 0.80 0.79 0.05 0.92 ]
[0.32 0.43 0.49 0.60 0.59 0.22 0.00 0.60 1.00 0.03 0.25 0.95 0.61 ]
[0.37 0.94 0.84 0.16 0.18 0.47 0.44 0.80 0.03 1.00 0.16 0.54 0.28 ]
[0.91 0.96 0.60 0.74 0.56 0.06 0.84 0.79 0.25 0.16 1.00 0.29 0.57 ]
[0.09 0.11 0.93 0.23 0.45 0.47 0.94 0.05 0.95 0.54 0.29 1.00 0.11 ]
[0.66 0.75 0.89 0.18 0.14 0.32 0.09 0.92 0.61 0.28 0.57 0.11 1.00 ]
];
