D = 6;
n = [ 3 3 3 3 3 3 ];
N = 24;
d = [1 1 1 1 2 2 2 2 3 3 3 3 4 4 4 4 5 5 5 5 6 6 6 6 ];
m = [
[1.00 0.19 0.39 0.38 0.37 0.84 0.23 0.81 0.82 0.46 0.05 0.07 0.78 0.55 0.38 0.27 0.70 0.59 0.43 0.78 0.08 0.77 0.28 0.38 ]
[0.19 1.00 0.51 0.51 0.69 0.86 0.66 0.20 0.60 0.77 0.22 0.81 0.44 0.71 0.17 0.77 0.31 0.48 0.90 0.53 0.52 0.60 0.52 0.98 ]
[0.39 0.51 1.00 0.83 0.42 0.78 0.22 0.22 0.90 0.86 0.89 0.91 0.73 0.15 0.78 0.74 0.03 0.20 0.59 0.47 0.42 0.28 0.39 0.49 ]
[0.38 0.51 0.83 1.00 0.56 0.63 0.43 0.45 0.88 0.92 0.13 0.23 0.85 0.40 0.76 0.84 0.41 0.44 0.94 0.12 0.79 0.38 0.55 0.62 ]
[0.37 0.69 0.42 0.56 1.00 0.30 0.09 0.50 0.57 0.06 0.38 0.53 0.86 0.02 0.44 0.18 0.95 0.68 0.17 0.78 0.34 0.62 0.66 0.89 ]
[0.84 0.86 0.78 0.63 0.30 1.00 0.01 0.15 0.29 0.77 0.09 0.10 0.23 0.39 0.17 0.31 0.50 0.39 0.72 0.11 0.49 0.21 0.82 0.29 ]
[0.23 0.66 0.22 0.43 0.09 0.01 1.00 0.87 0.12 0.14 0.88 0.30 0.32 0.27 0.48 0.33 0.05 0.17 0.37 0.43 0.83 0.07 0.15 0.37 ]
[0.81 0.20 0.22 0.45 0.50 0.15 0.87 1.00 0.89 0.63 0.13 0.51 0.16 0.84 0.39 0.78 0.34 0.99 0.91 0.93 0.66 0.53 0.04 0.53 ]
[0.82 0.60 0.90 0.88 0.57 0.29 0.12 0.89 1.00 0.46 0.02 0.83 0.77 0.07 0.23 0.02 0.88 0.01 0.65 0.32 0.42 0.52 0.89 0.78 ]
[0.46 0.77 0.86 0.92 0.06 0.77 0.14 0.63 0.46 1.00 0.41 0.43 0.69 0.95 0.84 0.14 0.59 0.64 0.76 0.51 0.67 0.63 0.07 0.69 ]
[0.05 0.22 0.89 0.13 0.38 0.09 0.88 0.13 0.02 0.41 1.00 0.44 0.48 0.61 0.94 0.36 0.87 0.03 0.22 0.69 0.45 0.53 0.52 0.20 ]
[0.07 0.81 0.91 0.23 0.53 0.10 0.30 0.51 0.83 0.43 0.44 1.00 0.53 0.47 0.15 0.49 0.87 0.06 0.37 0.57 0.85 0.37 0.06 0.62 ]
[0.78 0.44 0.73 0.85 0.86 0.23 0.32 0.16 0.77 0.69 0.48 0.53 1.00 0.20 0.73 0.01 0.83 0.10 0.22 0.36 0.73 0.06 0.69 0.77 ]
[0.55 0.71 0.15 0.40 0.02 0.39 0.27 0.84 0.07 0.95 0.61 0.47 0.20 1.00 0.91 0.66 0.98 0.17 0.77 0.09 0.92 0.46 0.05 0.53 ]
[0.38 0.17 0.78 0.76 0.44 0.17 0.48 0.39 0.23 0.84 0.94 0.15 0.73 0.91 1.00 0.81 0.46 0.69 0.17 0.83 0.11 0.89 0.61 0.61 ]
[0.27 0.77 0.74 0.84 0.18 0.31 0.33 0.78 0.02 0.14 0.36 0.49 0.01 0.66 0.81 1.00 1.00 0.28 0.13 0.38 0.73 0.00 0.39 0.08 ]
[0.70 0.31 0.03 0.41 0.95 0.50 0.05 0.34 0.88 0.59 0.87 0.87 0.83 0.98 0.46 1.00 1.00 0.00 0.12 0.19 0.93 0.50 0.01 0.77 ]
[0.59 0.48 0.20 0.44 0.68 0.39 0.17 0.99 0.01 0.64 0.03 0.06 0.10 0.17 0.69 0.28 0.00 1.00 0.96 0.83 0.08 0.34 0.61 0.46 ]
[0.43 0.90 0.59 0.94 0.17 0.72 0.37 0.91 0.65 0.76 0.22 0.37 0.22 0.77 0.17 0.13 0.12 0.96 1.00 0.12 0.28 0.91 0.46 0.82 ]
[0.78 0.53 0.47 0.12 0.78 0.11 0.43 0.93 0.32 0.51 0.69 0.57 0.36 0.09 0.83 0.38 0.19 0.83 0.12 1.00 0.91 0.88 0.64 0.46 ]
[0.08 0.52 0.42 0.79 0.34 0.49 0.83 0.66 0.42 0.67 0.45 0.85 0.73 0.92 0.11 0.73 0.93 0.08 0.28 0.91 1.00 0.36 0.88 0.08 ]
[0.77 0.60 0.28 0.38 0.62 0.21 0.07 0.53 0.52 0.63 0.53 0.37 0.06 0.46 0.89 0.00 0.50 0.34 0.91 0.88 0.36 1.00 0.60 0.02 ]
[0.28 0.52 0.39 0.55 0.66 0.82 0.15 0.04 0.89 0.07 0.52 0.06 0.69 0.05 0.61 0.39 0.01 0.61 0.46 0.64 0.88 0.60 1.00 0.80 ]
[0.38 0.98 0.49 0.62 0.89 0.29 0.37 0.53 0.78 0.69 0.20 0.62 0.77 0.53 0.61 0.08 0.77 0.46 0.82 0.46 0.08 0.02 0.80 1.00 ]
];
