D = 8;
n = [ 2 2 2 2 2 2 2 2 ];
N = 16;
d = [1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 ];
m = [
[1.00 0.63 0.77 0.26 0.02 0.73 0.43 0.86 0.60 0.67 0.34 0.58 0.28 0.97 0.55 0.95 ]
[0.63 1.00 0.33 0.93 0.96 0.39 0.32 0.55 0.32 0.57 0.11 0.39 0.82 0.97 0.01 0.09 ]
[0.77 0.33 1.00 0.87 0.34 0.75 0.12 0.04 0.96 0.09 0.73 0.49 0.88 0.59 0.10 0.79 ]
[0.26 0.93 0.87 1.00 0.50 0.51 0.62 0.70 0.98 0.82 0.99 0.18 0.23 0.02 0.20 0.93 ]
[0.02 0.96 0.34 0.50 1.00 0.17 0.23 0.45 0.63 0.79 0.01 0.92 0.73 0.53 0.39 0.94 ]
[0.73 0.39 0.75 0.51 0.17 1.00 0.30 0.51 0.22 0.62 0.42 0.96 0.79 0.04 0.66 0.83 ]
[0.43 0.32 0.12 0.62 0.23 0.30 1.00 0.28 0.59 0.40 0.07 0.76 0.59 0.56 0.97 0.88 ]
[0.86 0.55 0.04 0.70 0.45 0.51 0.28 1.00 0.59 0.32 0.81 0.97 0.28 0.02 0.33 0.01 ]
[0.60 0.32 0.96 0.98 0.63 0.22 0.59 0.59 1.00 0.06 0.85 0.62 0.51 0.82 0.05 0.44 ]
[0.67 0.57 0.09 0.82 0.79 0.62 0.40 0.32 0.06 1.00 0.69 0.25 0.92 0.77 0.77 0.21 ]
[0.34 0.11 0.73 0.99 0.01 0.42 0.07 0.81 0.85 0.69 1.00 0.86 0.37 0.26 0.56 0.15 ]
[0.58 0.39 0.49 0.18 0.92 0.96 0.76 0.97 0.62 0.25 0.86 1.00 0.36 0.70 0.49 0.30 ]
[0.28 0.82 0.88 0.23 0.73 0.79 0.59 0.28 0.51 0.92 0.37 0.36 1.00 0.57 0.35 0.79 ]
[0.97 0.97 0.59 0.02 0.53 0.04 0.56 0.02 0.82 0.77 0.26 0.70 0.57 1.00 0.75 0.66 ]
[0.55 0.01 0.10 0.20 0.39 0.66 0.97 0.33 0.05 0.77 0.56 0.49 0.35 0.75 1.00 0.09 ]
[0.95 0.09 0.79 0.93 0.94 0.83 0.88 0.01 0.44 0.21 0.15 0.30 0.79 0.66 0.09 1.00 ]
];
