D = 2;
n = [ 3 3 ];
N = 47;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.22 0.17 0.17 0.18 0.12 0.27 0.31 0.99 0.95 0.46 0.21 0.58 0.47 0.42 0.12 0.44 0.97 0.37 0.13 0.10 0.07 0.50 0.40 0.20 0.72 0.76 0.66 0.82 0.85 0.31 0.59 0.06 0.82 0.92 0.70 0.60 0.22 0.99 0.72 0.74 0.39 0.60 0.93 0.66 0.16 0.03 ]
[0.22 1.00 0.05 0.67 0.20 0.08 0.67 0.94 0.51 0.91 0.67 0.40 0.58 0.81 0.56 0.33 0.68 0.25 0.71 0.92 0.75 0.85 0.23 0.99 0.39 0.28 0.51 0.93 0.45 0.44 0.33 0.82 0.61 0.62 0.64 0.25 0.76 0.10 0.58 0.16 0.80 0.06 0.44 0.22 0.58 0.84 0.18 ]
[0.17 0.05 1.00 0.00 0.75 0.91 0.87 0.54 0.28 0.30 0.18 0.69 0.49 0.02 0.52 0.86 0.43 0.47 0.12 0.79 0.28 0.61 0.08 0.08 0.32 0.96 0.75 0.31 0.02 0.72 0.94 0.39 0.08 0.17 0.74 0.79 0.69 0.18 0.04 0.81 0.98 0.82 0.04 0.59 0.16 0.41 0.94 ]
[0.17 0.67 0.00 1.00 0.32 0.81 0.99 0.73 0.94 0.09 0.50 0.36 0.65 0.22 0.35 0.39 0.93 0.75 0.23 0.39 0.57 0.58 0.25 0.60 0.23 0.46 0.80 0.48 0.40 0.49 0.59 0.65 0.53 0.30 0.90 0.41 1.00 0.30 0.52 0.42 0.20 0.22 0.57 0.17 0.69 0.35 0.17 ]
[0.18 0.20 0.75 0.32 1.00 0.17 0.03 0.28 0.80 0.47 0.93 0.40 0.06 0.64 0.28 0.05 0.07 0.09 0.63 0.69 0.57 0.96 0.34 0.47 0.77 0.41 0.23 0.73 0.82 0.81 0.58 0.65 0.68 0.28 0.16 0.02 0.02 0.06 0.53 0.31 0.90 0.56 0.46 0.52 0.18 0.96 0.75 ]
[0.12 0.08 0.91 0.81 0.17 1.00 0.53 0.81 0.39 0.85 0.72 0.75 0.44 0.43 0.95 0.14 0.76 0.06 0.73 0.91 0.95 0.72 0.70 0.09 0.32 0.70 1.00 0.67 0.17 0.48 0.04 0.53 0.05 0.20 0.49 0.89 0.56 0.13 0.88 0.70 0.62 0.28 0.80 0.20 0.38 0.77 0.26 ]
[0.27 0.67 0.87 0.99 0.03 0.53 1.00 0.46 0.56 0.35 0.82 0.32 0.65 0.57 0.41 0.17 0.74 0.68 0.03 0.89 0.20 0.99 0.79 0.08 0.20 0.61 0.12 0.85 0.17 0.50 0.40 0.20 0.73 0.58 0.33 0.50 0.16 0.16 0.97 0.12 0.42 0.27 0.81 0.60 0.70 0.77 0.93 ]
[0.31 0.94 0.54 0.73 0.28 0.81 0.46 1.00 0.70 0.06 0.24 0.42 0.72 0.89 0.35 0.18 0.55 0.32 0.22 0.95 0.31 0.04 0.80 0.77 0.31 0.36 0.63 0.75 0.39 0.66 0.54 0.07 0.12 0.94 0.33 0.79 0.91 0.33 0.85 0.43 0.78 0.20 0.85 0.16 0.97 0.94 0.25 ]
[0.99 0.51 0.28 0.94 0.80 0.39 0.56 0.70 1.00 0.99 0.30 0.60 0.24 0.96 0.97 0.15 0.87 0.85 0.22 0.60 0.20 0.64 0.88 0.58 0.05 0.26 0.45 0.08 0.60 0.86 0.47 0.45 0.54 0.86 0.58 0.54 0.56 0.90 0.15 0.34 0.68 0.89 0.71 0.79 0.96 0.67 0.86 ]
[0.95 0.91 0.30 0.09 0.47 0.85 0.35 0.06 0.99 1.00 0.09 0.22 0.66 0.10 0.22 0.58 0.46 0.76 0.83 0.83 0.74 0.95 0.32 0.05 0.83 0.56 0.64 0.85 0.57 0.62 0.29 0.07 0.05 0.56 0.44 0.16 0.55 0.30 0.53 0.94 0.16 0.37 0.81 0.19 0.47 0.67 0.42 ]
[0.46 0.67 0.18 0.50 0.93 0.72 0.82 0.24 0.30 0.09 1.00 0.44 0.61 0.05 0.40 0.97 0.46 0.79 0.45 0.03 0.64 0.32 0.13 0.45 0.35 0.14 0.64 0.41 0.39 0.14 0.67 0.13 0.19 0.42 0.66 0.12 0.57 0.17 0.41 0.72 0.27 0.51 0.34 0.16 0.07 0.10 0.66 ]
