D = 2;
n = [ 3 3 ];
N = 12;
d = [1 1 1 1 1 1 2 2 2 2 2 2 ];
m = [
[1.00 0.04 0.90 0.51 0.69 0.97 0.19 0.76 0.54 0.40 0.32 0.37 ]
[0.04 1.00 0.71 0.70 0.26 0.10 0.06 0.44 0.06 0.33 0.68 0.99 ]
[0.90 0.71 1.00 0.29 0.23 0.70 0.78 0.94 0.26 0.01 0.59 0.84 ]
[0.51 0.70 0.29 1.00 0.94 0.25 0.48 0.04 0.41 0.01 0.90 0.23 ]
[0.69 0.26 0.23 0.94 1.00 0.13 0.91 0.94 0.88 0.77 0.71 0.17 ]
[0.97 0.10 0.70 0.25 0.13 1.00 0.90 0.34 0.71 0.83 0.66 0.10 ]
[0.19 0.06 0.78 0.48 0.91 0.90 1.00 0.49 0.65 0.04 0.92 0.94 ]
[0.76 0.44 0.94 0.04 0.94 0.34 0.49 1.00 0.62 0.22 0.05 0.30 ]
[0.54 0.06 0.26 0.41 0.88 0.71 0.65 0.62 1.00 0.48 0.93 0.96 ]
[0.40 0.33 0.01 0.01 0.77 0.83 0.04 0.22 0.48 1.00 0.35 0.76 ]
[0.32 0.68 0.59 0.90 0.71 0.66 0.92 0.05 0.93 0.35 1.00 0.99 ]
[0.37 0.99 0.84 0.23 0.17 0.10 0.94 0.30 0.96 0.76 0.99 1.00 ]
];
