D = 2;
n = [ 5 5 ];
N = 46;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.86 0.95 0.49 0.50 0.71 0.96 0.99 0.73 0.73 0.32 0.59 0.05 0.82 0.14 0.96 0.53 0.24 0.04 0.10 0.49 0.71 0.59 0.80 0.84 0.53 0.20 0.06 0.88 0.69 0.93 0.27 0.35 0.27 0.04 0.63 0.61 0.57 0.67 0.73 0.19 0.50 0.97 0.64 0.06 0.01 ]
[0.86 1.00 0.58 0.76 0.21 0.63 0.31 0.07 0.52 0.83 0.40 0.97 0.90 0.59 0.53 0.82 0.50 0.11 0.29 0.68 0.80 0.36 0.74 0.35 0.39 0.83 0.16 0.69 0.75 0.79 0.43 0.22 0.06 0.17 0.68 0.82 0.49 0.44 0.90 0.06 0.28 0.13 0.92 0.87 0.50 0.71 ]
[0.95 0.58 1.00 0.24 0.48 0.43 0.08 0.49 0.98 0.10 0.51 0.25 0.16 0.96 0.99 0.43 0.18 0.07 0.61 0.97 0.36 0.70 0.76 0.19 0.46 0.85 0.66 0.70 0.70 0.99 0.61 0.02 0.94 0.39 0.56 0.79 0.12 0.53 0.74 0.31 0.79 0.30 0.89 0.99 0.63 0.38 ]
[0.49 0.76 0.24 1.00 0.30 0.29 0.19 0.35 0.18 0.27 0.48 0.77 0.34 0.06 0.08 0.55 0.19 0.59 0.26 0.92 0.24 0.89 0.91 0.04 0.02 0.83 0.31 0.68 0.94 0.70 0.53 0.99 0.37 0.08 0.69 0.96 0.54 0.15 0.45 0.83 0.33 0.26 0.25 0.51 0.15 0.02 ]
[0.50 0.21 0.48 0.30 1.00 0.42 0.12 0.28 0.57 0.98 0.45 0.22 0.49 0.64 0.73 0.56 0.82 0.39 0.45 0.77 0.16 0.13 0.12 0.90 0.49 0.49 0.34 0.53 0.46 0.53 0.66 0.18 0.70 0.68 0.74 0.97 0.86 0.46 0.08 0.89 0.02 0.66 0.57 0.60 0.55 0.94 ]
[0.71 0.63 0.43 0.29 0.42 1.00 0.10 0.10 0.10 0.01 0.94 0.29 0.25 0.98 0.24 0.81 0.10 0.80 0.16 0.67 0.09 0.60 0.86 0.67 0.46 0.80 0.38 0.20 0.35 0.01 0.23 0.82 0.02 0.26 0.51 0.83 0.81 0.64 0.29 0.45 0.26 0.88 0.45 0.54 0.26 0.94 ]
[0.96 0.31 0.08 0.19 0.12 0.10 1.00 0.68 0.70 0.38 0.86 0.10 1.00 0.59 0.62 0.73 0.98 0.50 0.48 0.82 0.92 0.81 0.43 0.71 0.94 0.16 0.53 0.72 0.59 0.38 0.30 1.00 0.30 0.74 0.31 0.25 0.14 0.34 0.25 0.04 0.85 0.56 0.07 0.51 0.46 0.43 ]
[0.99 0.07 0.49 0.35 0.28 0.10 0.68 1.00 0.34 0.67 0.45 0.78 0.69 0.02 0.71 0.53 0.24 0.73 0.09 0.99 0.94 0.31 0.19 0.88 0.64 0.17 0.69 0.70 0.65 0.90 0.09 0.15 0.57 0.98 0.04 0.65 0.93 0.92 0.46 0.87 0.65 0.30 0.60 0.43 0.20 0.74 ]
[0.73 0.52 0.98 0.18 0.57 0.10 0.70 0.34 1.00 0.83 0.79 0.27 0.37 0.31 0.61 0.36 0.15 0.32 0.76 0.31 0.84 0.79 0.59 0.06 0.67 0.91 0.01 0.27 0.57 0.88 0.31 0.16 0.70 0.85 0.95 0.10 0.07 0.21 0.25 0.04 0.92 0.48 0.62 0.66 0.09 0.82 ]
[0.73 0.83 0.10 0.27 0.98 0.01 0.38 0.67 0.83 1.00 0.14 0.76 0.91 0.23 0.14 0.34 0.83 0.85 0.18 0.22 0.62 0.47 0.34 0.26 0.44 0.00 0.46 0.61 0.21 0.71 0.38 0.25 0.11 0.91 0.40 0.32 0.75 0.71 0.81 0.18 0.02 0.72 0.58 0.48 0.81 0.05 ]
[0.32 0.40 0.51 0.48 0.45 0.94 0.86 0.45 0.79 0.14 1.00 0.13 0.86 0.08 0.42 0.97 0.05 0.01 0.99 0.28 0.65 0.15 0.72 0.39 0.01 0.13 0.58 0.40 0.57 0.23 0.97 0.25 0.88 0.67 0.17 0.26 0.97 0.81 0.27 0.70 0.53 0.13 0.26 0.74 0.17 0.57 ]
[0.59 0.97 0.25 0.77 0.22 0.29 0.10 0.78 0.27 0.76 0.13 1.00 1.00 0.02 0.60 0.10 0.70 0.11 0.13 0.06 0.42 0.66 0.65 0.99 0.04 0.32 0.76 0.01 0.92 0.47 0.86 0.21 0.59 0.22 0.64 0.72 0.71 0.86 0.54 0.53 0.71 0.79 0.40 0.63 0.33 0.36 ]
[0.05 0.90 0.16 0.34 0.49 0.25 1.00 0.69 0.37 0.91 0.86 1.00 1.00 0.60 0.88 0.99 0.04 0.01 0.37 0.50 0.97 0.66 0.40 0.09 0.39 0.26 0.44 0.33 0.57 0.31 0.17 0.39 0.50 0.48 0.16 0.37 0.56 0.29 0.11 0.97 0.86 0.53 0.98 0.30 0.36 0.03 ]
[0.82 0.59 0.96 0.06 0.64 0.98 0.59 0.02 0.31 0.23 0.08 0.02 0.60 1.00 0.16 0.99 0.12 0.10 0.66 0.29 0.67 0.32 0.62 0.57 0.19 0.99 0.09 0.34 0.44 0.60 0.96 0.23 0.13 0.30 0.01 0.39 0.65 0.08 0.48 0.60 0.05 0.83 0.26 0.80 0.56 0.48 ]
[0.14 0.53 0.99 0.08 0.73 0.24 0.62 0.71 0.61 0.14 0.42 0.60 0.88 0.16 1.00 0.64 0.52 0.88 0.10 0.04 0.23 0.22 0.22 0.55 0.29 0.99 0.61 0.90 0.46 0.98 0.18 0.90 0.97 0.76 0.17 0.42 0.05 0.26 0.70 0.84 0.09 0.65 0.24 0.44 0.25 0.41 ]
[0.96 0.82 0.43 0.55 0.56 0.81 0.73 0.53 0.36 0.34 0.97 0.10 0.99 0.99 0.64 1.00 0.56 0.22 0.65 0.33 0.29 0.47 0.94 0.49 0.97 0.83 0.64 0.72 0.34 0.85 0.34 0.98 0.35 0.73 0.69 0.73 0.75 0.77 0.46 0.45 0.62 0.32 0.99 0.74 0.30 0.58 ]
[0.53 0.50 0.18 0.19 0.82 0.10 0.98 0.24 0.15 0.83 0.05 0.70 0.04 0.12 0.52 0.56 1.00 0.02 0.22 0.60 0.37 0.13 0.97 0.12 0.01 0.84 0.65 0.96 1.00 0.02 0.58 0.64 0.40 1.00 0.31 0.74 0.59 0.06 0.82 0.45 0.65 0.90 0.21 0.00 0.07 0.82 ]
[0.24 0.11 0.07 0.59 0.39 0.80 0.50 0.73 0.32 0.85 0.01 0.11 0.01 0.10 0.88 0.22 0.02 1.00 0.74 0.36 0.37 0.50 0.70 0.53 0.42 0.62 0.59 0.54 0.59 0.66 0.81 0.99 0.96 0.16 0.50 0.98 0.55 0.48 0.98 0.22 0.58 0.79 0.21 0.16 0.56 0.80 ]
[0.04 0.29 0.61 0.26 0.45 0.16 0.48 0.09 0.76 0.18 0.99 0.13 0.37 0.66 0.10 0.65 0.22 0.74 1.00 0.56 0.10 0.06 0.44 0.01 0.78 0.87 0.61 0.06 0.01 0.20 0.90 0.51 0.39 0.63 0.70 0.44 0.13 0.17 0.79 0.98 0.41 0.61 0.68 0.22 0.99 0.45 ]
[0.10 0.68 0.97 0.92 0.77 0.67 0.82 0.99 0.31 0.22 0.28 0.06 0.50 0.29 0.04 0.33 0.60 0.36 0.56 1.00 0.16 0.48 0.73 0.30 0.37 0.60 0.09 0.05 0.99 0.57 0.59 0.67 0.01 0.28 0.10 0.08 0.51 0.95 0.55 0.20 0.81 0.52 0.69 0.86 0.16 0.10 ]
[0.49 0.80 0.36 0.24 0.16 0.09 0.92 0.94 0.84 0.62 0.65 0.42 0.97 0.67 0.23 0.29 0.37 0.37 0.10 0.16 1.00 0.92 0.83 0.54 0.33 0.90 0.69 0.97 0.66 0.92 0.61 0.82 0.63 0.39 0.72 0.06 0.64 0.45 0.38 0.55 0.03 0.79 0.37 0.04 0.89 0.12 ]
[0.71 0.36 0.70 0.89 0.13 0.60 0.81 0.31 0.79 0.47 0.15 0.66 0.66 0.32 0.22 0.47 0.13 0.50 0.06 0.48 0.92 1.00 0.46 0.81 0.55 0.20 0.17 0.18 0.24 0.50 0.28 0.93 0.10 0.62 0.92 0.02 0.26 0.91 0.12 0.62 0.07 0.70 0.08 0.68 0.34 0.74 ]
[0.59 0.74 0.76 0.91 0.12 0.86 0.43 0.19 0.59 0.34 0.72 0.65 0.40 0.62 0.22 0.94 0.97 0.70 0.44 0.73 0.83 0.46 1.00 0.37 0.68 0.43 0.69 0.36 0.03 0.71 0.97 0.07 0.27 0.29 0.01 0.11 0.80 0.88 0.56 0.59 0.41 0.08 0.90 0.52 0.06 0.29 ]
