D = 2;
n = [ 4 4 ];
N = 18;
d = [1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.47 0.70 0.90 0.34 0.06 0.86 0.17 0.51 0.90 0.92 0.44 0.35 0.30 0.90 0.14 0.82 0.87 ]
[0.47 1.00 0.45 0.57 0.93 0.60 0.32 0.28 0.87 0.30 0.23 0.63 0.35 0.23 0.17 0.99 0.20 0.70 ]
[0.70 0.45 1.00 0.68 0.60 0.84 0.94 0.49 0.32 0.71 0.37 0.48 0.73 0.75 0.00 0.51 0.75 0.67 ]
[0.90 0.57 0.68 1.00 0.65 0.68 0.31 0.02 0.10 0.24 0.18 0.58 0.63 0.04 0.63 0.08 0.49 0.46 ]
[0.34 0.93 0.60 0.65 1.00 0.14 0.32 0.29 0.12 0.53 0.14 0.48 0.40 0.71 0.31 0.82 0.34 0.43 ]
[0.06 0.60 0.84 0.68 0.14 1.00 0.41 0.04 0.29 0.52 0.10 0.33 0.05 0.36 0.84 0.92 0.27 0.81 ]
[0.86 0.32 0.94 0.31 0.32 0.41 1.00 0.41 0.27 0.42 0.59 0.20 0.90 0.00 0.91 0.68 0.26 0.12 ]
[0.17 0.28 0.49 0.02 0.29 0.04 0.41 1.00 0.09 0.21 0.04 0.63 0.55 0.61 0.95 0.17 0.71 0.09 ]
[0.51 0.87 0.32 0.10 0.12 0.29 0.27 0.09 1.00 0.90 0.34 0.07 0.54 0.99 0.12 0.08 0.51 0.51 ]
[0.90 0.30 0.71 0.24 0.53 0.52 0.42 0.21 0.90 1.00 0.89 0.88 0.69 0.65 0.27 0.47 0.75 0.36 ]
[0.92 0.23 0.37 0.18 0.14 0.10 0.59 0.04 0.34 0.89 1.00 0.60 0.42 0.79 0.44 0.41 0.76 0.10 ]
[0.44 0.63 0.48 0.58 0.48 0.33 0.20 0.63 0.07 0.88 0.60 1.00 0.78 0.14 0.93 0.67 0.48 0.67 ]
[0.35 0.35 0.73 0.63 0.40 0.05 0.90 0.55 0.54 0.69 0.42 0.78 1.00 0.29 0.91 0.79 0.60 0.76 ]
[0.30 0.23 0.75 0.04 0.71 0.36 0.00 0.61 0.99 0.65 0.79 0.14 0.29 1.00 0.02 0.64 0.05 0.19 ]
[0.90 0.17 0.00 0.63 0.31 0.84 0.91 0.95 0.12 0.27 0.44 0.93 0.91 0.02 1.00 0.71 0.48 0.26 ]
[0.14 0.99 0.51 0.08 0.82 0.92 0.68 0.17 0.08 0.47 0.41 0.67 0.79 0.64 0.71 1.00 0.06 0.49 ]
[0.82 0.20 0.75 0.49 0.34 0.27 0.26 0.71 0.51 0.75 0.76 0.48 0.60 0.05 0.48 0.06 1.00 0.39 ]
[0.87 0.70 0.67 0.46 0.43 0.81 0.12 0.09 0.51 0.36 0.10 0.67 0.76 0.19 0.26 0.49 0.39 1.00 ]
];
