D = 2;
n = [ 3 3 ];
N = 45;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.13 0.10 0.81 0.45 0.82 0.79 0.86 0.57 0.08 0.27 0.08 0.14 0.43 0.13 0.01 0.26 0.79 0.29 0.88 0.07 0.27 0.43 0.24 0.87 0.61 0.57 0.68 0.25 0.55 0.23 0.75 0.36 0.00 0.50 0.80 0.57 0.40 0.28 0.38 0.08 0.04 0.94 0.01 0.15 ]
[0.13 1.00 0.12 0.53 0.76 0.96 0.92 0.89 0.64 0.63 0.14 0.52 0.41 0.91 0.48 0.46 0.43 0.25 0.37 0.56 0.29 0.92 0.57 0.81 0.50 0.24 0.25 0.01 0.86 0.39 0.10 0.47 0.34 0.70 0.15 0.45 0.97 0.02 0.65 0.18 0.88 0.96 0.42 0.20 0.83 ]
[0.10 0.12 1.00 0.04 0.95 0.77 0.10 0.78 0.63 0.60 0.45 0.71 0.01 0.75 0.72 0.53 0.34 0.65 0.62 0.64 0.39 0.68 0.89 0.75 0.07 0.50 0.04 0.09 0.06 0.18 0.48 0.77 0.26 0.94 0.82 0.92 0.38 0.74 0.84 0.42 0.10 0.68 0.92 0.31 0.00 ]
[0.81 0.53 0.04 1.00 0.04 0.58 0.61 0.13 0.95 0.02 0.74 0.50 0.05 0.43 0.01 0.03 0.95 0.97 0.19 0.12 0.51 0.76 0.20 0.62 0.68 0.77 0.20 0.33 0.39 0.23 0.81 0.88 0.02 0.97 0.80 0.55 0.55 0.59 0.28 0.13 0.77 0.29 0.96 1.00 0.73 ]
[0.45 0.76 0.95 0.04 1.00 0.70 0.49 0.45 0.10 0.96 0.63 0.16 0.00 0.69 0.22 0.04 0.20 0.02 0.02 0.17 0.08 0.78 0.73 0.76 0.60 0.94 0.92 0.16 0.74 0.54 0.72 0.84 0.27 0.13 0.06 0.18 0.19 0.96 0.59 0.42 0.40 0.46 0.86 0.24 0.20 ]
[0.82 0.96 0.77 0.58 0.70 1.00 0.51 0.56 0.71 0.47 0.25 0.12 0.04 0.95 0.83 0.97 0.77 0.52 0.41 0.56 0.64 0.76 0.55 0.43 0.40 0.39 0.91 0.42 0.03 0.52 0.16 0.76 0.59 0.85 0.84 0.41 0.56 0.04 0.70 0.74 0.95 0.59 0.19 0.05 0.33 ]
[0.79 0.92 0.10 0.61 0.49 0.51 1.00 0.14 0.99 0.23 0.83 0.23 0.93 0.93 0.12 0.14 0.61 0.73 0.75 0.40 0.08 0.30 0.29 0.63 0.28 0.38 0.03 0.15 0.56 0.87 1.00 0.36 0.50 0.45 0.90 0.64 0.02 0.17 0.40 0.03 0.38 0.30 0.41 0.47 0.15 ]
[0.86 0.89 0.78 0.13 0.45 0.56 0.14 1.00 0.40 0.03 0.91 0.82 0.45 0.71 0.10 0.99 0.88 0.91 0.92 0.22 0.81 0.88 0.53 0.26 0.87 0.71 0.57 0.14 1.00 0.49 0.81 0.41 0.49 0.78 0.38 0.22 0.64 0.33 0.07 0.61 0.67 0.72 0.21 0.48 0.80 ]
[0.57 0.64 0.63 0.95 0.10 0.71 0.99 0.40 1.00 0.80 0.86 0.59 0.12 0.43 0.86 0.44 0.03 0.67 0.73 0.29 0.73 0.20 0.23 0.69 0.15 0.80 0.48 0.47 0.31 0.68 0.43 0.36 0.47 0.40 0.73 0.77 0.34 0.42 0.61 0.60 0.42 0.60 0.22 0.63 0.45 ]
[0.08 0.63 0.60 0.02 0.96 0.47 0.23 0.03 0.80 1.00 0.61 0.81 0.14 0.36 0.22 0.81 0.31 0.59 0.18 0.32 0.52 0.15 0.72 0.54 0.68 0.24 0.57 0.11 0.19 0.77 0.22 0.11 0.68 0.04 0.47 0.28 0.35 1.00 0.87 0.32 0.33 0.40 0.09 0.11 0.95 ]
[0.27 0.14 0.45 0.74 0.63 0.25 0.83 0.91 0.86 0.61 1.00 0.73 0.55 0.29 0.43 0.38 0.34 0.14 0.43 0.40 0.99 0.90 0.31 1.00 0.07 0.02 0.76 0.87 0.20 0.55 0.90 0.13 0.81 0.08 0.81 0.12 0.64 0.71 0.98 0.64 0.19 0.20 0.29 0.78 0.82 ]
[0.08 0.52 0.71 0.50 0.16 0.12 0.23 0.82 0.59 0.81 0.73 1.00 0.56 0.10 0.12 0.56 0.30 0.33 0.61 0.57 0.96 0.19 0.69 0.06 0.20 0.47 0.43 0.32 0.44 0.83 0.88 0.91 0.81 0.69 0.95 0.57 0.13 0.46 0.33 0.50 0.31 0.44 0.50 0.95 0.61 ]
