D = 6;
n = [ 5 5 5 5 5 5 ];
N = 32;
d = [1 1 1 1 1 2 2 2 2 2 3 3 3 3 3 4 4 4 4 4 5 5 5 5 5 6 6 6 6 6 6 6 ];
m = [
[1.00 0.64 0.50 0.22 0.87 0.42 0.13 0.63 0.58 0.13 0.19 0.34 0.96 0.07 0.15 0.81 0.09 0.11 0.06 0.07 0.04 0.73 0.89 0.13 0.09 0.19 0.36 0.56 0.60 0.55 0.70 0.57 ]
[0.64 1.00 0.17 0.65 0.34 0.11 0.54 0.92 0.83 0.12 0.73 0.36 0.29 0.21 0.78 0.16 0.32 0.12 0.63 0.29 0.53 0.92 0.71 0.82 0.61 0.92 0.23 0.75 0.86 0.31 0.18 0.59 ]
[0.50 0.17 1.00 0.72 0.45 0.58 0.66 0.94 0.27 0.74 0.11 0.63 0.48 0.44 0.51 0.10 0.64 0.73 0.94 0.82 0.59 0.46 0.66 0.97 0.55 0.12 0.66 0.51 0.92 0.38 0.39 0.67 ]
[0.22 0.65 0.72 1.00 0.31 0.81 0.44 0.48 0.20 0.74 0.23 0.03 0.40 0.19 0.77 0.30 0.16 0.13 0.83 0.91 0.58 0.49 0.14 0.39 0.04 0.71 1.00 0.88 0.03 0.33 0.95 0.17 ]
[0.87 0.34 0.45 0.31 1.00 0.73 0.54 0.95 0.45 0.88 0.12 0.84 0.84 0.92 0.18 0.36 0.26 0.35 0.63 0.22 0.89 0.46 1.00 0.36 0.28 0.79 0.53 0.08 0.36 0.82 0.82 0.49 ]
[0.42 0.11 0.58 0.81 0.73 1.00 0.80 0.38 0.23 0.63 0.90 0.09 0.24 0.21 0.31 0.03 0.68 0.58 0.62 0.04 0.78 0.21 0.09 0.08 0.52 0.26 0.59 0.95 0.89 0.26 0.18 0.17 ]
[0.13 0.54 0.66 0.44 0.54 0.80 1.00 0.69 0.51 0.25 0.03 0.60 0.76 0.38 0.98 0.45 0.77 0.69 0.42 0.88 0.24 0.32 0.28 0.79 0.63 0.81 0.81 0.70 0.01 0.78 0.75 0.51 ]
[0.63 0.92 0.94 0.48 0.95 0.38 0.69 1.00 0.26 0.92 0.73 0.55 0.43 0.24 0.21 0.10 0.52 0.20 0.02 0.51 0.61 0.89 0.71 0.61 0.94 0.59 0.14 0.84 0.83 0.73 0.53 0.48 ]
[0.58 0.83 0.27 0.20 0.45 0.23 0.51 0.26 1.00 0.82 0.50 0.17 0.78 0.99 0.75 0.28 0.37 0.83 0.24 0.66 0.80 0.16 0.61 0.62 0.81 0.14 0.98 0.72 0.99 0.52 0.23 0.75 ]
[0.13 0.12 0.74 0.74 0.88 0.63 0.25 0.92 0.82 1.00 0.17 0.64 0.03 0.40 0.06 0.60 0.65 0.64 0.18 0.53 0.67 0.83 0.48 0.28 0.35 0.91 0.82 0.17 0.85 0.14 0.16 0.91 ]
[0.19 0.73 0.11 0.23 0.12 0.90 0.03 0.73 0.50 0.17 1.00 0.77 0.16 0.10 0.21 0.39 0.53 0.95 0.41 0.22 0.30 0.81 0.04 0.76 0.56 0.28 0.13 0.93 0.37 0.13 0.37 0.34 ]
[0.34 0.36 0.63 0.03 0.84 0.09 0.60 0.55 0.17 0.64 0.77 1.00 0.17 0.53 0.17 0.25 0.46 0.49 0.34 0.56 0.87 0.18 0.42 0.34 0.20 0.90 0.19 0.90 0.93 0.66 0.32 0.88 ]
[0.96 0.29 0.48 0.40 0.84 0.24 0.76 0.43 0.78 0.03 0.16 0.17 1.00 0.50 0.90 0.48 0.63 0.12 0.33 0.91 0.88 0.93 0.08 0.30 0.02 1.00 0.81 0.66 0.84 0.89 0.62 0.68 ]
[0.07 0.21 0.44 0.19 0.92 0.21 0.38 0.24 0.99 0.40 0.10 0.53 0.50 1.00 0.81 0.76 0.59 0.87 0.44 0.79 0.90 0.66 0.36 0.62 0.19 0.30 0.03 0.63 0.20 0.86 0.53 0.31 ]
