D = 8;
n = [ 3 3 3 3 3 3 3 3 ];
N = 26;
d = [1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 8 8 ];
m = [
[1.00 0.43 0.76 0.66 0.78 0.30 0.75 0.45 0.57 0.85 0.39 0.78 0.22 0.54 0.90 0.52 0.38 0.37 0.15 0.24 0.89 0.20 0.77 0.45 0.82 0.35 ]
[0.43 1.00 0.08 0.25 0.12 0.68 0.49 0.45 0.76 0.03 0.39 0.07 0.36 0.06 0.72 0.02 0.67 0.87 0.97 0.32 0.12 0.62 0.94 0.66 0.31 0.81 ]
[0.76 0.08 1.00 0.77 0.54 0.57 0.23 0.93 0.88 0.69 0.23 0.74 0.05 0.54 0.75 0.64 0.02 0.82 0.94 0.61 0.74 0.43 0.17 0.55 0.03 0.25 ]
[0.66 0.25 0.77 1.00 0.85 0.12 0.58 0.66 0.89 0.13 0.53 0.05 0.94 0.67 0.62 0.35 0.48 0.08 0.01 0.68 0.30 0.53 0.23 0.69 0.66 0.57 ]
[0.78 0.12 0.54 0.85 1.00 0.92 0.62 0.42 0.76 0.21 0.70 0.27 0.08 0.77 0.78 0.59 0.42 0.85 0.51 0.39 0.24 0.81 0.67 0.86 0.94 0.20 ]
[0.30 0.68 0.57 0.12 0.92 1.00 0.60 0.19 0.29 0.77 0.04 0.01 0.10 0.92 0.95 0.04 0.98 0.86 0.15 0.57 0.97 0.08 0.98 0.75 0.37 0.45 ]
[0.75 0.49 0.23 0.58 0.62 0.60 1.00 0.39 0.39 0.68 0.68 0.16 0.94 0.19 0.49 0.58 0.50 0.51 0.25 0.93 0.00 0.69 0.86 0.12 0.16 0.34 ]
[0.45 0.45 0.93 0.66 0.42 0.19 0.39 1.00 0.71 0.78 0.90 0.99 0.04 0.05 0.63 0.57 0.78 0.85 0.95 0.56 0.12 0.72 0.13 0.36 0.63 0.08 ]
[0.57 0.76 0.88 0.89 0.76 0.29 0.39 0.71 1.00 0.47 0.11 0.87 0.69 0.67 0.39 0.09 0.80 0.80 0.91 0.83 0.98 0.01 0.15 0.59 0.44 0.32 ]
[0.85 0.03 0.69 0.13 0.21 0.77 0.68 0.78 0.47 1.00 0.88 0.32 0.71 0.27 0.44 0.55 0.47 0.83 0.68 0.25 0.59 0.87 0.09 0.30 0.45 0.96 ]
[0.39 0.39 0.23 0.53 0.70 0.04 0.68 0.90 0.11 0.88 1.00 0.50 0.64 0.90 0.36 0.67 0.32 0.18 0.95 0.58 0.07 0.19 0.46 0.68 0.14 0.19 ]
[0.78 0.07 0.74 0.05 0.27 0.01 0.16 0.99 0.87 0.32 0.50 1.00 0.80 0.08 0.96 0.48 0.65 0.31 0.35 0.33 0.48 0.30 0.45 0.75 0.16 0.75 ]
[0.22 0.36 0.05 0.94 0.08 0.10 0.94 0.04 0.69 0.71 0.64 0.80 1.00 0.39 0.46 0.61 0.06 0.96 0.28 0.42 0.62 0.70 0.16 0.43 0.85 0.98 ]
[0.54 0.06 0.54 0.67 0.77 0.92 0.19 0.05 0.67 0.27 0.90 0.08 0.39 1.00 0.97 0.92 0.60 0.80 0.78 0.97 0.55 0.81 0.90 0.80 0.38 0.87 ]
