D = 2;
n = [ 1 1 ];
N = 82;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.25 0.29 0.56 0.41 0.96 0.03 0.69 0.80 0.97 0.15 0.58 0.44 0.95 0.39 0.24 0.47 0.44 0.13 0.86 0.09 0.37 0.28 0.03 0.06 0.10 0.56 0.63 0.12 0.60 0.17 0.88 0.63 0.84 0.39 0.78 0.52 0.33 0.11 0.39 0.54 0.04 0.88 0.57 0.27 0.53 0.69 0.49 0.50 0.30 0.56 0.09 0.12 0.85 0.67 0.19 0.27 0.05 0.87 0.36 0.43 0.39 0.28 0.22 0.07 0.86 0.51 0.88 0.02 0.18 0.41 0.96 0.19 0.96 0.63 0.62 0.48 0.44 0.12 0.33 0.95 0.63 ]
[0.25 1.00 0.56 0.33 0.53 0.22 0.88 0.77 0.16 0.38 0.55 0.89 0.63 0.36 0.88 0.76 0.08 0.21 0.64 0.71 0.28 0.41 0.74 0.41 0.43 0.48 0.39 0.85 0.44 0.12 0.94 0.82 0.06 0.51 0.44 0.92 0.75 0.21 0.40 0.60 0.14 0.38 0.12 0.37 0.70 0.53 0.86 0.17 0.35 0.99 0.70 0.37 0.54 0.62 0.36 0.65 0.92 0.17 0.11 0.31 0.47 0.85 0.99 0.48 0.65 0.05 0.23 0.82 0.69 0.88 0.18 0.71 0.26 0.33 0.13 0.47 0.57 0.40 0.48 0.72 0.66 0.01 ]
[0.29 0.56 1.00 0.26 0.99 0.07 0.15 0.05 0.09 0.33 0.51 0.43 0.32 0.06 0.85 0.32 0.26 0.32 0.68 0.96 0.94 0.29 0.90 0.71 0.28 0.39 0.96 0.17 0.98 0.39 0.19 0.42 0.95 0.05 0.63 0.90 0.20 0.49 0.76 0.64 0.78 0.89 0.17 0.18 0.42 0.88 0.13 0.12 0.16 0.12 0.03 0.17 0.37 0.12 0.94 0.35 0.18 0.10 0.75 0.34 0.88 0.37 0.10 0.04 0.95 0.71 0.53 0.84 0.80 0.64 0.59 0.81 0.66 0.90 0.89 0.09 0.36 0.57 0.39 0.74 0.34 0.98 ]
[0.56 0.33 0.26 1.00 0.74 0.83 0.74 0.37 0.18 0.67 0.82 0.71 0.95 0.08 0.92 0.40 0.70 0.06 0.81 0.12 0.07 0.23 0.48 0.67 0.69 0.77 0.58 0.92 0.06 0.64 0.85 0.50 0.29 0.83 0.77 1.00 0.01 0.42 0.91 0.70 0.71 0.09 0.20 0.75 0.37 0.35 0.16 0.86 0.86 0.60 0.84 0.93 0.34 0.88 0.58 0.13 0.08 0.99 0.23 0.29 0.02 0.76 0.51 0.92 0.15 0.84 0.61 0.84 0.44 0.60 0.56 0.51 0.60 0.35 0.30 0.99 0.98 0.96 0.40 0.24 0.02 0.56 ]
[0.41 0.53 0.99 0.74 1.00 1.00 0.21 0.54 0.17 0.43 0.26 0.49 0.78 0.50 0.46 0.87 0.03 1.00 0.28 0.37 0.69 0.94 0.79 0.56 0.70 0.04 0.50 0.02 0.99 0.42 0.27 0.22 0.87 0.47 0.82 0.03 0.31 0.29 0.14 0.42 0.45 0.43 0.09 0.83 0.53 0.75 0.36 0.29 0.55 0.94 0.41 0.06 0.29 0.62 0.83 0.86 0.21 0.58 0.55 0.50 0.70 0.26 0.66 0.34 0.24 0.04 0.20 0.04 0.55 0.01 0.81 0.99 0.69 0.08 0.76 0.11 0.83 0.40 0.13 0.12 0.43 0.55 ]
[0.96 0.22 0.07 0.83 1.00 1.00 0.22 0.08 0.78 0.83 0.24 0.20 0.55 0.42 0.12 0.55 0.03 0.54 0.46 0.55 0.89 0.37 0.60 0.13 0.75 0.34 0.72 0.23 0.65 0.50 0.22 0.76 0.61 0.06 0.77 0.49 0.82 0.70 0.42 0.85 0.92 0.53 0.49 0.37 0.97 0.03 0.46 0.47 0.17 0.70 0.81 0.44 0.82 0.78 0.52 0.18 0.30 0.10 0.58 0.74 0.66 0.23 0.34 0.72 0.24 0.64 0.79 0.51 0.13 0.86 0.99 0.11 0.32 0.96 0.95 0.22 0.77 0.69 0.44 0.81 0.37 0.23 ]
[0.03 0.88 0.15 0.74 0.21 0.22 1.00 0.22 0.61 0.76 0.07 0.86 0.90 0.83 0.16 0.51 0.81 0.37 0.97 0.67 0.31 0.54 0.21 0.87 0.21 0.03 0.30 0.44 0.50 0.81 0.56 0.17 0.50 0.41 0.58 0.56 0.33 0.25 0.64 0.55 0.68 0.98 0.22 0.49 0.17 0.87 0.37 0.61 0.03 0.61 0.33 0.86 0.12 0.67 0.17 0.33 0.79 0.14 0.12 0.61 0.35 0.83 0.85 0.17 0.64 0.51 0.90 0.77 0.32 0.70 0.99 0.11 0.15 0.98 0.62 0.46 0.35 0.02 0.91 0.18 0.63 0.33 ]
[0.69 0.77 0.05 0.37 0.54 0.08 0.22 1.00 0.37 0.30 0.96 0.38 0.52 0.00 0.64 0.20 0.03 0.13 0.78 0.65 0.24 0.51 0.07 0.04 0.82 0.83 0.99 0.07 0.90 0.33 0.95 0.24 0.60 0.58 0.41 0.75 0.86 0.14 0.94 0.52 0.97 0.60 0.60 0.86 0.70 0.56 0.74 0.73 0.13 0.83 0.62 0.45 0.84 0.96 0.48 0.72 0.88 0.87 0.29 0.51 0.77 0.29 0.18 0.37 0.43 0.88 0.69 0.65 0.94 0.65 0.16 0.40 0.33 0.82 0.81 0.06 0.76 0.59 0.00 0.49 0.85 0.66 ]
[0.80 0.16 0.09 0.18 0.17 0.78 0.61 0.37 1.00 0.16 0.90 0.03 0.28 0.90 0.72 0.63 0.12 0.31 0.55 0.53 0.81 0.49 0.62 0.31 0.16 0.19 0.01 0.02 0.16 0.53 0.76 0.41 0.86 0.24 0.69 0.60 0.69 0.36 0.49 0.08 0.64 0.13 0.53 0.94 0.17 0.21 0.18 0.95 0.56 0.95 0.93 0.49 0.24 0.07 0.30 0.99 0.03 0.19 0.81 0.68 0.45 0.79 0.99 0.76 0.90 0.37 0.03 0.89 0.21 0.99 0.96 0.48 0.53 0.12 0.21 0.69 0.40 0.06 0.79 0.33 0.61 0.17 ]
[0.97 0.38 0.33 0.67 0.43 0.83 0.76 0.30 0.16 1.00 0.02 0.73 0.77 0.23 0.97 0.81 0.44 0.71 0.38 0.66 0.13 0.37 0.33 0.85 0.32 0.82 0.33 0.01 0.13 0.99 0.39 0.97 0.57 0.70 0.66 0.88 0.45 0.49 0.79 0.35 0.99 0.53 0.83 0.77 0.25 0.07 0.16 0.20 0.72 0.20 0.80 0.82 0.47 0.60 0.27 0.74 0.89 0.58 0.23 0.85 0.24 0.96 0.50 0.30 0.69 0.79 0.58 0.38 0.68 0.78 0.32 0.27 0.00 0.67 0.62 0.64 0.83 0.19 0.78 0.95 0.25 0.65 ]
