D = 2;
n = [ 4 4 ];
N = 15;
d = [1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.78 0.18 0.22 0.31 0.21 0.32 0.35 0.90 0.11 0.73 0.42 0.22 0.80 0.20 ]
[0.78 1.00 0.48 0.01 0.31 0.64 0.97 0.80 0.26 0.12 0.82 0.14 0.48 0.25 0.97 ]
[0.18 0.48 1.00 0.75 0.18 0.44 0.85 0.02 0.16 0.81 0.16 0.99 0.37 0.07 0.48 ]
[0.22 0.01 0.75 1.00 0.94 0.63 0.44 0.20 0.56 0.65 0.24 0.96 0.46 0.11 0.90 ]
[0.31 0.31 0.18 0.94 1.00 0.69 0.62 0.91 0.76 0.61 0.66 0.20 0.86 0.85 0.03 ]
[0.21 0.64 0.44 0.63 0.69 1.00 0.36 0.03 0.12 0.55 0.61 0.82 0.24 0.85 0.55 ]
[0.32 0.97 0.85 0.44 0.62 0.36 1.00 0.24 0.51 0.54 0.17 0.95 0.26 0.17 0.69 ]
[0.35 0.80 0.02 0.20 0.91 0.03 0.24 1.00 0.38 0.04 0.86 0.39 0.28 0.13 0.33 ]
[0.90 0.26 0.16 0.56 0.76 0.12 0.51 0.38 1.00 0.35 0.60 0.22 0.87 0.37 0.21 ]
[0.11 0.12 0.81 0.65 0.61 0.55 0.54 0.04 0.35 1.00 0.91 0.52 0.72 0.87 0.90 ]
[0.73 0.82 0.16 0.24 0.66 0.61 0.17 0.86 0.60 0.91 1.00 0.55 0.51 0.17 0.71 ]
[0.42 0.14 0.99 0.96 0.20 0.82 0.95 0.39 0.22 0.52 0.55 1.00 0.13 0.89 0.30 ]
[0.22 0.48 0.37 0.46 0.86 0.24 0.26 0.28 0.87 0.72 0.51 0.13 1.00 0.29 0.58 ]
[0.80 0.25 0.07 0.11 0.85 0.85 0.17 0.13 0.37 0.87 0.17 0.89 0.29 1.00 0.17 ]
[0.20 0.97 0.48 0.90 0.03 0.55 0.69 0.33 0.21 0.90 0.71 0.30 0.58 0.17 1.00 ]
];
