D = 2;
n = [ 3 3 ];
N = 11;
d = [1 1 1 1 1 2 2 2 2 2 2 ];
m = [
[1.00 0.10 0.55 0.16 0.79 0.42 0.37 0.06 0.12 0.49 0.82 ]
[0.10 1.00 0.54 0.99 0.91 0.84 0.07 0.66 0.29 0.17 0.21 ]
[0.55 0.54 1.00 0.88 0.92 0.97 0.40 0.35 0.72 0.41 0.49 ]
[0.16 0.99 0.88 1.00 0.14 0.58 0.04 0.28 0.12 0.76 0.60 ]
[0.79 0.91 0.92 0.14 1.00 0.74 0.07 0.58 0.35 0.33 0.56 ]
[0.42 0.84 0.97 0.58 0.74 1.00 0.98 0.22 0.37 0.49 0.40 ]
[0.37 0.07 0.40 0.04 0.07 0.98 1.00 0.99 0.91 0.42 0.87 ]
[0.06 0.66 0.35 0.28 0.58 0.22 0.99 1.00 0.36 0.57 0.31 ]
[0.12 0.29 0.72 0.12 0.35 0.37 0.91 0.36 1.00 0.07 0.90 ]
[0.49 0.17 0.41 0.76 0.33 0.49 0.42 0.57 0.07 1.00 0.91 ]
[0.82 0.21 0.49 0.60 0.56 0.40 0.87 0.31 0.90 0.91 1.00 ]
];
