D = 2;
n = [ 1 1 ];
N = 15;
d = [1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.70 0.83 0.67 0.34 0.99 0.21 0.09 0.43 0.96 0.77 0.03 0.35 0.93 0.93 ]
[0.70 1.00 0.69 0.98 0.71 0.33 0.66 0.88 0.64 0.76 1.00 0.52 0.90 0.87 0.83 ]
[0.83 0.69 1.00 0.32 0.67 0.85 0.51 0.71 0.71 0.12 0.41 0.74 0.41 0.29 0.30 ]
[0.67 0.98 0.32 1.00 0.79 0.71 0.39 0.12 0.19 0.11 0.99 0.72 0.57 0.59 0.64 ]
[0.34 0.71 0.67 0.79 1.00 0.51 0.07 0.88 0.12 1.00 0.81 0.23 0.76 0.34 0.91 ]
[0.99 0.33 0.85 0.71 0.51 1.00 0.34 0.04 0.22 0.27 0.34 0.21 0.30 0.07 1.00 ]
[0.21 0.66 0.51 0.39 0.07 0.34 1.00 0.11 0.24 0.44 0.85 0.86 0.22 0.93 0.30 ]
[0.09 0.88 0.71 0.12 0.88 0.04 0.11 1.00 0.51 0.65 0.25 0.84 0.83 0.98 0.12 ]
[0.43 0.64 0.71 0.19 0.12 0.22 0.24 0.51 1.00 0.08 0.16 0.42 0.79 0.77 0.55 ]
[0.96 0.76 0.12 0.11 1.00 0.27 0.44 0.65 0.08 1.00 0.16 0.50 0.46 0.72 0.59 ]
[0.77 1.00 0.41 0.99 0.81 0.34 0.85 0.25 0.16 0.16 1.00 0.51 0.94 0.44 0.22 ]
[0.03 0.52 0.74 0.72 0.23 0.21 0.86 0.84 0.42 0.50 0.51 1.00 0.60 0.70 0.70 ]
[0.35 0.90 0.41 0.57 0.76 0.30 0.22 0.83 0.79 0.46 0.94 0.60 1.00 0.67 0.41 ]
[0.93 0.87 0.29 0.59 0.34 0.07 0.93 0.98 0.77 0.72 0.44 0.70 0.67 1.00 0.47 ]
[0.93 0.83 0.30 0.64 0.91 1.00 0.30 0.12 0.55 0.59 0.22 0.70 0.41 0.47 1.00 ]
];
