D = 4;
n = [ 5 5 5 5 ];
N = 43;
d = [1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.75 0.16 0.94 0.38 0.16 0.70 0.20 0.77 0.45 0.08 0.98 0.07 0.26 0.45 0.50 0.55 0.86 0.62 0.64 0.20 0.25 0.88 0.44 0.73 0.61 0.22 0.38 0.27 0.37 0.43 0.75 0.86 0.23 0.48 0.77 0.88 0.61 0.38 0.23 0.42 0.47 0.76 ]
[0.75 1.00 0.07 0.43 0.79 0.72 0.55 0.08 0.95 0.28 0.80 0.31 0.61 0.90 0.24 0.01 0.61 0.85 0.36 0.78 0.32 0.16 0.42 0.36 0.36 0.53 0.76 0.38 0.53 0.38 0.91 0.38 0.87 0.87 0.86 0.99 0.63 0.19 0.68 0.98 0.17 0.91 0.88 ]
[0.16 0.07 1.00 0.31 0.18 0.24 0.99 0.91 0.82 0.88 0.62 0.64 0.74 0.85 0.32 0.36 0.07 0.25 0.59 0.59 0.22 0.60 0.30 0.75 0.33 0.30 0.87 0.53 0.74 0.31 0.24 0.98 0.50 0.60 0.62 0.04 0.56 0.34 0.53 0.06 0.51 0.81 0.44 ]
[0.94 0.43 0.31 1.00 0.84 0.98 0.43 0.94 0.08 0.52 0.64 0.17 0.94 0.69 0.72 0.99 0.50 0.66 0.67 0.08 0.73 0.29 0.02 0.72 0.60 0.22 0.83 0.91 0.09 0.46 0.57 0.01 0.17 0.17 0.70 0.06 0.65 0.98 0.34 0.33 0.47 0.86 0.90 ]
[0.38 0.79 0.18 0.84 1.00 0.38 0.79 0.96 0.93 0.90 0.28 0.99 0.23 0.67 0.41 0.73 0.45 0.23 0.33 0.20 0.64 0.53 0.88 0.65 0.46 0.94 0.82 0.08 0.85 0.40 0.75 0.19 0.28 0.22 0.02 0.95 0.06 0.95 0.92 0.11 0.25 0.45 0.93 ]
[0.16 0.72 0.24 0.98 0.38 1.00 0.06 0.81 0.16 0.40 0.58 0.62 0.00 0.53 0.76 0.66 0.93 0.78 1.00 0.50 0.28 1.00 0.88 0.35 0.52 0.04 0.12 0.37 0.54 0.29 0.42 0.08 0.46 0.35 0.70 0.20 0.45 0.74 0.17 0.19 0.33 0.45 0.10 ]
[0.70 0.55 0.99 0.43 0.79 0.06 1.00 0.91 0.68 0.33 0.67 0.90 0.17 0.95 0.98 0.90 0.47 0.31 0.72 0.84 0.20 0.09 0.97 0.38 0.26 0.53 0.34 0.00 0.26 0.73 0.35 0.89 0.41 0.89 0.51 0.49 0.32 0.02 0.49 0.74 0.06 0.75 0.38 ]
[0.20 0.08 0.91 0.94 0.96 0.81 0.91 1.00 0.79 0.56 0.64 0.52 0.91 0.57 0.88 0.76 0.96 0.05 0.43 0.21 0.09 0.41 0.58 0.48 0.15 0.56 0.90 0.88 0.63 0.58 0.81 0.87 0.51 0.88 0.58 0.71 0.77 0.99 0.89 0.55 0.47 0.55 0.67 ]
[0.77 0.95 0.82 0.08 0.93 0.16 0.68 0.79 1.00 0.53 0.20 0.86 0.11 0.12 0.99 0.76 0.42 0.28 0.70 0.80 0.31 0.14 0.65 0.44 0.01 0.39 0.89 0.29 0.93 0.11 0.79 0.46 0.57 0.41 0.36 0.75 0.97 0.13 0.87 0.41 0.63 0.17 0.96 ]
[0.45 0.28 0.88 0.52 0.90 0.40 0.33 0.56 0.53 1.00 0.16 0.78 0.35 0.37 0.50 0.91 0.46 0.07 0.40 0.82 0.14 0.31 0.55 0.06 0.42 0.05 0.47 0.80 0.24 0.78 0.24 0.58 0.60 0.75 0.43 0.10 0.60 0.62 0.82 0.97 0.41 0.61 0.74 ]
