D = 6;
n = [ 3 3 3 3 3 3 ];
N = 40;
d = [1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 3 3 3 4 4 4 4 4 4 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.77 0.29 0.05 0.74 0.86 0.86 0.12 0.92 0.57 0.97 0.56 0.22 0.43 0.87 0.14 0.58 0.02 0.71 0.93 0.84 0.56 0.33 0.60 0.34 0.99 0.38 0.13 0.42 0.49 0.44 0.42 0.34 0.45 0.09 0.85 0.03 0.93 0.81 0.61 ]
[0.77 1.00 0.95 0.40 0.08 0.47 0.23 0.08 0.77 0.31 0.98 1.00 0.74 0.88 0.71 0.67 0.28 0.15 0.78 0.94 0.35 0.80 0.01 0.26 0.39 0.40 0.88 0.60 0.78 0.13 0.23 0.72 0.60 0.20 0.75 0.71 0.35 0.75 0.22 0.08 ]
[0.29 0.95 1.00 0.06 0.57 0.72 0.99 0.89 0.55 0.17 0.09 0.60 0.44 0.23 0.31 0.29 0.80 0.58 0.37 0.57 0.65 0.78 0.32 0.63 0.18 0.39 0.71 0.58 0.47 0.45 0.51 0.96 0.37 0.92 0.61 0.37 0.75 0.68 0.00 0.04 ]
[0.05 0.40 0.06 1.00 0.69 0.94 0.03 0.06 0.68 0.16 0.91 0.79 0.59 1.00 0.28 0.45 0.66 0.95 0.45 0.75 0.77 0.23 0.32 0.59 0.16 0.93 0.45 0.40 0.80 0.92 0.21 0.35 0.71 0.43 0.44 0.53 0.04 0.48 0.04 0.04 ]
[0.74 0.08 0.57 0.69 1.00 0.87 0.84 0.31 0.79 0.77 0.40 0.45 0.44 0.57 0.72 0.36 0.86 0.08 0.05 0.85 0.20 0.88 0.05 0.26 0.21 0.27 0.66 0.56 0.37 0.97 0.40 0.97 0.25 0.48 0.10 0.93 0.08 0.21 0.82 0.30 ]
[0.86 0.47 0.72 0.94 0.87 1.00 0.26 0.68 0.31 0.52 0.74 0.82 0.75 0.22 0.91 0.61 0.07 0.26 0.75 0.30 0.93 0.62 0.59 0.67 0.87 0.75 0.26 0.60 0.16 0.85 0.27 0.31 0.06 0.40 0.24 0.86 0.57 0.32 0.48 0.27 ]
[0.86 0.23 0.99 0.03 0.84 0.26 1.00 0.71 0.09 0.13 0.83 0.98 0.16 0.97 0.99 0.37 0.49 0.72 0.67 0.92 0.80 0.37 0.49 0.92 0.39 0.15 0.15 0.27 0.34 0.05 0.50 0.14 0.16 0.22 0.17 0.03 0.34 0.70 0.79 0.83 ]
[0.12 0.08 0.89 0.06 0.31 0.68 0.71 1.00 0.02 0.83 0.81 0.59 0.24 0.22 0.80 0.79 0.74 0.01 0.51 0.10 0.19 0.27 0.26 0.13 0.26 0.84 0.06 0.22 0.74 0.15 0.58 0.05 0.30 0.07 0.82 0.88 0.96 0.12 0.65 0.84 ]
[0.92 0.77 0.55 0.68 0.79 0.31 0.09 0.02 1.00 0.24 0.48 0.56 0.89 0.36 0.78 0.19 0.49 0.06 0.66 0.20 0.59 0.43 0.66 0.74 0.46 0.61 0.62 0.38 0.18 0.26 0.06 0.14 0.91 0.24 0.98 0.95 0.22 0.80 0.35 0.73 ]
[0.57 0.31 0.17 0.16 0.77 0.52 0.13 0.83 0.24 1.00 0.17 0.84 0.29 0.53 0.43 0.27 0.99 0.29 0.52 0.90 0.76 0.68 0.33 0.01 0.33 0.95 0.08 0.67 0.90 0.21 0.99 0.09 0.56 0.23 0.10 0.17 0.97 0.98 0.66 0.89 ]
[0.97 0.98 0.09 0.91 0.40 0.74 0.83 0.81 0.48 0.17 1.00 0.06 0.86 0.03 0.43 0.16 0.79 0.18 0.60 0.49 0.09 0.80 0.02 0.50 0.13 0.68 0.69 0.61 0.31 0.01 0.00 0.03 0.93 0.52 0.96 0.91 0.30 0.89 0.49 0.10 ]
[0.56 1.00 0.60 0.79 0.45 0.82 0.98 0.59 0.56 0.84 0.06 1.00 0.53 0.14 0.63 0.55 0.39 0.68 0.23 0.16 0.68 0.81 0.95 0.30 0.90 0.02 0.40 0.75 0.19 0.68 0.01 0.29 0.86 0.52 0.27 0.14 0.84 0.98 0.84 0.57 ]
[0.22 0.74 0.44 0.59 0.44 0.75 0.16 0.24 0.89 0.29 0.86 0.53 1.00 0.61 0.64 0.09 0.48 0.13 0.10 0.16 0.61 0.20 0.02 0.43 0.63 0.23 0.87 0.67 0.52 0.81 0.84 0.63 0.51 0.74 0.38 0.11 0.65 0.01 0.69 0.81 ]
[0.43 0.88 0.23 1.00 0.57 0.22 0.97 0.22 0.36 0.53 0.03 0.14 0.61 1.00 0.40 0.35 0.14 0.16 1.00 0.49 0.98 0.04 0.40 0.61 0.23 0.01 0.97 0.17 0.30 0.41 0.96 0.96 0.42 0.26 0.63 0.77 0.44 0.50 0.71 0.89 ]
[0.87 0.71 0.31 0.28 0.72 0.91 0.99 0.80 0.78 0.43 0.43 0.63 0.64 0.40 1.00 0.52 0.83 0.76 0.82 0.42 0.88 0.70 0.29 0.52 0.10 0.13 0.75 0.45 0.72 0.70 0.46 0.82 0.19 0.39 0.97 0.39 0.77 0.47 0.24 0.31 ]
[0.14 0.67 0.29 0.45 0.36 0.61 0.37 0.79 0.19 0.27 0.16 0.55 0.09 0.35 0.52 1.00 0.22 0.00 0.60 0.52 0.38 0.52 0.58 0.70 0.54 0.71 0.65 0.25 0.90 0.09 0.98 0.25 0.30 0.62 0.40 0.57 0.42 0.18 0.45 0.77 ]
[0.58 0.28 0.80 0.66 0.86 0.07 0.49 0.74 0.49 0.99 0.79 0.39 0.48 0.14 0.83 0.22 1.00 0.93 0.67 0.83 0.43 0.80 0.91 0.78 0.46 0.58 0.83 0.27 0.45 0.70 0.90 0.15 0.82 0.16 0.37 0.65 0.07 0.27 0.98 0.46 ]
[0.02 0.15 0.58 0.95 0.08 0.26 0.72 0.01 0.06 0.29 0.18 0.68 0.13 0.16 0.76 0.00 0.93 1.00 0.38 0.12 0.23 0.85 0.39 0.82 0.46 0.24 0.11 0.72 0.33 0.39 0.78 0.61 0.95 0.75 0.93 0.40 0.85 0.69 0.49 0.18 ]
[0.71 0.78 0.37 0.45 0.05 0.75 0.67 0.51 0.66 0.52 0.60 0.23 0.10 1.00 0.82 0.60 0.67 0.38 1.00 0.15 0.33 0.40 0.41 0.40 0.65 0.97 0.79 0.52 0.61 0.55 0.77 0.11 0.28 0.93 0.93 0.02 0.65 0.72 0.44 0.08 ]
[0.93 0.94 0.57 0.75 0.85 0.30 0.92 0.10 0.20 0.90 0.49 0.16 0.16 0.49 0.42 0.52 0.83 0.12 0.15 1.00 0.94 0.79 0.02 0.85 0.25 0.02 0.90 0.45 0.36 0.49 0.58 0.23 0.08 0.53 0.33 0.90 0.33 0.14 0.53 0.86 ]
[0.84 0.35 0.65 0.77 0.20 0.93 0.80 0.19 0.59 0.76 0.09 0.68 0.61 0.98 0.88 0.38 0.43 0.23 0.33 0.94 1.00 0.93 0.04 0.13 0.07 0.83 0.29 0.07 0.50 0.18 0.11 0.91 0.23 0.27 0.93 0.24 0.21 0.83 0.04 0.33 ]
[0.56 0.80 0.78 0.23 0.88 0.62 0.37 0.27 0.43 0.68 0.80 0.81 0.20 0.04 0.70 0.52 0.80 0.85 0.40 0.79 0.93 1.00 0.24 0.72 0.13 0.84 0.69 0.45 0.49 0.05 0.51 0.21 0.25 0.10 0.49 0.91 0.68 0.05 0.36 0.52 ]
[0.33 0.01 0.32 0.32 0.05 0.59 0.49 0.26 0.66 0.33 0.02 0.95 0.02 0.40 0.29 0.58 0.91 0.39 0.41 0.02 0.04 0.24 1.00 0.37 0.55 0.77 0.45 0.48 0.37 0.57 0.52 0.31 0.73 0.71 0.54 0.75 0.80 0.24 0.32 0.07 ]
[0.60 0.26 0.63 0.59 0.26 0.67 0.92 0.13 0.74 0.01 0.50 0.30 0.43 0.61 0.52 0.70 0.78 0.82 0.40 0.85 0.13 0.72 0.37 1.00 0.10 0.90 0.84 0.23 0.93 0.46 0.29 0.42 0.07 0.96 0.95 0.06 0.37 0.80 0.71 0.71 ]
[0.34 0.39 0.18 0.16 0.21 0.87 0.39 0.26 0.46 0.33 0.13 0.90 0.63 0.23 0.10 0.54 0.46 0.46 0.65 0.25 0.07 0.13 0.55 0.10 1.00 0.65 0.23 0.46 0.83 0.60 0.92 0.32 0.21 0.66 0.29 0.38 0.91 0.02 0.28 0.32 ]
[0.99 0.40 0.39 0.93 0.27 0.75 0.15 0.84 0.61 0.95 0.68 0.02 0.23 0.01 0.13 0.71 0.58 0.24 0.97 0.02 0.83 0.84 0.77 0.90 0.65 1.00 0.53 0.58 0.28 0.13 0.82 0.72 0.63 0.16 0.31 0.70 0.91 0.98 0.62 0.88 ]
[0.38 0.88 0.71 0.45 0.66 0.26 0.15 0.06 0.62 0.08 0.69 0.40 0.87 0.97 0.75 0.65 0.83 0.11 0.79 0.90 0.29 0.69 0.45 0.84 0.23 0.53 1.00 0.36 0.42 0.34 0.97 0.21 0.54 0.60 0.58 0.63 0.90 0.75 0.43 0.28 ]
[0.13 0.60 0.58 0.40 0.56 0.60 0.27 0.22 0.38 0.67 0.61 0.75 0.67 0.17 0.45 0.25 0.27 0.72 0.52 0.45 0.07 0.45 0.48 0.23 0.46 0.58 0.36 1.00 0.38 0.75 0.07 0.66 0.12 0.99 0.64 0.22 0.22 0.99 0.72 0.02 ]
[0.42 0.78 0.47 0.80 0.37 0.16 0.34 0.74 0.18 0.90 0.31 0.19 0.52 0.30 0.72 0.90 0.45 0.33 0.61 0.36 0.50 0.49 0.37 0.93 0.83 0.28 0.42 0.38 1.00 0.95 0.88 0.79 0.10 0.33 0.19 0.98 0.69 0.21 0.23 0.74 ]
[0.49 0.13 0.45 0.92 0.97 0.85 0.05 0.15 0.26 0.21 0.01 0.68 0.81 0.41 0.70 0.09 0.70 0.39 0.55 0.49 0.18 0.05 0.57 0.46 0.60 0.13 0.34 0.75 0.95 1.00 0.46 0.00 0.80 0.03 0.62 0.72 0.32 0.14 0.64 0.23 ]
[0.44 0.23 0.51 0.21 0.40 0.27 0.50 0.58 0.06 0.99 0.00 0.01 0.84 0.96 0.46 0.98 0.90 0.78 0.77 0.58 0.11 0.51 0.52 0.29 0.92 0.82 0.97 0.07 0.88 0.46 1.00 0.27 0.06 0.52 0.21 0.04 0.04 0.79 0.77 0.53 ]
[0.42 0.72 0.96 0.35 0.97 0.31 0.14 0.05 0.14 0.09 0.03 0.29 0.63 0.96 0.82 0.25 0.15 0.61 0.11 0.23 0.91 0.21 0.31 0.42 0.32 0.72 0.21 0.66 0.79 0.00 0.27 1.00 0.50 0.93 0.60 0.80 0.29 0.76 0.28 0.56 ]
[0.34 0.60 0.37 0.71 0.25 0.06 0.16 0.30 0.91 0.56 0.93 0.86 0.51 0.42 0.19 0.30 0.82 0.95 0.28 0.08 0.23 0.25 0.73 0.07 0.21 0.63 0.54 0.12 0.10 0.80 0.06 0.50 1.00 0.15 0.58 0.81 0.87 0.93 0.13 0.48 ]
[0.45 0.20 0.92 0.43 0.48 0.40 0.22 0.07 0.24 0.23 0.52 0.52 0.74 0.26 0.39 0.62 0.16 0.75 0.93 0.53 0.27 0.10 0.71 0.96 0.66 0.16 0.60 0.99 0.33 0.03 0.52 0.93 0.15 1.00 0.22 0.93 1.00 0.66 0.64 0.89 ]
