D = 2;
n = [ 2 2 ];
N = 67;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.36 0.84 0.79 0.89 0.59 0.89 0.55 0.79 0.31 0.36 0.49 0.05 0.86 0.64 0.76 0.26 0.49 0.99 0.36 0.89 0.90 0.27 0.29 0.71 0.76 0.84 0.99 0.76 0.87 0.32 0.24 0.18 0.76 0.90 0.82 0.07 0.84 0.97 0.26 0.40 0.94 0.46 0.56 0.72 0.00 0.87 0.61 0.90 0.26 0.91 0.24 0.97 0.61 0.08 0.55 0.81 0.78 0.54 0.57 0.03 0.28 0.84 0.87 0.36 0.79 0.01 ]
[0.36 1.00 0.15 0.24 0.56 0.31 0.87 0.88 0.91 0.92 0.25 0.01 0.74 0.50 0.55 0.31 0.32 0.49 0.05 0.65 0.90 0.93 0.80 0.71 0.05 0.76 0.50 0.98 0.14 0.14 0.13 0.27 0.99 0.27 0.23 0.79 0.12 0.26 0.25 0.91 0.43 0.62 0.69 0.29 0.57 0.48 0.47 0.68 0.64 0.74 0.64 0.15 0.90 0.34 0.27 0.85 0.17 0.68 0.00 0.50 0.22 0.82 0.73 0.69 0.03 0.87 0.84 ]
[0.84 0.15 1.00 0.91 0.98 0.32 0.74 0.32 0.13 0.26 0.62 0.58 0.56 0.48 0.03 0.93 0.67 0.67 0.25 0.83 0.88 0.17 0.99 0.19 0.89 0.18 0.77 0.66 0.72 0.04 0.24 0.58 0.88 0.69 0.28 0.36 0.52 0.36 0.30 0.78 0.78 0.51 0.35 0.42 0.17 0.98 0.73 0.76 0.53 0.02 0.39 0.96 0.71 0.67 1.00 0.57 0.14 0.99 0.98 0.54 0.42 0.57 0.03 0.49 0.55 0.98 0.03 ]
[0.79 0.24 0.91 1.00 0.51 0.61 0.55 0.22 0.80 0.00 0.46 0.49 0.79 0.55 0.95 0.15 0.90 0.57 0.86 0.56 0.66 0.20 0.42 0.68 0.18 0.82 0.82 0.76 0.36 0.71 0.02 0.14 0.41 0.30 0.28 0.42 0.69 0.47 0.73 0.50 0.79 0.77 0.41 0.73 0.91 0.37 0.01 0.61 0.34 0.01 0.03 0.78 0.66 0.04 0.16 0.33 0.49 0.75 0.40 0.89 0.31 0.91 0.33 0.13 0.04 0.49 0.82 ]
[0.89 0.56 0.98 0.51 1.00 0.17 0.15 0.95 0.78 1.00 0.08 0.94 0.31 0.53 0.71 0.62 0.94 0.49 0.74 0.23 0.00 0.17 0.01 0.58 0.89 0.58 0.97 0.50 0.53 0.55 0.75 0.30 0.75 0.34 0.84 0.21 0.84 0.06 0.54 1.00 0.20 0.33 0.42 0.87 0.83 0.89 0.13 0.16 0.40 0.70 0.28 0.61 0.83 0.02 0.59 0.07 0.05 0.68 0.07 0.01 0.43 0.14 0.92 0.65 0.02 0.51 0.68 ]
[0.59 0.31 0.32 0.61 0.17 1.00 0.39 0.05 0.69 0.28 0.06 0.52 0.83 0.93 0.65 0.28 0.30 0.27 0.97 0.28 0.64 0.57 0.78 0.77 0.22 0.21 0.76 0.08 0.73 0.06 0.55 0.02 0.55 0.73 0.45 0.02 0.71 0.29 0.87 0.52 0.89 0.21 0.81 0.14 0.57 0.57 0.29 0.40 0.40 0.44 0.96 0.97 0.92 0.13 0.64 0.11 0.28 0.10 0.37 0.05 0.41 0.75 0.33 0.59 0.76 0.19 0.80 ]
[0.89 0.87 0.74 0.55 0.15 0.39 1.00 0.22 0.60 0.77 0.99 0.04 0.20 0.83 0.05 0.11 0.44 0.97 0.78 0.39 0.55 0.17 0.62 0.45 0.10 0.08 0.70 0.22 0.61 0.38 0.10 0.61 0.86 0.69 0.51 0.33 0.30 0.72 0.14 0.03 0.79 0.02 0.81 0.36 0.89 0.02 0.16 0.16 0.29 0.21 0.56 0.41 0.78 0.82 0.80 0.20 0.12 0.03 0.74 0.20 0.40 0.35 0.99 0.50 0.73 0.90 0.37 ]
[0.55 0.88 0.32 0.22 0.95 0.05 0.22 1.00 0.36 0.93 0.07 0.02 0.67 0.21 0.89 0.88 0.78 0.93 0.07 0.57 0.29 0.05 0.70 0.63 0.50 0.44 0.97 0.97 0.90 0.64 0.62 0.82 0.12 0.67 0.44 0.23 0.15 0.48 0.48 0.33 0.52 0.22 0.02 0.22 0.87 0.35 0.14 0.68 0.77 0.05 0.65 0.13 0.42 0.67 0.93 0.82 0.14 0.27 0.92 0.16 0.53 0.67 0.43 0.78 0.86 0.13 0.91 ]
[0.79 0.91 0.13 0.80 0.78 0.69 0.60 0.36 1.00 0.25 0.84 0.42 0.82 0.85 0.09 0.00 0.61 0.68 0.10 0.98 0.61 0.04 0.83 0.27 0.90 0.40 0.05 0.72 0.66 0.15 0.36 0.82 0.43 0.70 0.26 0.28 0.95 0.05 0.77 0.71 0.03 0.99 0.30 0.30 0.74 0.32 0.35 0.93 0.17 0.97 0.23 0.99 0.58 0.77 0.20 0.54 0.93 0.16 0.82 0.63 0.95 0.63 0.76 0.71 0.35 0.19 0.01 ]
[0.31 0.92 0.26 0.00 1.00 0.28 0.77 0.93 0.25 1.00 0.59 0.44 0.44 0.74 0.73 0.20 0.46 0.68 0.26 0.39 0.54 0.02 0.35 0.42 0.46 0.26 0.16 0.37 0.91 0.99 0.36 0.65 0.45 0.79 0.93 0.44 0.50 0.84 0.21 0.64 0.92 0.02 0.97 0.89 0.09 0.15 0.66 0.21 0.94 0.16 0.25 0.29 0.73 0.16 0.53 0.14 0.30 0.90 0.28 0.29 0.22 1.00 0.38 0.11 0.48 0.70 0.17 ]
