D = 2;
n = [ 3 3 ];
N = 17;
d = [1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.66 0.58 0.42 0.20 0.49 0.96 0.35 0.76 0.18 0.12 0.87 0.70 0.36 0.61 0.87 0.01 ]
[0.66 1.00 0.32 0.46 0.23 0.64 0.63 0.55 0.34 0.01 0.19 0.67 0.40 0.13 0.30 0.56 0.40 ]
[0.58 0.32 1.00 0.04 0.23 0.15 0.09 0.12 0.50 0.24 0.44 0.78 0.90 0.57 0.34 0.51 0.19 ]
[0.42 0.46 0.04 1.00 0.15 0.08 0.92 0.51 0.62 0.53 0.26 0.14 0.21 0.49 0.19 0.70 0.62 ]
[0.20 0.23 0.23 0.15 1.00 0.36 0.68 0.20 0.97 0.40 0.01 0.51 0.83 0.13 0.27 0.76 0.89 ]
[0.49 0.64 0.15 0.08 0.36 1.00 0.67 0.42 0.48 0.70 0.81 0.34 0.80 0.27 0.97 0.26 0.22 ]
[0.96 0.63 0.09 0.92 0.68 0.67 1.00 0.47 0.42 0.89 0.52 0.12 0.65 0.81 0.92 0.82 0.34 ]
[0.35 0.55 0.12 0.51 0.20 0.42 0.47 1.00 0.45 0.99 0.28 0.68 0.76 0.10 0.27 0.88 0.24 ]
[0.76 0.34 0.50 0.62 0.97 0.48 0.42 0.45 1.00 0.85 0.45 0.84 0.62 0.93 0.42 0.67 0.56 ]
[0.18 0.01 0.24 0.53 0.40 0.70 0.89 0.99 0.85 1.00 0.90 0.51 0.66 0.01 0.44 0.31 0.27 ]
[0.12 0.19 0.44 0.26 0.01 0.81 0.52 0.28 0.45 0.90 1.00 0.62 0.00 0.28 0.40 0.42 0.09 ]
[0.87 0.67 0.78 0.14 0.51 0.34 0.12 0.68 0.84 0.51 0.62 1.00 0.80 0.35 0.81 0.53 0.93 ]
[0.70 0.40 0.90 0.21 0.83 0.80 0.65 0.76 0.62 0.66 0.00 0.80 1.00 0.97 0.45 0.51 0.70 ]
[0.36 0.13 0.57 0.49 0.13 0.27 0.81 0.10 0.93 0.01 0.28 0.35 0.97 1.00 0.11 0.24 0.17 ]
[0.61 0.30 0.34 0.19 0.27 0.97 0.92 0.27 0.42 0.44 0.40 0.81 0.45 0.11 1.00 0.20 0.70 ]
[0.87 0.56 0.51 0.70 0.76 0.26 0.82 0.88 0.67 0.31 0.42 0.53 0.51 0.24 0.20 1.00 0.16 ]
[0.01 0.40 0.19 0.62 0.89 0.22 0.34 0.24 0.56 0.27 0.09 0.93 0.70 0.17 0.70 0.16 1.00 ]
];
