D = 8;
n = [ 3 3 3 3 3 3 3 3 ];
N = 27;
d = [1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 8 8 8 ];
m = [
[1.00 0.85 0.58 0.44 0.37 0.57 0.61 0.61 0.10 0.20 0.02 0.56 0.53 0.58 0.49 0.55 0.70 0.81 0.08 0.51 0.86 0.80 0.47 0.74 0.90 0.64 0.86 ]
[0.85 1.00 0.52 0.17 0.60 0.86 0.63 0.51 0.86 0.67 0.88 0.11 0.58 0.14 0.18 0.59 0.40 0.34 0.63 0.10 0.39 0.77 0.41 0.94 0.61 0.85 0.89 ]
[0.58 0.52 1.00 0.51 0.48 0.69 0.82 0.48 0.42 0.01 0.01 0.36 0.29 0.49 0.63 0.91 0.20 0.78 0.28 0.13 0.59 0.36 0.34 0.80 0.66 0.42 0.33 ]
[0.44 0.17 0.51 1.00 0.37 0.99 0.99 0.74 0.35 0.95 0.95 0.02 0.16 0.76 0.54 0.88 0.00 0.23 0.41 0.36 0.46 0.43 0.13 0.58 0.01 0.50 0.92 ]
[0.37 0.60 0.48 0.37 1.00 0.38 0.99 0.78 0.08 0.69 0.47 0.14 0.35 0.83 0.22 0.26 0.32 0.09 0.87 0.89 0.42 0.93 0.08 0.67 0.78 0.87 0.50 ]
[0.57 0.86 0.69 0.99 0.38 1.00 0.69 0.74 0.43 0.33 0.82 0.61 0.01 0.73 0.48 0.81 0.26 0.03 0.62 0.64 0.65 0.05 0.07 0.10 0.19 0.81 0.12 ]
[0.61 0.63 0.82 0.99 0.99 0.69 1.00 0.51 0.73 0.77 0.40 0.52 0.89 0.65 0.69 0.85 0.85 0.93 0.43 0.85 0.15 0.87 0.38 0.04 0.85 0.78 0.12 ]
[0.61 0.51 0.48 0.74 0.78 0.74 0.51 1.00 0.57 0.49 0.52 0.89 0.02 0.23 0.62 0.22 0.96 0.64 0.48 0.41 0.12 0.66 0.71 0.89 0.27 0.34 0.77 ]
[0.10 0.86 0.42 0.35 0.08 0.43 0.73 0.57 1.00 0.66 0.14 0.36 0.57 0.15 0.59 0.21 0.41 0.24 0.02 0.29 0.67 0.94 0.04 0.90 0.83 0.25 0.59 ]
[0.20 0.67 0.01 0.95 0.69 0.33 0.77 0.49 0.66 1.00 0.66 0.87 0.38 0.51 0.67 0.11 0.37 0.97 0.70 0.23 0.11 0.77 0.36 0.73 0.13 0.06 0.69 ]
[0.02 0.88 0.01 0.95 0.47 0.82 0.40 0.52 0.14 0.66 1.00 0.38 0.87 0.32 0.94 0.59 0.77 0.75 0.96 0.98 0.51 0.36 0.82 0.75 0.85 0.51 0.73 ]
[0.56 0.11 0.36 0.02 0.14 0.61 0.52 0.89 0.36 0.87 0.38 1.00 0.50 0.11 0.05 0.21 0.43 0.79 0.99 0.63 0.20 0.83 0.59 0.02 0.12 0.46 0.79 ]
[0.53 0.58 0.29 0.16 0.35 0.01 0.89 0.02 0.57 0.38 0.87 0.50 1.00 0.37 0.26 0.47 0.77 0.66 0.85 0.30 0.07 0.13 0.23 0.17 0.78 0.41 0.06 ]
[0.58 0.14 0.49 0.76 0.83 0.73 0.65 0.23 0.15 0.51 0.32 0.11 0.37 1.00 0.12 0.96 0.98 0.18 1.00 0.92 0.20 0.07 0.91 0.14 0.44 0.96 0.89 ]
[0.49 0.18 0.63 0.54 0.22 0.48 0.69 0.62 0.59 0.67 0.94 0.05 0.26 0.12 1.00 0.78 0.62 0.80 0.96 0.53 0.75 0.18 0.94 0.95 0.58 0.80 0.64 ]
[0.55 0.59 0.91 0.88 0.26 0.81 0.85 0.22 0.21 0.11 0.59 0.21 0.47 0.96 0.78 1.00 0.11 1.00 0.53 0.70 0.92 0.26 0.98 0.58 0.67 0.96 0.98 ]
[0.70 0.40 0.20 0.00 0.32 0.26 0.85 0.96 0.41 0.37 0.77 0.43 0.77 0.98 0.62 0.11 1.00 0.14 0.87 0.31 0.26 0.90 0.93 0.66 0.42 0.15 0.34 ]
[0.81 0.34 0.78 0.23 0.09 0.03 0.93 0.64 0.24 0.97 0.75 0.79 0.66 0.18 0.80 1.00 0.14 1.00 0.97 0.31 0.89 0.12 0.52 0.60 0.44 0.01 0.68 ]
[0.08 0.63 0.28 0.41 0.87 0.62 0.43 0.48 0.02 0.70 0.96 0.99 0.85 1.00 0.96 0.53 0.87 0.97 1.00 0.00 0.67 0.69 0.06 0.35 0.24 0.98 0.17 ]
[0.51 0.10 0.13 0.36 0.89 0.64 0.85 0.41 0.29 0.23 0.98 0.63 0.30 0.92 0.53 0.70 0.31 0.31 0.00 1.00 0.96 0.35 0.09 0.63 0.11 0.93 0.34 ]
