D = 2;
n = [ 2 2 ];
N = 54;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.83 0.15 0.87 0.33 0.40 0.25 0.74 0.81 0.98 0.34 0.41 0.58 0.94 0.08 0.79 0.39 0.27 0.65 0.07 0.57 0.80 0.73 0.18 0.38 0.95 0.40 0.04 0.26 0.06 0.24 0.00 0.35 0.44 0.21 0.45 0.68 0.79 0.95 0.33 0.14 0.80 0.75 0.00 0.83 0.46 0.86 0.09 0.17 0.43 0.49 0.99 0.23 0.82 ]
[0.83 1.00 0.02 0.35 0.50 0.80 0.34 0.71 0.61 0.10 0.51 0.84 0.83 0.98 0.44 1.00 0.19 0.88 0.95 0.10 0.28 0.27 0.46 0.80 0.85 0.67 0.41 0.75 0.42 0.48 0.64 0.92 0.60 0.07 0.20 0.89 0.60 0.66 0.90 0.45 0.29 0.55 0.98 0.25 0.39 0.25 0.47 0.33 0.46 0.94 0.51 0.25 0.64 0.56 ]
[0.15 0.02 1.00 0.08 0.24 0.52 0.98 0.76 0.12 0.48 0.31 0.42 0.19 0.06 0.92 0.30 0.86 0.13 0.83 0.29 0.47 0.05 0.54 0.31 0.60 0.92 0.01 0.16 0.41 0.27 0.86 0.65 0.62 0.56 0.14 0.88 0.19 0.26 0.08 0.35 0.11 0.27 0.92 0.79 0.83 0.93 0.88 0.22 0.73 0.96 0.67 0.70 0.72 0.64 ]
[0.87 0.35 0.08 1.00 0.60 0.91 0.35 0.71 0.30 0.75 0.20 0.96 0.31 0.66 0.46 0.59 0.38 0.80 0.53 0.89 0.96 0.90 0.23 0.69 0.67 0.49 0.11 0.86 0.46 0.21 0.83 0.07 0.76 0.46 0.58 0.82 0.09 0.94 0.99 0.15 0.03 0.90 0.94 0.74 0.74 0.61 0.15 0.20 0.97 0.45 0.60 0.91 0.63 0.73 ]
[0.33 0.50 0.24 0.60 1.00 0.88 0.39 0.87 0.77 0.62 0.75 0.82 0.73 0.32 0.21 0.06 0.18 0.61 0.83 0.19 0.19 0.69 0.83 0.77 0.50 0.51 0.99 0.31 0.17 0.30 0.91 0.79 0.74 0.42 0.51 0.57 0.82 0.81 0.65 0.55 0.23 0.08 0.92 0.48 0.46 0.62 0.66 0.49 0.74 0.06 0.86 0.26 0.67 0.15 ]
[0.40 0.80 0.52 0.91 0.88 1.00 0.72 0.60 0.43 0.12 0.79 0.45 0.51 0.83 0.81 0.06 0.16 0.63 1.00 0.61 0.64 0.92 0.44 0.71 0.66 0.28 0.11 0.83 0.51 0.12 0.97 0.14 0.82 0.79 0.13 0.20 0.79 0.87 0.17 0.75 1.00 0.09 0.16 0.92 0.26 0.91 0.93 0.77 0.99 0.34 0.18 0.52 0.42 0.32 ]
[0.25 0.34 0.98 0.35 0.39 0.72 1.00 0.22 0.11 0.11 0.52 0.09 0.69 0.25 0.29 0.35 0.52 0.17 0.50 0.39 0.14 0.87 0.77 0.11 0.36 0.29 0.07 0.75 0.80 0.50 0.59 0.32 0.36 0.41 0.47 0.32 0.72 0.64 0.07 0.88 0.55 0.90 0.84 0.09 0.59 0.50 0.86 0.13 0.46 0.42 0.77 0.93 0.09 0.15 ]
[0.74 0.71 0.76 0.71 0.87 0.60 0.22 1.00 0.95 0.58 0.71 0.90 0.21 0.29 0.07 0.13 0.14 0.34 0.80 0.39 0.06 0.52 0.26 0.72 0.11 0.66 0.12 0.99 0.02 0.54 0.37 0.52 0.94 0.01 0.78 0.26 0.72 0.48 0.59 0.96 0.84 0.36 0.88 0.82 0.14 0.53 0.47 0.90 0.02 0.49 0.02 0.90 0.59 0.57 ]
[0.81 0.61 0.12 0.30 0.77 0.43 0.11 0.95 1.00 0.84 1.00 0.12 0.58 0.83 0.88 0.82 0.90 0.18 0.65 0.42 0.88 0.47 0.17 0.94 0.92 0.38 0.10 0.07 0.83 0.98 0.18 0.08 0.03 0.12 0.18 0.02 0.12 0.40 0.76 0.38 0.19 0.58 0.19 0.28 0.87 0.13 0.78 0.33 0.72 0.93 0.45 0.25 0.70 0.42 ]
[0.98 0.10 0.48 0.75 0.62 0.12 0.11 0.58 0.84 1.00 0.18 0.82 0.02 0.24 0.64 0.95 0.31 0.23 0.60 0.59 0.22 0.40 0.96 0.60 0.15 0.94 0.48 0.07 0.52 0.94 0.94 0.50 0.69 0.50 0.29 0.58 0.51 0.62 0.57 0.05 0.93 0.49 0.91 0.46 0.15 0.83 0.85 0.08 0.01 0.90 0.46 0.06 0.16 0.71 ]
