D = 2;
n = [ 3 3 ];
N = 72;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.48 0.45 0.11 0.08 0.48 0.60 0.13 0.05 0.59 0.29 0.87 0.02 0.12 0.20 0.38 0.51 0.93 0.16 0.64 0.31 0.90 0.18 0.62 0.86 0.40 0.24 0.72 0.50 0.85 0.93 0.57 0.97 0.70 0.44 0.22 0.20 0.58 0.16 0.13 0.63 0.78 0.24 0.10 0.52 0.47 0.91 0.32 0.94 0.73 0.88 0.37 0.70 0.85 0.13 0.72 0.97 0.67 0.16 0.85 0.14 0.38 0.17 0.13 0.61 0.76 0.59 0.89 0.08 0.86 0.03 0.50 ]
[0.48 1.00 0.66 0.42 0.17 0.46 1.00 0.92 0.54 0.60 0.15 0.20 0.82 0.88 0.66 0.63 0.54 0.78 0.90 0.97 0.80 0.71 0.48 0.81 0.25 0.00 0.71 0.04 0.88 0.03 0.64 0.91 0.72 0.57 0.18 0.96 0.32 0.57 0.94 0.07 0.75 0.87 0.90 0.92 0.01 0.43 0.04 0.53 0.82 0.76 0.56 0.56 0.57 0.70 0.61 0.82 0.23 0.07 0.24 0.50 0.78 0.44 0.60 0.61 0.74 0.01 0.26 0.12 0.69 0.63 0.71 0.08 ]
[0.45 0.66 1.00 0.88 0.00 0.26 0.96 0.36 0.63 0.61 0.94 0.65 0.49 0.88 0.85 0.06 0.77 0.49 0.56 0.28 0.26 0.65 0.09 0.02 0.52 0.81 0.90 0.35 0.53 0.11 0.02 0.38 0.32 0.03 0.49 0.45 0.72 0.70 0.31 0.53 0.98 0.69 0.45 0.37 0.22 0.04 0.66 0.48 0.54 0.51 0.08 0.37 0.90 0.40 0.08 0.68 0.01 0.18 0.66 0.53 0.46 0.22 0.26 0.54 0.87 1.00 0.49 0.08 0.57 0.19 0.08 0.29 ]
[0.11 0.42 0.88 1.00 1.00 0.68 0.11 0.11 0.66 0.02 1.00 0.44 0.38 0.11 0.22 0.57 0.56 0.92 0.63 0.52 0.51 0.87 0.28 0.45 0.39 0.54 0.92 0.03 0.37 0.71 0.01 0.29 0.09 0.36 0.34 0.59 0.10 0.05 0.21 0.20 0.70 0.08 0.79 0.90 0.51 0.43 0.14 0.45 0.91 0.12 0.00 0.72 0.60 0.07 0.34 0.94 0.34 0.10 0.73 0.60 0.58 0.37 0.36 0.06 0.15 0.69 0.97 0.85 0.84 0.45 0.70 0.81 ]
[0.08 0.17 0.00 1.00 1.00 0.88 0.91 0.52 0.65 0.73 0.91 0.51 0.25 0.09 0.14 0.69 0.51 0.72 0.01 0.98 0.56 0.87 0.83 0.65 0.33 0.76 0.71 0.23 0.78 0.72 0.78 0.30 0.10 0.33 0.40 0.64 0.70 0.82 0.59 0.63 0.76 0.57 0.58 0.87 0.30 0.06 0.20 0.12 0.56 0.22 0.73 0.53 0.92 0.77 0.10 0.25 0.92 0.43 0.28 0.22 0.28 0.39 0.45 0.98 0.75 0.42 0.27 0.53 0.48 0.29 0.81 0.71 ]
[0.48 0.46 0.26 0.68 0.88 1.00 0.97 0.24 0.55 0.46 0.78 0.76 0.35 0.54 0.93 0.54 0.94 0.25 0.64 0.40 0.60 0.81 0.82 0.05 0.14 0.66 0.37 0.06 0.09 0.18 0.96 0.94 0.35 0.99 0.03 0.61 0.03 0.58 0.60 0.00 0.38 0.30 0.73 0.43 0.18 0.81 0.68 0.12 0.68 0.01 0.60 0.90 0.91 0.30 0.54 0.27 0.22 0.66 0.34 0.41 0.93 0.71 0.51 0.53 0.77 0.45 0.72 0.43 0.34 0.10 0.14 0.44 ]
[0.60 1.00 0.96 0.11 0.91 0.97 1.00 0.32 0.98 0.98 0.22 0.47 0.81 0.53 0.01 0.76 0.68 0.64 0.03 0.98 0.39 0.87 0.44 0.05 0.82 0.48 0.89 0.37 0.82 0.22 0.37 0.60 0.39 0.47 0.03 0.44 0.53 0.41 0.36 0.62 0.05 0.73 0.32 0.73 0.71 0.72 0.28 0.61 0.97 0.78 0.41 0.43 0.15 0.65 0.57 0.99 0.34 0.96 0.02 0.02 0.87 0.50 0.68 0.82 0.79 0.91 0.08 0.39 0.09 0.63 0.70 0.78 ]
[0.13 0.92 0.36 0.11 0.52 0.24 0.32 1.00 0.28 0.64 0.37 0.84 0.87 0.58 0.11 0.45 0.80 0.08 0.17 0.01 0.95 0.61 0.18 0.75 0.79 0.45 0.95 0.92 0.81 0.82 0.40 0.33 0.31 0.63 0.23 0.86 0.80 0.85 0.10 0.76 0.62 0.73 0.37 0.16 0.62 0.59 0.63 0.73 0.01 0.81 0.17 0.10 0.03 0.20 0.72 0.19 0.69 0.75 0.58 0.12 0.43 0.40 0.04 0.14 0.15 0.21 0.34 0.80 0.36 0.55 0.08 0.57 ]
[0.05 0.54 0.63 0.66 0.65 0.55 0.98 0.28 1.00 0.65 0.35 0.66 0.12 0.34 0.32 0.04 0.09 0.06 0.93 0.45 0.29 0.45 0.36 0.62 0.23 0.73 0.43 0.72 0.21 0.38 0.68 0.47 0.03 0.74 0.63 0.03 0.74 0.78 0.05 0.89 0.52 0.64 0.58 0.98 0.38 0.72 0.81 0.98 0.20 0.97 0.48 0.71 0.91 0.54 0.92 0.64 0.19 0.62 0.13 0.59 0.41 0.04 0.48 0.07 0.55 0.31 0.97 0.16 0.16 0.40 0.52 0.05 ]
[0.59 0.60 0.61 0.02 0.73 0.46 0.98 0.64 0.65 1.00 0.85 0.23 0.89 0.24 0.03 0.42 0.67 0.27 0.75 0.87 0.31 0.47 0.06 0.01 0.47 0.00 0.34 0.09 0.40 0.66 0.48 0.39 0.25 0.16 0.41 0.25 0.60 0.53 0.29 0.09 0.23 0.73 0.99 0.35 0.96 0.84 0.69 0.71 0.27 0.45 0.92 0.23 0.25 0.03 0.47 0.63 0.29 0.78 0.45 0.04 0.08 0.95 0.73 0.15 0.37 1.00 0.93 0.71 0.72 0.59 0.38 0.76 ]
