D = 2;
n = [ 5 5 ];
N = 31;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 ];
m = [
[1.00 0.31 0.30 0.05 0.91 0.10 0.05 0.23 0.69 0.73 0.84 0.34 0.16 0.20 0.66 0.29 0.77 0.69 0.54 0.16 0.22 0.36 0.69 0.30 0.55 0.90 0.86 0.49 0.09 0.67 0.99 ]
[0.31 1.00 0.91 0.80 0.23 0.57 0.89 0.37 0.94 0.52 0.89 0.24 0.78 0.44 0.10 0.50 0.54 0.58 0.16 0.08 0.22 0.94 0.67 0.04 0.84 0.57 0.07 0.57 0.53 0.48 0.60 ]
[0.30 0.91 1.00 0.43 0.39 0.06 0.08 0.52 0.91 0.75 0.87 0.35 0.17 0.93 0.09 0.38 0.70 0.13 0.34 0.04 0.81 0.00 0.80 0.86 0.37 0.16 0.28 0.66 0.22 0.25 0.67 ]
[0.05 0.80 0.43 1.00 0.89 0.09 0.84 0.89 0.45 0.16 0.36 0.35 0.69 0.07 0.14 0.39 0.40 0.77 0.11 0.39 0.70 0.06 0.21 0.15 0.94 0.33 0.48 0.46 0.21 0.37 0.82 ]
[0.91 0.23 0.39 0.89 1.00 0.61 0.11 0.85 0.26 0.74 0.84 0.82 0.76 0.51 0.99 0.18 0.18 0.43 0.43 0.40 0.02 0.16 0.86 0.44 0.31 0.10 0.87 0.22 0.18 0.11 0.16 ]
[0.10 0.57 0.06 0.09 0.61 1.00 0.32 0.66 0.30 0.93 0.89 0.38 0.22 0.99 0.64 0.90 0.23 0.49 0.98 0.22 0.96 0.44 0.17 0.78 0.96 0.94 0.16 0.39 0.05 0.41 0.98 ]
[0.05 0.89 0.08 0.84 0.11 0.32 1.00 0.52 0.76 0.37 0.73 0.46 0.52 0.22 0.97 0.16 0.74 0.67 0.83 0.14 0.26 0.10 0.95 0.51 0.33 0.84 0.91 0.57 0.87 0.65 0.49 ]
[0.23 0.37 0.52 0.89 0.85 0.66 0.52 1.00 0.30 0.95 0.92 0.68 0.86 0.66 0.83 0.60 0.47 0.53 0.52 0.22 0.59 0.24 0.21 0.41 0.01 0.69 0.20 0.13 0.30 0.16 0.06 ]
[0.69 0.94 0.91 0.45 0.26 0.30 0.76 0.30 1.00 0.84 0.12 0.11 0.23 0.37 0.27 0.68 0.83 0.52 0.48 0.66 0.60 0.19 0.91 0.10 0.58 0.72 0.11 0.46 0.33 0.42 0.36 ]
[0.73 0.52 0.75 0.16 0.74 0.93 0.37 0.95 0.84 1.00 0.57 1.00 0.66 0.91 0.26 0.90 0.53 0.77 0.67 0.33 0.68 0.99 0.89 0.50 0.38 0.21 0.33 0.76 0.17 0.21 0.87 ]
[0.84 0.89 0.87 0.36 0.84 0.89 0.73 0.92 0.12 0.57 1.00 0.96 0.01 0.90 0.30 0.37 0.96 0.82 0.66 0.54 0.85 0.46 0.95 0.19 0.11 0.75 0.98 0.01 0.64 0.58 0.80 ]
[0.34 0.24 0.35 0.35 0.82 0.38 0.46 0.68 0.11 1.00 0.96 1.00 0.03 0.35 0.00 0.12 0.32 0.07 0.15 0.09 0.58 0.76 0.14 0.04 0.34 0.63 0.19 0.35 0.77 0.84 0.49 ]
[0.16 0.78 0.17 0.69 0.76 0.22 0.52 0.86 0.23 0.66 0.01 0.03 1.00 0.63 0.56 0.72 0.78 0.31 0.11 0.46 0.34 0.11 0.10 0.46 0.38 0.98 0.55 0.61 0.30 0.27 0.16 ]
[0.20 0.44 0.93 0.07 0.51 0.99 0.22 0.66 0.37 0.91 0.90 0.35 0.63 1.00 0.68 0.74 0.97 0.60 0.89 0.74 0.67 0.92 0.95 0.62 0.44 0.43 0.22 0.87 0.66 0.31 0.88 ]
[0.66 0.10 0.09 0.14 0.99 0.64 0.97 0.83 0.27 0.26 0.30 0.00 0.56 0.68 1.00 0.36 0.90 0.80 0.10 0.71 0.31 0.25 0.66 0.49 0.46 0.07 0.33 0.71 0.28 0.92 0.20 ]
[0.29 0.50 0.38 0.39 0.18 0.90 0.16 0.60 0.68 0.90 0.37 0.12 0.72 0.74 0.36 1.00 0.90 0.48 0.58 0.44 0.56 0.59 0.18 0.13 0.64 0.24 0.85 0.83 0.93 0.80 0.15 ]
[0.77 0.54 0.70 0.40 0.18 0.23 0.74 0.47 0.83 0.53 0.96 0.32 0.78 0.97 0.90 0.90 1.00 0.02 0.01 0.78 0.60 0.47 0.35 0.25 0.87 0.32 0.69 0.33 0.37 0.44 0.48 ]
[0.69 0.58 0.13 0.77 0.43 0.49 0.67 0.53 0.52 0.77 0.82 0.07 0.31 0.60 0.80 0.48 0.02 1.00 0.65 0.32 0.58 0.83 0.94 0.49 0.96 0.33 0.31 0.64 0.93 0.73 0.23 ]
