D = 6;
n = [ 3 3 3 3 3 3 ];
N = 90;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.63 0.04 0.36 0.17 0.23 0.99 0.59 0.78 0.35 0.25 0.58 0.76 0.74 0.70 0.90 0.56 0.66 0.38 0.99 0.52 0.14 0.28 0.61 0.72 0.71 0.63 0.37 0.14 0.40 0.70 0.10 0.90 0.54 0.17 0.50 0.36 0.36 0.26 0.02 0.87 0.74 0.26 0.86 0.47 0.99 0.90 0.21 0.48 0.04 0.68 0.70 0.82 0.21 0.46 0.49 0.19 0.96 0.38 0.81 0.59 0.16 0.15 0.95 0.79 0.11 0.79 0.53 0.62 0.93 0.41 0.53 0.35 0.97 0.46 0.39 0.85 0.94 0.51 0.94 0.84 0.61 0.47 0.67 0.54 0.93 0.74 0.07 0.64 0.34 ]
[0.63 1.00 0.57 0.20 0.57 0.08 0.04 0.72 0.75 0.63 0.17 0.38 0.91 0.05 0.13 0.29 0.49 0.36 0.98 0.48 0.00 0.34 0.52 0.67 0.44 0.27 0.99 0.73 0.20 0.17 0.42 0.37 0.90 0.86 0.27 0.41 0.60 0.39 0.90 0.17 0.13 0.61 0.83 0.42 0.52 0.01 0.65 0.15 0.60 0.46 0.33 0.31 0.85 0.87 0.20 0.99 0.03 0.24 0.26 0.76 0.94 0.59 0.08 0.25 0.43 0.79 0.22 0.71 0.28 0.04 0.26 0.43 0.11 0.26 0.11 0.32 0.53 0.36 0.52 0.77 0.12 0.63 0.55 0.85 0.21 0.28 0.40 0.31 0.66 0.48 ]
[0.04 0.57 1.00 0.25 0.11 0.55 0.64 0.74 0.05 0.61 0.04 0.57 0.77 0.59 0.05 0.31 0.40 0.37 0.25 0.78 0.91 0.78 0.90 0.80 0.31 0.15 0.69 0.44 0.06 0.28 0.59 0.08 0.51 0.89 0.16 0.37 0.62 0.27 0.33 0.72 0.34 0.13 0.19 0.94 0.88 0.72 0.88 0.19 0.89 0.07 0.54 0.48 0.35 0.74 0.15 0.09 0.75 0.87 0.17 0.07 0.17 0.36 0.65 0.97 0.64 0.68 0.17 0.89 0.99 0.22 0.36 0.95 0.37 0.05 0.51 0.26 0.34 0.31 0.70 0.46 0.92 0.31 0.88 0.76 0.53 0.93 0.75 0.21 0.01 0.43 ]
[0.36 0.20 0.25 1.00 0.51 0.89 0.11 0.18 0.74 0.94 0.47 0.69 0.44 0.28 0.19 0.75 0.48 0.67 0.57 0.31 0.82 0.06 0.88 0.22 0.07 0.78 0.29 0.86 0.27 0.08 0.06 0.38 0.26 0.10 0.28 0.38 0.72 0.02 0.42 0.08 0.55 0.03 0.97 0.71 0.95 0.64 0.11 0.85 0.22 0.95 0.47 0.44 0.57 0.81 0.74 0.11 0.00 0.79 0.89 0.37 0.46 0.64 0.74 0.82 0.69 0.81 0.67 0.36 0.08 0.30 0.94 0.94 0.86 0.68 0.61 0.68 0.18 0.07 0.68 0.09 0.22 0.63 0.28 0.01 0.11 0.71 0.04 0.54 0.39 0.57 ]
[0.17 0.57 0.11 0.51 1.00 0.88 0.54 0.64 0.13 0.80 0.25 0.94 0.23 0.49 0.88 0.61 0.29 0.38 0.97 0.84 0.75 0.19 0.03 0.73 0.59 0.97 0.11 0.12 0.46 0.72 0.55 1.00 0.83 0.66 0.91 0.12 0.82 0.19 0.69 0.62 0.75 0.50 0.37 0.14 0.64 0.86 0.48 0.11 0.54 0.26 0.13 0.08 0.70 0.75 0.54 0.54 0.36 0.73 0.66 0.62 0.67 0.04 0.75 0.29 0.67 0.06 0.16 0.83 0.92 0.20 0.50 0.48 0.36 0.34 0.80 0.44 0.66 0.28 0.69 0.58 1.00 0.93 0.67 0.51 0.28 0.08 0.11 0.97 0.10 0.87 ]
[0.23 0.08 0.55 0.89 0.88 1.00 0.29 0.02 0.27 0.87 0.91 0.85 0.82 0.69 0.18 0.12 0.58 0.65 0.71 0.72 0.68 0.77 0.24 0.92 0.23 0.57 0.39 0.45 0.07 0.15 0.10 0.15 0.26 0.42 0.88 0.05 0.72 0.25 0.56 0.01 0.68 0.03 0.61 0.60 0.98 0.72 0.38 0.69 0.72 0.84 0.68 0.84 0.69 0.31 0.50 0.96 0.88 0.36 0.85 0.47 0.23 0.71 0.93 0.26 0.41 0.32 0.49 0.00 0.80 0.51 0.50 0.10 0.70 0.37 0.19 0.03 0.85 0.55 0.77 0.16 0.95 0.01 0.20 0.47 0.32 0.79 0.37 0.54 0.84 0.46 ]
[0.99 0.04 0.64 0.11 0.54 0.29 1.00 0.81 0.18 0.39 0.96 0.69 0.59 0.42 0.72 0.68 0.89 0.99 0.04 0.96 0.72 0.49 0.64 0.22 0.72 0.95 0.43 0.30 0.15 0.53 0.29 0.12 0.59 0.26 0.53 0.29 0.55 0.24 0.56 0.56 0.28 0.72 0.65 0.92 0.17 0.42 0.77 0.00 0.43 0.01 0.31 0.25 0.36 0.10 0.85 0.72 0.50 0.70 0.25 0.62 0.19 0.11 0.98 0.53 0.82 0.19 0.86 0.91 0.15 0.68 0.38 0.02 0.46 0.38 0.82 0.70 0.55 0.81 0.42 0.43 0.40 0.42 0.33 0.95 0.74 0.71 0.05 0.06 0.46 0.25 ]
[0.59 0.72 0.74 0.18 0.64 0.02 0.81 1.00 0.54 0.99 0.01 0.97 0.91 0.12 0.87 0.19 0.22 0.86 0.64 0.46 0.04 0.36 0.12 0.33 0.03 0.69 0.22 0.22 0.51 0.60 0.04 0.68 0.36 0.56 0.32 0.96 0.15 0.26 0.83 0.81 0.15 0.70 0.98 0.43 0.51 0.70 0.59 0.02 0.07 0.48 0.06 0.93 0.14 0.59 0.20 0.15 0.69 0.54 0.43 0.65 0.49 0.14 0.10 0.37 0.84 0.41 0.83 0.08 0.88 0.64 0.52 0.42 0.01 0.39 0.53 0.75 0.85 0.45 0.04 0.53 0.97 0.93 0.62 0.21 0.72 0.81 0.22 0.54 0.77 0.12 ]
[0.78 0.75 0.05 0.74 0.13 0.27 0.18 0.54 1.00 0.70 0.31 0.59 0.48 0.64 0.19 0.82 0.70 0.50 0.94 0.22 0.95 0.59 0.62 0.72 0.09 0.86 0.94 0.37 0.94 0.85 0.04 0.57 0.37 0.31 0.58 0.73 0.85 0.31 0.96 0.25 0.86 0.84 0.19 0.13 0.20 0.41 0.12 0.81 0.28 0.81 0.84 0.52 0.50 0.04 0.21 0.81 0.32 0.14 0.11 0.00 0.27 0.47 0.92 0.08 0.34 0.90 0.88 0.68 0.55 0.02 0.52 0.24 0.68 0.98 0.31 0.34 0.29 0.32 0.60 0.07 0.10 0.04 0.65 0.79 0.85 0.04 0.84 0.99 0.76 0.06 ]
[0.35 0.63 0.61 0.94 0.80 0.87 0.39 0.99 0.70 1.00 0.85 0.06 0.20 0.82 0.94 0.74 1.00 0.37 0.20 0.47 0.85 0.04 0.35 0.64 0.51 0.49 0.54 0.81 0.41 0.94 0.58 0.69 0.58 0.61 0.90 0.07 0.55 0.44 0.26 0.31 0.79 0.80 0.78 0.17 0.84 0.67 0.83 0.51 0.26 0.71 0.79 0.63 0.68 0.18 0.38 0.28 0.76 0.95 0.11 0.47 0.08 0.90 0.01 0.90 0.98 0.51 0.99 0.96 0.44 1.00 0.72 0.70 0.25 0.78 0.59 0.63 0.04 0.51 0.29 0.78 0.33 0.84 0.37 0.27 0.10 0.32 0.93 0.64 0.45 0.69 ]
[0.25 0.17 0.04 0.47 0.25 0.91 0.96 0.01 0.31 0.85 1.00 0.93 0.05 0.63 0.07 0.43 0.66 0.20 0.09 0.27 0.47 0.08 0.04 0.17 0.27 0.71 0.98 0.30 0.16 0.24 0.87 0.17 0.82 0.44 0.21 0.67 0.79 0.15 0.63 0.48 0.80 0.67 0.35 0.41 0.49 0.71 0.47 0.99 0.57 0.33 0.83 0.77 0.04 0.90 0.69 0.56 0.89 0.63 0.50 0.05 0.82 0.14 0.31 0.16 0.16 0.07 0.74 0.99 0.37 0.14 0.23 0.36 0.99 0.27 0.98 0.78 0.41 0.52 0.74 0.80 0.31 0.91 0.97 0.45 0.06 0.66 0.90 0.92 0.64 0.48 ]
[0.58 0.38 0.57 0.69 0.94 0.85 0.69 0.97 0.59 0.06 0.93 1.00 0.17 0.83 0.23 0.66 0.31 0.95 0.51 0.84 0.04 0.63 0.77 0.91 0.23 0.50 0.29 0.83 0.02 0.42 0.14 0.19 0.72 0.66 0.71 0.21 0.72 0.76 0.64 0.63 0.22 0.11 0.08 0.92 0.18 0.69 0.99 0.61 0.97 0.01 0.49 0.75 0.16 0.34 0.57 0.75 0.25 0.28 0.29 0.81 0.70 0.40 0.67 0.79 0.39 0.10 0.33 0.40 0.01 0.27 0.81 0.99 0.13 0.74 0.25 0.84 0.39 0.34 0.91 0.75 0.45 0.84 0.59 0.78 0.38 0.98 0.99 0.59 0.35 0.62 ]
[0.76 0.91 0.77 0.44 0.23 0.82 0.59 0.91 0.48 0.20 0.05 0.17 1.00 0.85 0.62 0.98 0.70 0.36 0.33 0.39 0.63 0.99 0.21 0.41 0.81 0.81 0.07 0.65 0.90 0.30 0.11 0.26 0.62 0.30 0.02 0.80 0.85 0.46 0.69 0.24 0.63 0.04 0.92 0.39 0.67 0.52 0.17 0.02 0.20 0.37 0.51 0.12 0.53 0.43 0.81 0.73 0.24 0.62 0.58 0.81 0.22 0.69 0.59 0.56 0.03 0.46 0.85 0.72 0.78 0.04 0.29 0.67 0.56 0.66 0.93 0.28 0.62 0.86 0.65 0.49 0.18 0.99 0.50 0.21 0.54 0.78 0.44 0.75 0.83 0.75 ]
[0.74 0.05 0.59 0.28 0.49 0.69 0.42 0.12 0.64 0.82 0.63 0.83 0.85 1.00 0.07 0.81 0.58 0.97 0.74 0.08 0.07 0.06 0.19 0.76 0.40 0.89 0.26 0.42 0.82 0.33 0.23 0.34 0.45 0.60 0.52 0.86 0.72 0.55 0.40 0.63 0.74 0.45 0.05 0.12 0.13 0.07 0.48 0.17 0.98 0.74 0.19 0.75 0.07 0.05 0.03 0.39 0.16 0.76 0.83 0.76 0.43 0.55 0.69 0.45 0.23 0.38 0.78 0.62 0.34 0.48 0.35 0.59 0.37 0.72 0.12 0.57 0.17 0.88 0.92 0.96 0.84 0.97 0.48 0.28 0.43 0.31 0.68 0.64 0.14 0.25 ]
[0.70 0.13 0.05 0.19 0.88 0.18 0.72 0.87 0.19 0.94 0.07 0.23 0.62 0.07 1.00 0.02 0.96 0.76 0.02 0.17 0.46 0.24 0.82 0.20 0.60 0.09 0.86 0.20 0.32 0.29 0.27 0.81 0.10 0.02 0.99 0.54 0.68 0.36 0.96 0.48 0.72 0.93 0.40 0.12 0.87 0.15 0.56 0.59 0.88 0.91 0.24 0.79 0.68 0.86 0.70 0.15 0.37 0.82 0.57 0.76 0.13 0.66 0.80 0.43 0.15 0.63 0.14 0.45 0.37 0.54 0.30 0.86 0.45 0.04 0.81 0.64 0.37 0.52 0.35 0.49 0.41 0.50 0.72 0.31 0.78 0.41 0.11 0.73 0.83 0.90 ]
[0.90 0.29 0.31 0.75 0.61 0.12 0.68 0.19 0.82 0.74 0.43 0.66 0.98 0.81 0.02 1.00 0.17 0.28 0.32 0.66 0.74 0.68 0.29 0.47 0.28 0.51 0.21 0.10 0.64 0.50 0.09 0.02 0.22 0.39 0.39 0.88 0.68 0.26 0.44 0.46 0.74 0.12 0.57 0.13 0.41 0.11 0.11 0.09 0.36 0.89 0.48 0.19 0.40 0.17 0.01 0.91 0.45 0.71 0.91 0.58 0.01 0.05 0.53 0.07 0.31 0.81 0.74 0.19 0.53 0.84 0.97 0.19 0.35 0.82 0.21 0.71 0.03 0.38 0.03 0.42 0.85 0.58 0.54 0.75 0.93 0.75 0.82 0.98 0.30 0.50 ]
[0.56 0.49 0.40 0.48 0.29 0.58 0.89 0.22 0.70 1.00 0.66 0.31 0.70 0.58 0.96 0.17 1.00 0.21 0.93 0.56 0.42 0.33 0.36 0.43 0.79 0.19 0.23 0.91 0.63 0.22 0.73 0.59 0.51 0.28 0.54 0.64 0.37 0.61 0.19 0.32 0.73 0.02 0.68 0.12 0.80 0.34 0.67 0.44 0.67 0.16 0.08 0.55 0.82 0.49 0.48 0.59 0.79 0.34 0.45 0.74 0.47 0.47 0.65 0.44 0.27 0.64 0.87 0.44 0.50 0.87 0.80 0.57 0.23 0.44 0.58 0.57 0.82 0.49 0.59 0.39 0.75 0.75 0.34 0.63 0.74 0.30 0.77 0.02 0.41 0.20 ]
[0.66 0.36 0.37 0.67 0.38 0.65 0.99 0.86 0.50 0.37 0.20 0.95 0.36 0.97 0.76 0.28 0.21 1.00 0.07 0.75 0.11 0.53 0.59 0.63 0.67 0.15 0.22 0.96 0.60 0.49 0.32 0.25 0.44 0.06 0.37 0.60 0.82 0.75 0.28 0.69 0.35 0.32 0.41 0.59 0.12 0.95 0.14 0.14 0.66 0.12 0.60 0.20 0.20 0.19 0.36 0.86 0.39 0.16 0.45 0.99 0.22 0.62 0.12 0.18 0.38 0.55 0.30 0.53 0.28 0.29 0.06 0.27 0.48 0.48 0.51 0.62 0.27 0.83 0.46 0.71 0.52 0.40 0.49 0.84 0.42 0.18 0.42 0.21 0.30 0.10 ]
[0.38 0.98 0.25 0.57 0.97 0.71 0.04 0.64 0.94 0.20 0.09 0.51 0.33 0.74 0.02 0.32 0.93 0.07 1.00 0.38 0.75 0.81 0.51 0.87 0.59 0.38 0.68 0.60 0.63 0.19 0.39 0.75 0.72 0.58 0.51 0.23 0.52 0.23 0.57 0.10 0.65 0.15 0.01 0.02 0.25 0.80 0.21 0.14 0.74 0.66 0.86 0.03 0.80 0.09 1.00 0.62 0.40 0.25 0.25 0.11 0.97 0.73 0.64 0.71 0.07 0.43 0.02 0.99 0.57 0.50 0.17 0.91 0.19 0.06 0.50 0.55 0.05 0.23 0.96 0.63 0.63 0.29 0.35 0.32 0.94 0.35 0.23 0.90 0.57 0.46 ]
[0.99 0.48 0.78 0.31 0.84 0.72 0.96 0.46 0.22 0.47 0.27 0.84 0.39 0.08 0.17 0.66 0.56 0.75 0.38 1.00 0.96 0.25 0.73 0.03 0.42 0.07 0.47 0.92 0.45 0.76 0.00 0.83 0.56 0.91 0.49 0.78 0.03 0.84 0.23 0.36 0.85 0.52 0.31 0.65 0.07 0.67 0.12 0.30 0.42 0.55 0.74 0.57 0.26 0.76 0.52 0.04 0.16 0.27 0.61 0.93 0.45 0.04 0.82 0.81 0.36 0.93 0.07 0.18 0.19 0.87 0.68 0.27 0.12 0.33 0.68 0.26 0.94 0.23 0.20 0.03 0.50 0.07 0.04 0.22 0.09 0.08 0.79 0.58 0.15 0.83 ]
[0.52 0.00 0.91 0.82 0.75 0.68 0.72 0.04 0.95 0.85 0.47 0.04 0.63 0.07 0.46 0.74 0.42 0.11 0.75 0.96 1.00 0.90 0.91 0.05 0.20 0.87 0.60 0.89 0.86 0.70 0.68 0.96 0.82 0.29 0.94 0.77 0.20 0.38 0.35 0.06 0.83 0.65 0.11 0.75 0.91 0.74 0.66 0.51 0.79 0.61 0.49 0.80 0.62 0.76 0.44 0.44 0.45 0.11 0.10 0.29 0.95 0.74 0.06 0.68 0.37 0.31 0.51 0.28 0.82 0.14 0.02 0.67 0.03 0.64 0.86 0.82 0.61 0.80 0.25 0.88 0.68 0.98 0.61 0.23 0.66 0.24 0.30 0.37 0.54 0.63 ]
