D = 4;
n = [ 5 5 5 5 ];
N = 22;
d = [1 1 1 1 1 2 2 2 2 2 3 3 3 3 3 4 4 4 4 4 4 4 ];
m = [
[1.00 0.97 0.68 0.85 0.43 0.11 0.45 0.07 0.07 0.59 0.93 0.69 0.23 0.25 0.52 0.72 0.38 0.89 0.57 0.43 0.34 0.56 ]
[0.97 1.00 0.07 0.98 0.17 0.60 0.36 0.81 0.77 0.05 0.61 0.04 0.76 0.68 0.80 0.60 0.69 0.02 0.96 0.18 0.98 0.96 ]
[0.68 0.07 1.00 0.73 0.47 0.19 0.79 0.35 0.64 0.91 0.39 0.26 0.96 0.65 0.90 0.88 0.36 0.65 0.39 0.15 0.48 0.33 ]
[0.85 0.98 0.73 1.00 0.04 0.66 0.09 0.80 0.13 0.93 0.07 0.32 0.09 0.93 0.64 0.46 0.16 0.73 0.37 0.56 0.19 0.31 ]
[0.43 0.17 0.47 0.04 1.00 0.16 0.07 0.66 0.95 0.75 0.60 0.66 0.04 0.45 0.58 0.07 0.18 0.15 0.67 0.05 0.02 0.45 ]
[0.11 0.60 0.19 0.66 0.16 1.00 0.21 0.27 0.22 0.74 0.49 0.83 0.63 0.07 0.61 0.33 0.91 0.98 0.73 0.35 0.05 0.21 ]
[0.45 0.36 0.79 0.09 0.07 0.21 1.00 0.04 0.74 0.49 0.68 0.16 0.29 0.45 0.38 0.03 0.43 0.78 0.54 0.95 0.08 0.72 ]
[0.07 0.81 0.35 0.80 0.66 0.27 0.04 1.00 0.04 0.61 0.30 0.29 0.62 0.56 0.84 0.96 0.42 0.98 0.88 0.60 0.60 0.20 ]
[0.07 0.77 0.64 0.13 0.95 0.22 0.74 0.04 1.00 0.17 0.36 0.00 0.45 0.72 0.44 0.42 0.45 0.71 0.29 0.46 0.63 0.37 ]
[0.59 0.05 0.91 0.93 0.75 0.74 0.49 0.61 0.17 1.00 0.34 0.96 0.29 0.96 0.76 0.48 0.01 0.50 0.65 0.11 0.29 0.65 ]
[0.93 0.61 0.39 0.07 0.60 0.49 0.68 0.30 0.36 0.34 1.00 0.77 0.98 0.67 0.04 0.42 0.70 0.76 0.37 0.29 0.61 0.56 ]
[0.69 0.04 0.26 0.32 0.66 0.83 0.16 0.29 0.00 0.96 0.77 1.00 0.84 0.34 0.73 0.89 0.75 0.88 0.04 0.38 0.37 0.94 ]
[0.23 0.76 0.96 0.09 0.04 0.63 0.29 0.62 0.45 0.29 0.98 0.84 1.00 0.25 0.61 0.65 0.03 0.72 0.78 0.39 0.84 0.93 ]
[0.25 0.68 0.65 0.93 0.45 0.07 0.45 0.56 0.72 0.96 0.67 0.34 0.25 1.00 0.10 0.25 0.52 0.56 0.22 0.38 0.01 0.35 ]
[0.52 0.80 0.90 0.64 0.58 0.61 0.38 0.84 0.44 0.76 0.04 0.73 0.61 0.10 1.00 0.97 0.23 0.43 0.72 0.48 0.13 0.69 ]
[0.72 0.60 0.88 0.46 0.07 0.33 0.03 0.96 0.42 0.48 0.42 0.89 0.65 0.25 0.97 1.00 0.16 0.40 0.66 0.52 0.33 0.15 ]
[0.38 0.69 0.36 0.16 0.18 0.91 0.43 0.42 0.45 0.01 0.70 0.75 0.03 0.52 0.23 0.16 1.00 0.27 0.12 0.43 0.64 0.39 ]
[0.89 0.02 0.65 0.73 0.15 0.98 0.78 0.98 0.71 0.50 0.76 0.88 0.72 0.56 0.43 0.40 0.27 1.00 0.83 0.28 0.64 0.65 ]
[0.57 0.96 0.39 0.37 0.67 0.73 0.54 0.88 0.29 0.65 0.37 0.04 0.78 0.22 0.72 0.66 0.12 0.83 1.00 0.40 0.63 0.58 ]
[0.43 0.18 0.15 0.56 0.05 0.35 0.95 0.60 0.46 0.11 0.29 0.38 0.39 0.38 0.48 0.52 0.43 0.28 0.40 1.00 0.69 0.31 ]
[0.34 0.98 0.48 0.19 0.02 0.05 0.08 0.60 0.63 0.29 0.61 0.37 0.84 0.01 0.13 0.33 0.64 0.64 0.63 0.69 1.00 0.86 ]
[0.56 0.96 0.33 0.31 0.45 0.21 0.72 0.20 0.37 0.65 0.56 0.94 0.93 0.35 0.69 0.15 0.39 0.65 0.58 0.31 0.86 1.00 ]
];
