D = 4;
n = [ 5 5 5 5 ];
N = 52;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.72 0.92 0.79 0.52 0.71 0.01 0.75 0.24 0.06 0.13 0.02 0.85 0.47 0.55 0.71 0.19 0.69 0.59 0.27 0.73 0.76 0.97 0.89 0.45 0.90 0.69 0.35 0.21 0.66 0.16 0.61 0.51 0.45 0.71 0.17 0.83 0.67 0.53 0.21 0.56 0.21 0.68 0.01 0.54 0.45 0.25 0.65 0.33 0.22 0.58 0.87 ]
[0.72 1.00 0.34 0.48 0.72 0.00 0.75 0.80 0.07 0.88 0.20 0.06 0.28 0.17 0.33 0.94 0.87 0.40 0.44 0.55 0.28 0.31 0.97 0.19 0.11 0.72 0.54 0.46 0.99 0.83 0.56 0.14 0.52 0.80 0.20 0.57 0.08 0.05 0.28 0.83 0.02 0.23 0.09 0.78 0.89 0.63 0.70 0.41 0.70 0.43 0.01 0.46 ]
[0.92 0.34 1.00 0.65 0.37 0.77 0.44 0.38 0.49 0.87 0.04 0.10 0.31 0.39 0.92 0.55 0.83 0.30 0.36 0.22 0.81 0.96 0.11 1.00 1.00 0.76 0.23 0.85 0.91 0.51 0.89 0.38 0.03 0.48 0.51 0.26 0.42 0.61 0.50 0.64 0.23 0.09 0.51 0.20 0.27 0.01 0.26 0.29 0.88 0.51 0.16 0.31 ]
[0.79 0.48 0.65 1.00 0.48 0.95 0.33 0.61 0.00 0.72 0.25 0.82 0.12 0.56 0.29 0.56 0.11 0.48 0.98 0.36 0.22 0.73 0.10 0.53 0.78 0.03 0.15 0.61 0.33 0.96 0.50 0.55 0.75 0.61 0.95 0.44 0.96 0.21 0.62 1.00 0.52 0.51 0.36 0.70 0.44 0.61 0.95 0.11 0.08 0.86 0.04 0.78 ]
[0.52 0.72 0.37 0.48 1.00 0.03 0.60 0.29 0.44 0.95 0.90 0.04 0.40 0.88 0.88 0.82 0.14 0.22 0.94 0.42 0.63 0.14 0.67 0.81 0.46 0.47 0.09 0.99 0.78 0.24 0.71 0.50 0.18 0.39 0.99 0.26 0.83 0.02 0.69 0.77 0.48 0.65 0.14 0.90 0.78 0.66 0.37 0.50 0.48 0.63 0.03 0.80 ]
[0.71 0.00 0.77 0.95 0.03 1.00 0.43 0.32 0.11 0.83 0.31 0.86 0.27 0.86 0.91 0.51 0.05 0.36 0.48 0.90 0.58 0.00 0.01 0.40 0.40 0.26 0.01 0.08 0.98 0.24 0.79 0.53 0.73 0.72 0.81 0.28 0.84 0.15 0.37 0.30 0.01 0.57 0.28 0.62 0.59 1.00 0.51 0.31 0.10 0.11 0.85 0.24 ]
[0.01 0.75 0.44 0.33 0.60 0.43 1.00 0.70 0.82 0.96 0.41 0.21 0.63 0.32 0.21 0.12 0.93 0.65 0.19 0.27 0.70 0.99 0.20 0.22 0.12 0.75 0.14 0.13 0.57 0.03 0.13 0.02 0.80 0.47 0.38 0.45 0.07 0.81 0.63 0.92 0.16 0.84 0.78 0.54 0.85 0.39 0.19 0.24 0.43 0.96 0.04 0.46 ]
[0.75 0.80 0.38 0.61 0.29 0.32 0.70 1.00 0.54 0.14 0.44 0.19 0.22 0.53 0.42 0.56 0.94 0.43 0.93 0.20 0.05 0.11 0.98 0.98 0.06 0.22 0.43 0.86 0.86 0.78 0.92 0.42 0.11 0.30 0.43 0.26 0.38 1.00 0.20 0.26 0.35 0.29 0.76 0.99 0.48 0.79 0.87 0.04 0.52 0.19 0.54 0.79 ]
[0.24 0.07 0.49 0.00 0.44 0.11 0.82 0.54 1.00 0.56 0.10 0.98 0.45 0.75 0.37 0.79 0.02 0.69 0.64 0.03 0.41 0.13 0.61 0.32 0.18 0.11 0.99 0.14 0.85 0.55 0.03 0.92 0.52 0.97 0.73 0.08 0.45 0.53 0.93 0.75 0.33 0.13 0.01 0.20 0.60 0.49 0.64 0.54 0.55 0.56 0.45 0.23 ]
[0.06 0.88 0.87 0.72 0.95 0.83 0.96 0.14 0.56 1.00 0.86 0.65 0.73 0.68 0.19 0.46 0.20 0.64 0.31 0.46 0.30 0.61 0.14 0.74 0.15 0.09 0.54 0.51 0.24 0.94 0.71 0.31 0.31 0.36 0.01 0.51 0.85 0.37 0.16 0.58 0.84 0.79 0.32 0.88 0.21 0.32 0.35 0.47 0.48 0.89 0.88 0.52 ]
