D = 2;
n = [ 5 5 ];
N = 12;
d = [1 1 1 1 1 1 2 2 2 2 2 2 ];
m = [
[1.00 0.67 0.38 0.05 0.86 0.40 0.31 0.32 0.40 0.92 0.96 0.63 ]
[0.67 1.00 0.72 0.46 0.64 0.08 0.83 0.23 0.13 0.88 0.48 0.44 ]
[0.38 0.72 1.00 0.23 0.63 0.33 0.43 0.95 0.64 0.77 0.26 0.47 ]
[0.05 0.46 0.23 1.00 0.03 0.62 0.76 0.48 0.75 0.14 0.07 0.89 ]
[0.86 0.64 0.63 0.03 1.00 0.11 0.89 0.96 0.74 0.01 0.12 0.46 ]
[0.40 0.08 0.33 0.62 0.11 1.00 0.19 0.79 0.98 0.49 0.93 0.37 ]
[0.31 0.83 0.43 0.76 0.89 0.19 1.00 0.23 0.59 0.62 0.94 0.50 ]
[0.32 0.23 0.95 0.48 0.96 0.79 0.23 1.00 0.68 0.04 0.26 0.39 ]
[0.40 0.13 0.64 0.75 0.74 0.98 0.59 0.68 1.00 0.65 0.88 0.90 ]
[0.92 0.88 0.77 0.14 0.01 0.49 0.62 0.04 0.65 1.00 0.99 0.25 ]
[0.96 0.48 0.26 0.07 0.12 0.93 0.94 0.26 0.88 0.99 1.00 0.24 ]
[0.63 0.44 0.47 0.89 0.46 0.37 0.50 0.39 0.90 0.25 0.24 1.00 ]
];
