D = 8;
n = [ 2 2 2 2 2 2 2 2 ];
N = 61;
d = [1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 3 3 3 3 3 4 4 4 4 4 4 4 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 ];
m = [
[1.00 0.93 0.52 0.10 0.36 0.90 0.95 0.51 0.40 0.37 0.67 0.82 0.96 0.28 0.11 0.31 0.74 0.21 0.21 0.83 0.26 0.91 0.11 0.60 0.11 0.05 0.35 0.27 0.54 0.94 0.99 0.48 0.99 0.87 0.72 0.64 0.40 0.04 0.38 0.29 0.53 0.07 0.93 0.41 0.45 0.18 0.92 0.51 0.18 0.65 0.90 0.71 0.17 0.22 0.50 0.09 0.47 0.04 0.70 0.14 0.52 ]
[0.93 1.00 0.62 0.54 0.53 0.93 0.44 0.80 0.78 0.59 0.28 0.34 0.43 0.68 0.15 0.27 0.20 0.04 0.47 0.31 0.65 0.98 0.04 0.89 0.78 0.24 0.46 0.48 0.87 1.00 0.65 0.65 0.10 0.01 0.66 0.27 0.38 0.11 0.08 0.94 0.17 0.96 0.92 0.66 0.06 0.97 0.72 0.64 0.30 0.78 0.41 0.14 0.02 0.30 0.06 0.93 0.05 0.24 0.99 0.26 0.60 ]
[0.52 0.62 1.00 0.34 0.26 0.80 0.98 0.18 0.98 0.39 0.68 0.50 0.12 0.35 0.25 0.10 0.89 0.63 0.93 0.83 0.30 0.30 0.99 0.78 0.85 0.47 0.65 0.55 0.09 0.06 0.51 0.09 0.59 0.86 0.50 0.71 0.49 0.44 0.05 0.64 0.41 0.20 0.82 0.35 0.55 0.22 0.31 0.86 0.30 0.60 0.90 0.05 0.80 0.31 0.10 0.11 0.29 0.60 0.89 0.61 0.58 ]
[0.10 0.54 0.34 1.00 0.02 0.35 0.82 0.08 0.24 0.77 0.59 0.72 0.73 0.20 0.27 0.65 0.15 0.72 0.87 0.58 0.01 0.94 0.23 0.01 0.33 0.53 0.16 0.60 0.67 0.94 0.32 0.70 0.69 0.22 0.58 0.63 0.78 0.43 0.90 0.64 0.31 0.61 0.30 0.13 0.64 0.78 0.36 0.36 0.87 0.84 0.34 0.72 0.55 0.70 0.02 0.28 0.29 0.13 0.15 0.69 0.10 ]
[0.36 0.53 0.26 0.02 1.00 0.34 0.05 0.14 0.27 0.25 0.35 0.81 0.75 0.15 0.97 0.60 0.35 0.71 0.66 0.21 0.64 0.65 0.51 0.71 0.77 0.24 0.27 0.10 0.67 0.70 0.52 0.36 0.35 0.23 0.46 0.67 0.58 0.23 0.73 0.97 0.05 0.07 0.65 0.93 0.95 0.41 0.54 0.30 0.37 0.69 0.95 0.88 0.62 0.77 0.82 0.84 0.19 0.20 0.23 0.16 0.03 ]
[0.90 0.93 0.80 0.35 0.34 1.00 0.39 0.00 0.11 0.50 0.57 0.12 0.66 0.63 0.15 0.61 0.65 0.83 0.52 0.55 0.69 0.95 0.75 0.82 0.25 0.68 0.75 0.72 0.67 0.91 0.71 0.76 0.52 0.94 0.62 0.61 0.11 0.29 0.25 0.09 0.30 0.36 0.48 0.31 0.07 0.17 0.69 0.68 0.85 0.46 0.58 0.84 0.53 0.04 0.57 0.33 0.93 0.54 0.99 0.73 0.42 ]
[0.95 0.44 0.98 0.82 0.05 0.39 1.00 0.90 0.00 0.98 0.47 0.97 0.42 0.43 0.05 0.69 0.34 0.28 0.50 0.49 0.88 0.09 0.68 0.20 0.89 0.98 0.65 0.06 0.90 0.70 0.21 0.94 0.91 0.41 0.61 0.97 0.75 0.17 0.07 0.48 0.68 0.22 0.45 0.51 0.89 0.20 0.10 0.51 0.93 0.62 0.54 0.75 0.72 0.37 0.10 0.77 0.27 0.32 0.16 0.06 0.92 ]
[0.51 0.80 0.18 0.08 0.14 0.00 0.90 1.00 0.99 0.48 0.73 0.44 0.38 0.68 0.29 0.11 0.88 0.70 0.06 0.80 0.61 0.92 0.91 0.10 0.88 0.89 0.00 0.15 0.85 0.63 0.53 0.89 0.87 0.30 0.54 0.11 0.30 0.42 0.59 0.62 0.96 0.63 0.37 0.99 0.44 0.22 0.71 0.05 0.16 0.37 0.95 0.14 0.71 0.51 0.13 0.37 0.74 0.96 0.97 0.40 0.28 ]
[0.40 0.78 0.98 0.24 0.27 0.11 0.00 0.99 1.00 0.64 0.98 0.18 0.07 0.36 0.28 0.72 0.28 0.97 0.18 0.67 0.67 0.46 0.72 0.81 0.93 0.98 0.91 0.34 0.02 0.67 0.22 0.14 0.15 0.97 0.47 0.92 0.21 0.79 0.50 0.80 0.80 0.53 0.25 0.96 0.96 0.02 0.32 0.84 0.10 0.21 0.06 0.45 0.15 0.87 0.95 0.15 0.73 0.76 0.35 0.92 0.88 ]
[0.37 0.59 0.39 0.77 0.25 0.50 0.98 0.48 0.64 1.00 0.28 0.89 0.34 0.35 0.39 0.04 0.83 0.80 0.61 0.81 0.10 0.78 0.45 0.63 0.61 0.09 0.25 0.01 0.11 0.97 0.58 0.63 0.02 0.22 0.23 0.92 0.47 0.13 0.47 0.52 0.92 0.68 0.56 0.41 0.20 0.93 0.11 0.79 0.92 0.50 0.21 0.68 0.77 0.14 0.78 0.58 0.41 0.75 0.03 0.29 0.21 ]
[0.67 0.28 0.68 0.59 0.35 0.57 0.47 0.73 0.98 0.28 1.00 0.16 0.49 0.91 0.94 0.74 0.05 0.76 0.60 0.40 0.96 0.33 0.05 0.83 0.47 0.69 0.95 0.67 0.86 0.88 0.23 0.35 0.22 0.31 0.03 0.98 0.37 0.93 0.55 0.07 0.15 0.89 0.56 0.05 0.17 0.65 0.12 0.50 0.34 0.92 0.51 0.29 0.74 0.79 0.64 0.67 0.34 0.26 0.44 0.43 0.54 ]
[0.82 0.34 0.50 0.72 0.81 0.12 0.97 0.44 0.18 0.89 0.16 1.00 0.35 0.25 0.82 0.16 0.27 0.20 0.82 0.55 0.67 0.68 0.70 0.54 0.80 0.62 0.58 0.37 0.93 0.25 0.70 0.83 0.44 0.95 0.57 0.53 0.77 0.17 0.72 0.26 0.47 0.88 0.21 0.84 0.47 0.86 0.23 0.61 0.02 0.25 0.34 0.85 0.21 0.22 0.28 0.97 0.83 0.31 0.96 0.06 0.85 ]
[0.96 0.43 0.12 0.73 0.75 0.66 0.42 0.38 0.07 0.34 0.49 0.35 1.00 0.24 0.15 0.19 0.94 0.06 0.93 0.55 0.28 0.78 0.95 0.05 0.04 0.55 0.28 0.82 0.24 0.99 0.66 0.94 0.76 0.17 0.02 0.05 0.55 0.50 0.94 0.49 0.77 0.47 0.31 0.49 0.53 0.93 0.40 0.10 0.46 0.01 0.23 0.68 0.53 0.85 0.59 0.56 0.71 0.80 0.72 0.82 0.95 ]
[0.28 0.68 0.35 0.20 0.15 0.63 0.43 0.68 0.36 0.35 0.91 0.25 0.24 1.00 0.30 0.53 0.37 0.22 0.42 0.17 0.06 0.61 0.09 0.05 0.17 0.26 0.69 0.46 0.38 0.93 0.14 0.02 0.71 0.68 0.97 0.02 0.76 0.42 0.22 0.94 0.98 0.74 0.75 0.71 0.84 0.80 0.58 0.69 0.67 0.25 0.53 0.76 0.67 0.33 0.35 0.91 0.90 0.30 0.66 0.66 0.13 ]
[0.11 0.15 0.25 0.27 0.97 0.15 0.05 0.29 0.28 0.39 0.94 0.82 0.15 0.30 1.00 0.69 1.00 0.53 0.56 0.75 0.99 0.90 0.20 0.55 0.62 0.95 0.49 0.63 0.21 0.18 0.98 0.64 0.33 0.64 0.63 0.72 0.09 0.04 0.89 0.09 0.06 0.93 0.82 0.19 0.26 0.86 0.44 0.20 0.31 0.01 0.72 0.31 0.84 0.49 0.55 0.69 0.46 0.29 0.32 0.15 0.04 ]
[0.31 0.27 0.10 0.65 0.60 0.61 0.69 0.11 0.72 0.04 0.74 0.16 0.19 0.53 0.69 1.00 0.62 0.17 0.87 0.92 0.92 0.35 0.05 0.65 0.09 0.46 0.93 0.72 0.30 0.55 0.87 0.52 0.49 0.64 0.86 0.97 0.03 0.98 0.41 0.37 0.13 0.77 0.40 0.34 0.87 0.14 0.75 0.12 0.69 0.87 0.07 0.20 0.68 0.97 0.26 0.25 0.37 0.76 0.51 0.83 0.84 ]
