D = 4;
n = [ 5 5 5 5 ];
N = 83;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.79 0.69 0.66 0.67 0.34 0.05 0.76 0.74 0.13 0.51 0.71 0.98 0.91 0.08 0.20 0.30 0.17 0.80 0.94 0.43 0.54 0.58 0.91 0.99 0.31 0.28 0.85 0.17 0.45 0.91 0.24 0.48 0.78 0.32 0.62 0.20 0.20 0.13 0.48 0.02 0.17 0.04 0.12 0.96 0.81 0.03 0.80 0.97 0.66 0.23 0.55 0.09 0.81 0.58 0.86 0.03 0.15 0.08 0.18 0.64 0.20 0.35 0.25 0.42 0.42 0.57 0.18 0.94 0.90 0.77 0.06 0.97 0.31 0.53 0.24 0.84 0.44 0.45 0.35 0.18 0.76 0.73 ]
[0.79 1.00 0.71 0.16 0.73 0.34 0.81 0.62 0.98 0.49 0.09 0.62 0.95 0.62 0.42 0.67 0.23 0.35 0.36 0.02 0.47 0.79 0.40 0.07 0.38 0.45 0.99 0.54 0.54 0.59 0.27 0.25 0.88 0.16 0.34 0.87 0.59 0.75 0.12 0.32 0.58 0.15 0.21 0.75 0.80 0.71 1.00 0.46 0.57 0.97 0.56 0.28 0.32 0.40 0.75 0.10 0.11 0.01 0.42 0.66 0.24 0.06 0.04 0.93 0.00 1.00 0.58 0.11 0.82 0.23 0.86 0.39 0.24 0.04 0.66 0.41 0.50 0.38 0.10 0.24 0.15 0.55 0.73 ]
[0.69 0.71 1.00 0.20 0.50 0.07 0.42 0.66 0.41 0.88 0.43 0.41 1.00 0.85 0.90 0.95 0.13 0.11 0.24 1.00 0.13 0.18 0.18 0.24 0.65 0.08 0.73 0.01 0.08 0.19 0.48 0.11 0.70 0.34 0.68 0.16 0.81 0.61 0.50 0.06 0.12 0.38 0.16 0.44 0.48 0.11 0.74 0.89 0.12 0.07 0.70 0.41 0.81 0.44 0.35 0.23 0.83 0.69 0.84 0.13 0.81 0.67 0.89 0.64 0.43 0.32 0.88 0.49 0.71 0.81 0.63 0.39 0.06 0.17 0.42 0.09 0.72 0.96 0.23 0.20 0.41 0.85 0.56 ]
[0.66 0.16 0.20 1.00 0.67 0.39 0.33 0.83 0.82 0.08 0.86 0.21 0.38 0.63 0.79 0.17 0.35 0.48 0.16 0.40 0.32 0.45 0.55 0.08 0.85 0.21 0.23 0.64 0.08 0.04 0.99 0.71 0.82 0.23 0.60 0.71 0.66 0.07 0.90 0.54 0.53 0.74 0.11 0.93 0.25 0.27 0.95 0.57 0.07 0.36 0.27 0.45 0.88 0.05 0.64 0.47 0.69 0.70 0.26 0.08 0.50 0.44 0.23 0.15 0.78 0.99 0.49 0.35 0.80 0.88 0.37 0.54 0.03 0.75 0.98 0.50 0.10 0.98 0.20 0.36 0.24 0.38 0.59 ]
[0.67 0.73 0.50 0.67 1.00 0.59 0.00 0.93 0.79 0.27 0.39 0.47 0.38 0.06 0.10 0.72 0.98 0.06 0.97 0.27 0.55 0.77 0.01 0.07 0.46 0.36 0.56 0.95 0.16 0.91 0.36 0.10 0.82 0.26 0.80 0.97 0.63 0.84 0.12 0.49 0.29 0.25 0.22 0.46 0.16 0.81 0.79 0.27 0.60 0.59 0.19 0.69 0.61 0.93 0.20 0.33 0.53 0.04 0.39 0.82 0.05 0.71 0.59 0.17 0.42 0.45 0.62 0.65 0.09 0.35 0.78 0.00 0.82 0.63 0.49 0.11 0.25 0.93 0.49 0.54 0.68 0.47 0.54 ]
[0.34 0.34 0.07 0.39 0.59 1.00 0.39 0.74 0.58 0.81 0.11 0.67 0.78 0.04 0.15 0.91 0.88 0.20 0.75 0.29 0.13 0.69 0.60 0.77 0.93 0.86 0.03 0.60 0.48 0.53 0.68 0.31 0.78 0.44 0.81 0.75 0.44 0.39 1.00 0.25 0.21 0.88 0.51 0.16 0.34 0.87 0.89 0.33 0.74 0.22 0.17 0.59 0.57 0.60 0.20 0.21 0.43 0.59 0.76 0.32 0.23 0.22 0.37 0.87 0.74 0.46 0.91 0.57 0.47 0.94 0.27 0.91 0.23 0.71 0.17 0.17 0.36 0.65 0.98 0.84 0.09 0.63 0.19 ]
[0.05 0.81 0.42 0.33 0.00 0.39 1.00 0.40 0.68 0.90 0.80 0.74 0.82 0.43 0.88 0.37 0.82 0.93 0.08 0.92 0.09 0.47 0.91 0.06 0.76 0.54 0.95 0.63 0.33 0.77 0.70 0.83 0.50 0.63 0.92 0.58 0.97 0.95 0.55 0.86 0.34 0.87 0.03 0.02 0.34 0.09 0.08 0.42 0.87 0.03 0.32 0.03 0.70 0.97 0.60 0.21 0.00 0.52 0.98 0.25 0.05 0.41 0.58 0.76 0.87 0.18 0.64 0.72 0.85 0.58 0.56 0.87 0.37 0.75 0.59 0.89 0.10 0.23 0.28 0.58 0.35 0.66 0.33 ]
[0.76 0.62 0.66 0.83 0.93 0.74 0.40 1.00 0.69 0.32 0.88 0.32 0.45 0.99 0.30 0.24 0.11 0.08 0.81 0.91 0.34 0.15 0.95 0.19 0.33 0.77 0.44 0.78 0.56 0.52 0.18 0.03 0.21 0.56 0.10 0.63 0.29 0.87 0.94 0.52 0.83 0.46 0.02 0.18 0.18 0.48 0.43 0.55 0.86 0.29 0.18 0.59 0.73 0.81 0.33 0.72 0.54 0.65 0.26 0.35 0.57 0.56 0.63 0.74 0.60 0.17 0.76 0.51 0.45 0.48 0.66 0.98 0.23 0.57 0.84 0.41 0.19 0.53 0.25 0.70 0.22 0.07 0.67 ]
[0.74 0.98 0.41 0.82 0.79 0.58 0.68 0.69 1.00 0.48 0.49 0.31 0.46 0.01 0.29 0.57 0.31 0.68 0.68 0.03 0.04 0.19 0.57 0.34 0.08 0.86 0.45 0.82 0.47 0.85 0.16 0.73 0.73 0.13 0.28 0.69 0.10 0.15 0.93 0.92 0.10 0.91 0.76 0.25 0.53 0.12 0.08 0.39 0.48 0.71 0.09 0.86 0.72 0.05 0.60 0.76 0.03 0.63 0.78 0.79 0.98 0.51 0.10 0.98 0.91 0.15 0.58 0.71 0.21 0.86 0.52 0.50 0.16 0.55 0.34 0.50 0.95 0.29 0.56 0.71 0.72 0.29 0.42 ]
[0.13 0.49 0.88 0.08 0.27 0.81 0.90 0.32 0.48 1.00 0.18 0.39 0.39 0.56 0.92 0.11 0.00 0.07 0.32 0.36 0.92 0.58 0.09 0.58 0.75 0.11 0.86 0.83 0.61 0.63 0.87 0.31 0.02 0.89 0.01 0.76 0.96 0.88 0.37 0.28 0.21 0.21 0.35 0.21 0.30 0.83 0.45 0.85 0.48 0.21 0.25 0.32 0.13 0.43 0.84 0.98 0.81 0.77 0.56 0.15 0.25 0.90 0.74 0.21 0.58 0.62 0.19 0.68 0.52 0.47 0.43 0.43 0.74 0.51 0.89 0.70 0.05 0.44 0.06 0.71 0.69 0.57 0.23 ]
