D = 6;
n = [ 3 3 3 3 3 3 ];
N = 39;
d = [1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 3 3 3 4 4 4 4 4 4 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.62 0.51 0.39 0.39 0.95 0.80 0.61 0.26 0.40 0.15 0.54 0.11 0.55 0.43 0.77 0.63 0.09 0.54 0.59 0.27 0.88 0.36 0.26 0.12 0.45 0.09 0.20 0.72 0.74 0.59 0.51 0.06 0.50 0.78 0.41 0.89 0.33 0.28 ]
[0.62 1.00 0.36 0.93 0.40 0.94 0.27 0.17 0.87 0.80 0.09 0.40 0.78 0.11 0.34 0.72 0.45 0.73 0.97 0.27 0.19 0.98 0.67 0.26 0.77 0.79 0.94 0.97 0.25 0.86 0.62 0.51 0.63 0.91 0.62 0.34 0.96 0.53 0.52 ]
[0.51 0.36 1.00 0.39 0.53 0.96 0.67 0.30 0.24 0.60 0.47 0.45 0.44 0.06 0.99 0.34 0.59 0.86 0.46 0.89 0.66 0.03 0.71 0.40 0.35 0.58 0.81 0.14 0.15 0.52 0.33 0.45 0.84 0.13 0.37 0.11 0.19 0.90 0.11 ]
[0.39 0.93 0.39 1.00 0.37 0.36 0.84 0.67 0.45 0.87 0.58 0.90 0.12 0.69 0.40 0.00 0.58 0.61 0.38 0.36 0.38 0.07 0.50 0.08 0.81 0.63 0.50 0.50 0.42 0.34 0.29 0.10 0.41 0.90 0.01 0.68 0.46 0.50 0.39 ]
[0.39 0.40 0.53 0.37 1.00 0.75 0.21 0.73 0.15 0.95 0.05 0.67 0.06 0.83 0.83 0.51 0.93 0.06 0.48 0.70 0.57 0.55 0.71 0.64 0.70 0.51 0.33 0.84 0.71 0.18 0.74 0.66 0.98 0.34 0.96 0.73 0.43 0.26 0.17 ]
[0.95 0.94 0.96 0.36 0.75 1.00 0.60 0.07 0.07 0.42 0.58 0.69 0.46 0.43 0.80 0.63 0.97 0.22 0.54 0.14 0.34 0.72 0.34 0.25 0.06 0.39 0.02 0.24 0.86 0.71 0.56 0.98 0.86 0.54 0.21 0.13 0.67 0.86 0.78 ]
[0.80 0.27 0.67 0.84 0.21 0.60 1.00 0.80 0.76 0.49 0.15 0.95 0.23 0.48 0.44 0.44 0.66 0.15 0.50 0.71 0.16 0.43 0.35 0.46 0.38 0.37 0.07 0.06 0.83 0.29 0.71 0.09 0.86 0.02 0.05 0.34 0.26 0.50 0.68 ]
[0.61 0.17 0.30 0.67 0.73 0.07 0.80 1.00 0.50 0.25 0.68 0.78 0.85 0.73 0.64 0.42 0.10 0.41 0.46 0.41 0.27 0.94 0.62 0.90 0.67 0.82 0.11 0.03 0.42 0.43 0.27 0.75 0.02 0.41 0.75 0.99 0.05 0.12 0.22 ]
[0.26 0.87 0.24 0.45 0.15 0.07 0.76 0.50 1.00 0.12 0.55 0.78 0.55 0.93 0.88 0.43 0.16 0.10 0.30 0.11 0.97 0.08 0.73 0.34 0.46 0.44 0.88 0.78 0.62 0.44 0.60 0.62 0.48 0.08 0.86 0.38 0.86 0.44 0.19 ]
[0.40 0.80 0.60 0.87 0.95 0.42 0.49 0.25 0.12 1.00 0.95 0.52 0.53 0.59 0.69 0.25 0.86 0.60 0.88 0.14 0.79 0.67 0.75 0.60 0.51 0.88 0.43 0.22 0.84 0.92 0.12 0.64 0.31 0.94 0.05 0.66 0.18 0.74 0.73 ]
[0.15 0.09 0.47 0.58 0.05 0.58 0.15 0.68 0.55 0.95 1.00 0.98 0.04 0.90 0.27 0.74 0.15 0.64 0.63 0.19 0.82 0.23 0.11 0.89 0.75 0.30 0.36 0.28 0.78 0.42 0.85 0.96 0.71 0.62 0.99 0.30 0.09 0.11 0.91 ]
[0.54 0.40 0.45 0.90 0.67 0.69 0.95 0.78 0.78 0.52 0.98 1.00 0.78 0.24 0.11 0.15 0.52 0.83 0.55 0.45 0.46 0.02 0.16 0.94 0.81 0.11 0.16 0.84 0.92 0.00 0.73 0.04 0.12 0.62 0.07 0.44 0.44 0.53 0.26 ]
