D = 6;
n = [ 5 5 5 5 5 5 ];
N = 78;
d = [1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 ];
m = [
[1.00 0.02 0.30 0.93 0.96 0.62 0.82 0.75 0.15 0.17 0.38 0.75 0.16 0.13 0.16 0.61 0.55 0.64 0.40 0.47 0.43 0.51 0.55 0.50 0.37 0.20 0.56 0.74 0.61 0.78 0.88 0.86 0.83 0.96 0.61 0.17 0.40 0.36 0.96 0.29 0.78 0.69 0.60 0.87 0.69 0.34 0.03 0.29 0.82 0.43 0.05 0.52 0.96 0.21 0.98 0.69 0.40 0.20 0.70 0.90 0.53 0.13 0.04 0.81 0.06 0.28 0.41 0.88 0.01 0.27 0.40 0.46 0.20 0.50 0.63 0.09 0.51 0.99 ]
[0.02 1.00 0.31 0.23 0.54 0.55 0.78 0.84 0.11 0.64 0.17 0.19 0.78 0.99 0.26 0.51 0.51 0.15 0.35 0.60 0.14 0.22 0.43 0.56 0.47 0.02 0.36 0.92 0.62 0.06 0.11 0.92 0.74 0.35 0.06 0.50 0.67 0.89 0.40 0.72 0.37 0.80 0.63 0.42 0.93 0.05 0.95 0.99 0.12 0.49 0.48 0.94 0.21 0.94 0.18 0.63 0.67 0.79 0.49 0.62 0.69 0.09 0.64 0.20 0.78 0.36 0.68 0.24 0.31 0.09 0.00 0.60 0.84 0.13 0.87 0.54 0.70 0.61 ]
[0.30 0.31 1.00 0.31 0.69 0.44 0.41 0.85 0.32 0.70 0.98 0.03 0.83 0.30 0.53 0.60 0.81 0.90 0.74 0.84 0.89 1.00 0.00 0.05 0.29 0.90 0.26 0.95 0.01 0.79 0.56 0.14 0.45 0.67 0.82 0.04 0.34 0.03 0.80 0.82 0.22 0.05 0.44 0.38 0.73 0.12 0.90 0.32 0.54 0.66 0.99 0.41 0.39 0.48 0.50 0.66 0.37 0.50 0.68 0.58 0.60 0.29 0.67 0.12 0.20 0.68 0.76 0.59 0.97 0.45 0.60 0.32 0.31 0.48 0.94 0.19 0.29 0.16 ]
[0.93 0.23 0.31 1.00 0.45 0.82 0.79 0.46 0.08 0.22 0.97 0.37 0.47 0.62 0.05 0.35 0.09 0.08 0.84 0.63 0.61 0.12 0.82 0.79 0.22 0.72 0.72 0.03 0.88 0.32 0.62 0.21 0.46 0.76 0.22 0.27 0.93 0.37 0.83 0.08 0.55 0.08 0.97 0.16 0.37 0.74 0.39 0.44 0.80 0.75 0.82 0.84 0.12 0.88 0.43 0.30 0.77 0.41 0.26 0.27 0.85 0.84 0.57 0.47 0.75 0.55 0.96 0.51 0.03 0.42 0.91 0.12 0.89 0.90 0.02 0.90 0.82 0.47 ]
[0.96 0.54 0.69 0.45 1.00 0.62 0.88 0.43 0.08 0.15 0.18 0.24 0.56 0.32 0.59 0.62 0.73 0.26 0.65 0.64 0.67 0.56 0.28 0.56 0.41 0.78 0.79 0.85 0.26 0.91 0.40 0.66 0.92 0.31 0.83 0.97 0.52 0.73 0.76 0.76 0.19 0.49 0.82 0.73 0.95 0.19 0.56 0.87 0.86 0.26 0.97 0.97 0.50 0.43 0.89 0.52 0.89 0.99 0.49 0.55 0.51 0.78 0.86 0.07 0.35 0.49 0.97 0.52 0.25 0.88 0.46 0.57 0.94 0.14 0.63 0.14 1.00 0.98 ]
[0.62 0.55 0.44 0.82 0.62 1.00 0.67 0.13 0.22 0.79 0.20 0.03 0.37 0.55 0.31 0.99 0.92 0.06 0.90 0.17 0.22 0.83 0.85 0.47 0.97 0.71 0.28 0.91 0.75 0.56 0.50 0.67 0.20 0.88 0.07 0.80 0.34 0.07 0.83 0.96 0.89 0.95 0.34 0.75 0.01 0.37 0.65 0.17 0.15 0.01 0.98 0.94 0.99 0.65 0.12 0.09 0.28 0.21 0.89 0.95 0.88 0.34 0.49 0.30 0.22 0.61 0.64 0.64 0.63 0.77 0.68 0.57 0.79 0.15 0.42 0.17 0.32 0.29 ]
[0.82 0.78 0.41 0.79 0.88 0.67 1.00 0.27 0.83 0.62 0.39 0.24 0.93 0.12 0.98 0.03 0.75 0.35 0.17 0.82 0.93 0.67 0.30 0.70 0.70 0.61 0.03 0.99 0.89 0.14 0.82 0.20 0.21 0.11 0.81 0.65 0.90 0.01 0.30 0.55 0.25 0.33 0.72 0.45 0.94 0.41 0.47 0.25 0.59 0.86 0.71 0.36 0.77 0.06 0.07 0.14 0.37 0.50 0.24 0.87 0.35 0.17 0.90 0.76 0.60 0.77 0.06 0.17 0.58 0.13 0.89 0.17 0.02 0.88 0.77 0.32 0.05 0.73 ]
[0.75 0.84 0.85 0.46 0.43 0.13 0.27 1.00 0.57 0.26 0.54 0.92 0.54 1.00 0.62 0.31 0.20 0.31 0.10 0.69 0.03 0.87 0.58 0.10 0.48 0.98 0.80 0.55 0.84 0.65 0.17 0.60 0.30 0.37 0.05 0.43 0.40 0.60 0.97 0.60 0.56 0.72 0.62 0.88 0.39 0.58 0.04 0.88 0.76 0.33 0.57 0.89 0.15 0.28 0.65 0.90 0.16 0.83 0.10 0.49 0.40 0.59 0.45 0.19 0.28 0.87 0.06 0.63 0.52 0.37 0.89 0.89 0.37 0.78 0.13 0.85 0.88 0.49 ]
[0.15 0.11 0.32 0.08 0.08 0.22 0.83 0.57 1.00 0.38 0.55 0.19 0.26 0.69 0.49 0.72 0.98 0.41 0.16 0.70 0.31 0.65 0.94 0.94 0.50 0.28 0.45 0.33 0.19 0.43 0.44 0.62 0.95 0.42 0.41 0.95 0.10 0.44 0.77 0.37 0.64 0.57 0.41 0.62 0.93 0.98 0.96 0.16 0.18 0.42 0.37 0.78 0.23 0.27 0.92 0.06 0.10 0.48 0.62 0.27 0.39 0.05 0.14 0.33 0.34 0.10 0.70 0.16 0.63 0.39 0.05 0.71 0.45 0.86 0.88 0.09 0.20 0.20 ]
[0.17 0.64 0.70 0.22 0.15 0.79 0.62 0.26 0.38 1.00 0.89 0.01 0.47 0.78 0.99 0.68 0.38 0.47 0.70 0.79 0.28 0.77 0.65 0.06 0.48 0.40 0.45 0.94 0.68 0.85 0.46 0.36 0.79 0.14 0.18 0.66 0.39 0.88 0.66 0.89 0.46 0.01 0.70 0.04 0.40 0.53 0.28 0.88 0.33 0.02 0.29 0.32 0.86 0.98 0.68 0.24 0.61 0.93 0.58 0.62 0.44 0.99 0.11 0.03 0.30 0.25 0.81 0.55 0.44 0.25 0.08 0.56 0.32 0.42 0.18 0.29 0.55 0.36 ]
