D = 6;
n = [ 2 2 2 2 2 2 ];
N = 13;
d = [1 1 2 2 3 3 4 4 5 5 6 6 6 ];
m = [
[1.00 0.51 0.94 0.16 0.98 0.48 0.93 0.40 0.56 0.06 0.41 0.90 0.09 ]
[0.51 1.00 0.12 0.71 0.53 0.83 1.00 0.68 0.01 0.37 0.44 0.22 1.00 ]
[0.94 0.12 1.00 0.73 0.88 0.31 0.21 0.84 0.74 0.66 0.10 0.55 0.21 ]
[0.16 0.71 0.73 1.00 0.54 0.13 0.25 0.28 0.67 0.40 0.45 0.98 0.69 ]
[0.98 0.53 0.88 0.54 1.00 0.26 0.94 0.59 0.31 0.44 0.69 0.26 0.13 ]
[0.48 0.83 0.31 0.13 0.26 1.00 0.18 0.89 0.41 0.99 0.60 0.74 0.80 ]
[0.93 1.00 0.21 0.25 0.94 0.18 1.00 0.42 0.85 0.43 0.80 0.07 0.04 ]
[0.40 0.68 0.84 0.28 0.59 0.89 0.42 1.00 0.71 0.68 0.78 0.70 0.57 ]
[0.56 0.01 0.74 0.67 0.31 0.41 0.85 0.71 1.00 0.62 0.30 0.77 0.32 ]
[0.06 0.37 0.66 0.40 0.44 0.99 0.43 0.68 0.62 1.00 0.98 0.15 0.99 ]
[0.41 0.44 0.10 0.45 0.69 0.60 0.80 0.78 0.30 0.98 1.00 0.67 0.33 ]
[0.90 0.22 0.55 0.98 0.26 0.74 0.07 0.70 0.77 0.15 0.67 1.00 0.80 ]
[0.09 1.00 0.21 0.69 0.13 0.80 0.04 0.57 0.32 0.99 0.33 0.80 1.00 ]
];
