D = 6;
n = [ 2 2 2 2 2 2 ];
N = 17;
d = [1 1 2 2 3 3 4 4 5 5 6 6 6 6 6 6 6 ];
m = [
[1.00 0.52 0.66 0.82 0.67 0.21 0.42 0.76 0.56 0.32 0.16 0.50 0.05 0.11 0.16 0.63 0.95 ]
[0.52 1.00 0.12 0.25 0.57 0.84 0.70 0.32 0.04 0.60 0.86 0.34 0.21 0.67 0.52 0.54 0.85 ]
[0.66 0.12 1.00 0.05 0.46 0.42 0.20 0.90 0.79 0.19 0.44 0.49 0.74 0.04 0.61 0.03 0.42 ]
[0.82 0.25 0.05 1.00 0.86 0.06 0.67 0.59 0.41 0.16 0.26 0.82 0.27 0.25 0.62 0.07 0.58 ]
[0.67 0.57 0.46 0.86 1.00 0.72 0.56 0.62 0.73 0.49 0.37 0.23 0.08 0.66 0.69 0.23 0.16 ]
[0.21 0.84 0.42 0.06 0.72 1.00 0.39 0.75 0.26 0.92 0.84 0.31 0.44 0.32 0.87 0.09 0.27 ]
[0.42 0.70 0.20 0.67 0.56 0.39 1.00 0.21 0.02 0.08 0.17 0.08 0.59 0.44 0.25 0.63 0.59 ]
[0.76 0.32 0.90 0.59 0.62 0.75 0.21 1.00 0.48 0.85 0.73 0.21 0.30 0.55 0.48 0.06 0.76 ]
[0.56 0.04 0.79 0.41 0.73 0.26 0.02 0.48 1.00 0.41 0.51 0.40 0.27 0.03 0.13 0.38 0.07 ]
[0.32 0.60 0.19 0.16 0.49 0.92 0.08 0.85 0.41 1.00 0.54 0.45 0.84 0.34 0.54 0.56 0.33 ]
[0.16 0.86 0.44 0.26 0.37 0.84 0.17 0.73 0.51 0.54 1.00 0.41 0.89 0.95 0.82 0.18 0.39 ]
[0.50 0.34 0.49 0.82 0.23 0.31 0.08 0.21 0.40 0.45 0.41 1.00 0.37 0.11 0.92 0.24 0.50 ]
[0.05 0.21 0.74 0.27 0.08 0.44 0.59 0.30 0.27 0.84 0.89 0.37 1.00 0.90 0.93 0.40 0.50 ]
[0.11 0.67 0.04 0.25 0.66 0.32 0.44 0.55 0.03 0.34 0.95 0.11 0.90 1.00 0.28 0.34 0.93 ]
[0.16 0.52 0.61 0.62 0.69 0.87 0.25 0.48 0.13 0.54 0.82 0.92 0.93 0.28 1.00 0.12 0.70 ]
[0.63 0.54 0.03 0.07 0.23 0.09 0.63 0.06 0.38 0.56 0.18 0.24 0.40 0.34 0.12 1.00 0.20 ]
[0.95 0.85 0.42 0.58 0.16 0.27 0.59 0.76 0.07 0.33 0.39 0.50 0.50 0.93 0.70 0.20 1.00 ]
];
