D = 4;
n = [ 3 3 3 3 ];
N = 49;
d = [1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.36 0.58 0.80 0.05 0.64 0.98 0.45 0.94 0.57 0.79 0.31 0.57 0.09 0.76 0.09 0.57 0.09 0.12 0.40 0.63 0.58 0.35 0.79 0.16 0.39 0.41 0.92 0.48 0.23 0.52 0.83 0.76 0.15 0.70 0.62 0.15 0.10 0.77 0.25 0.96 0.06 0.42 0.87 0.62 0.73 0.18 0.21 0.52 ]
[0.36 1.00 0.55 0.90 0.24 0.11 0.82 0.10 0.69 0.63 0.64 0.39 0.45 0.24 0.72 0.68 0.82 0.74 0.94 0.58 0.58 0.30 0.12 0.53 0.61 0.91 0.24 0.79 0.33 0.80 0.16 0.74 0.20 0.03 0.50 0.18 0.76 0.66 0.14 0.04 0.54 0.17 0.50 0.06 0.48 0.55 0.39 0.23 0.35 ]
[0.58 0.55 1.00 0.26 0.04 0.22 0.12 0.06 0.59 0.60 0.08 0.58 0.47 0.23 0.65 0.39 0.44 0.58 0.61 0.83 0.76 1.00 0.57 0.31 0.04 0.30 0.20 0.41 0.26 0.78 0.74 0.27 0.21 0.79 0.59 0.03 0.59 0.19 0.50 0.05 0.70 0.09 0.85 0.88 0.17 0.85 0.21 0.30 0.72 ]
[0.80 0.90 0.26 1.00 0.64 0.04 0.53 0.72 0.39 0.78 0.51 0.90 0.84 0.73 0.28 0.52 0.95 0.46 0.46 0.88 0.25 0.35 0.57 0.78 0.25 0.96 0.81 0.72 0.67 0.39 0.13 0.25 0.28 0.98 0.44 0.44 0.70 0.27 0.01 0.73 0.23 0.72 0.88 0.12 0.58 0.07 0.04 0.52 0.54 ]
[0.05 0.24 0.04 0.64 1.00 0.31 0.11 0.36 0.13 0.47 0.97 0.98 0.68 0.82 0.91 0.02 0.99 0.27 0.45 0.43 0.59 0.10 0.54 0.41 0.64 0.71 0.38 0.80 0.02 0.53 0.98 0.75 0.00 0.38 0.37 0.34 0.28 0.93 0.03 0.68 0.80 0.49 0.44 0.49 0.44 0.79 0.40 0.52 0.61 ]
[0.64 0.11 0.22 0.04 0.31 1.00 0.67 0.55 0.92 0.30 0.66 0.56 0.08 0.25 0.11 0.34 0.35 0.73 0.98 0.59 0.38 0.91 0.22 0.97 0.80 0.83 0.35 0.30 0.65 0.03 0.09 0.61 0.73 0.17 0.38 0.78 0.52 0.33 0.88 0.96 0.87 0.48 0.98 0.26 0.93 0.65 0.57 0.16 0.33 ]
[0.98 0.82 0.12 0.53 0.11 0.67 1.00 0.10 0.95 0.91 0.08 0.88 0.05 0.72 0.23 0.15 0.66 0.95 0.32 0.67 0.42 0.65 0.97 0.80 0.85 0.86 0.09 0.81 0.67 0.04 0.10 0.75 0.41 0.59 0.74 0.49 0.77 0.16 0.89 0.24 0.44 0.77 0.72 0.33 0.75 0.47 0.62 0.09 0.74 ]
[0.45 0.10 0.06 0.72 0.36 0.55 0.10 1.00 0.27 0.16 0.95 0.98 0.76 0.43 0.60 0.04 0.33 0.15 0.59 0.90 0.47 0.27 0.12 0.87 0.89 0.88 0.67 0.93 0.14 0.30 0.88 0.70 0.87 0.32 0.65 0.93 0.87 0.90 0.42 0.21 0.90 0.73 0.89 0.87 0.03 0.79 0.03 0.12 0.51 ]
[0.94 0.69 0.59 0.39 0.13 0.92 0.95 0.27 1.00 0.49 0.65 0.84 0.59 0.40 0.06 0.14 0.11 0.11 0.88 0.94 0.19 0.61 0.99 0.18 0.44 0.75 0.66 0.03 0.22 0.90 0.05 0.56 0.05 0.18 0.78 0.29 0.98 0.26 0.63 0.92 0.02 0.79 0.00 0.68 0.32 0.51 0.03 0.23 0.62 ]
[0.57 0.63 0.60 0.78 0.47 0.30 0.91 0.16 0.49 1.00 0.79 0.29 0.97 0.44 0.29 0.96 0.47 0.16 0.82 0.84 0.10 0.50 0.01 0.22 0.82 0.32 0.37 0.35 0.11 0.28 0.49 0.87 0.99 0.89 0.14 0.16 0.22 0.18 0.76 1.00 0.59 0.42 0.60 0.20 0.08 0.00 0.51 0.14 0.50 ]
