D = 6;
n = [ 2 2 2 2 2 2 ];
N = 12;
d = [1 1 2 2 3 3 4 4 5 5 6 6 ];
m = [
[1.00 0.05 0.57 0.90 0.86 0.57 0.10 0.76 0.21 0.57 0.81 0.28 ]
[0.05 1.00 0.92 0.19 0.95 0.48 0.70 0.53 0.34 0.45 0.48 0.57 ]
[0.57 0.92 1.00 0.95 0.64 0.34 0.14 0.26 0.91 0.27 0.40 0.55 ]
[0.90 0.19 0.95 1.00 0.15 0.07 0.87 0.36 0.21 0.07 0.50 0.39 ]
[0.86 0.95 0.64 0.15 1.00 0.78 0.43 0.56 0.66 0.11 0.91 0.11 ]
[0.57 0.48 0.34 0.07 0.78 1.00 0.43 0.85 0.79 0.97 0.55 0.20 ]
[0.10 0.70 0.14 0.87 0.43 0.43 1.00 0.16 0.06 0.62 0.03 0.95 ]
[0.76 0.53 0.26 0.36 0.56 0.85 0.16 1.00 0.18 0.36 0.08 0.58 ]
[0.21 0.34 0.91 0.21 0.66 0.79 0.06 0.18 1.00 0.32 0.09 0.11 ]
[0.57 0.45 0.27 0.07 0.11 0.97 0.62 0.36 0.32 1.00 0.87 0.15 ]
[0.81 0.48 0.40 0.50 0.91 0.55 0.03 0.08 0.09 0.87 1.00 0.06 ]
[0.28 0.57 0.55 0.39 0.11 0.20 0.95 0.58 0.11 0.15 0.06 1.00 ]
];
