D = 4;
n = [ 2 2 2 2 ];
N = 34;
d = [1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 ];
m = [
[1.00 0.11 0.92 0.98 0.52 0.01 0.43 0.28 0.49 0.97 0.52 0.47 0.65 0.74 0.50 0.86 0.91 0.64 0.19 0.06 0.86 0.39 0.94 0.47 0.09 0.02 0.13 0.42 0.74 0.53 0.07 0.29 0.25 0.33 ]
[0.11 1.00 0.74 0.70 0.04 0.87 0.02 0.43 0.46 0.04 0.55 0.41 0.11 0.33 0.42 0.96 0.24 0.84 0.79 0.90 0.40 0.21 0.09 0.90 0.46 0.72 0.70 0.97 0.20 0.69 0.52 0.11 0.51 0.03 ]
[0.92 0.74 1.00 0.97 0.04 0.58 0.02 0.30 0.06 0.94 0.58 0.98 0.50 0.28 0.50 0.41 0.77 0.95 0.89 0.84 0.83 0.88 0.98 0.38 0.46 0.94 0.06 0.62 0.73 0.07 0.10 0.36 0.49 0.72 ]
[0.98 0.70 0.97 1.00 0.85 0.05 0.35 0.65 0.49 0.08 0.02 0.92 0.30 0.14 0.54 0.46 0.09 0.34 0.50 0.68 0.58 0.78 0.64 0.73 0.04 0.05 0.20 0.71 0.51 0.82 0.84 0.23 0.96 0.15 ]
[0.52 0.04 0.04 0.85 1.00 0.20 0.68 0.93 0.90 0.07 0.54 0.58 0.86 0.58 0.92 0.48 0.06 0.89 0.10 0.85 0.69 0.81 0.02 0.04 0.78 0.83 0.67 0.94 0.35 0.26 0.18 0.73 0.11 0.80 ]
[0.01 0.87 0.58 0.05 0.20 1.00 0.95 0.47 0.54 0.37 0.29 0.52 0.36 0.22 0.41 0.09 0.24 0.76 0.05 0.92 0.87 0.43 0.84 0.90 0.35 0.43 0.31 0.59 0.95 0.90 0.27 0.40 0.53 0.85 ]
[0.43 0.02 0.02 0.35 0.68 0.95 1.00 0.97 0.53 0.48 0.20 0.13 0.18 0.86 0.40 0.32 0.32 0.20 0.10 0.28 0.96 0.43 0.49 0.91 0.61 0.14 0.25 0.37 0.44 0.40 0.23 0.59 0.85 0.33 ]
[0.28 0.43 0.30 0.65 0.93 0.47 0.97 1.00 0.69 0.67 0.90 0.03 0.45 0.30 0.02 0.97 0.40 0.91 0.24 0.02 0.80 0.61 0.63 0.91 0.88 0.12 0.33 0.95 0.45 0.51 0.75 0.91 0.84 0.93 ]
[0.49 0.46 0.06 0.49 0.90 0.54 0.53 0.69 1.00 0.40 0.56 0.19 0.92 0.91 0.30 0.86 0.45 0.28 0.22 0.03 0.58 0.26 0.42 0.15 0.50 0.70 0.78 0.46 0.26 0.63 0.54 0.30 0.17 0.82 ]
[0.97 0.04 0.94 0.08 0.07 0.37 0.48 0.67 0.40 1.00 0.01 0.70 0.62 0.26 0.47 0.54 0.34 0.08 0.29 0.58 0.92 0.08 0.48 0.48 0.24 0.59 0.76 0.74 0.72 0.89 0.75 0.95 0.29 0.48 ]
[0.52 0.55 0.58 0.02 0.54 0.29 0.20 0.90 0.56 0.01 1.00 0.48 0.07 0.01 0.41 0.72 0.30 0.96 0.44 0.18 0.02 0.49 0.42 0.52 0.79 0.41 0.84 0.74 0.68 0.19 0.34 0.66 0.66 0.92 ]
[0.47 0.41 0.98 0.92 0.58 0.52 0.13 0.03 0.19 0.70 0.48 1.00 0.37 0.07 0.80 0.92 0.11 0.84 0.43 0.00 0.10 0.14 0.76 0.22 0.31 0.58 0.42 0.41 0.94 0.58 0.37 0.75 0.81 0.45 ]
[0.65 0.11 0.50 0.30 0.86 0.36 0.18 0.45 0.92 0.62 0.07 0.37 1.00 0.86 0.79 0.73 0.76 0.62 0.39 0.76 0.10 0.23 0.53 0.79 0.58 0.39 0.98 0.87 0.31 0.59 0.01 0.68 0.94 0.37 ]
[0.74 0.33 0.28 0.14 0.58 0.22 0.86 0.30 0.91 0.26 0.01 0.07 0.86 1.00 0.36 0.32 0.31 0.25 0.76 0.49 0.04 0.01 0.82 0.51 0.98 0.53 0.97 0.42 0.46 0.68 0.16 0.22 0.91 0.68 ]
[0.50 0.42 0.50 0.54 0.92 0.41 0.40 0.02 0.30 0.47 0.41 0.80 0.79 0.36 1.00 0.36 0.40 0.29 0.91 0.93 0.03 0.30 0.87 0.38 0.29 0.72 0.77 0.27 0.15 0.59 0.53 0.96 0.71 0.89 ]
[0.86 0.96 0.41 0.46 0.48 0.09 0.32 0.97 0.86 0.54 0.72 0.92 0.73 0.32 0.36 1.00 0.51 0.51 0.71 0.91 0.55 0.98 0.99 0.34 0.98 0.40 0.84 0.41 0.04 0.40 0.19 0.88 0.76 0.62 ]
[0.91 0.24 0.77 0.09 0.06 0.24 0.32 0.40 0.45 0.34 0.30 0.11 0.76 0.31 0.40 0.51 1.00 0.61 0.57 0.07 0.79 0.33 0.20 0.30 0.38 0.88 0.58 0.23 0.22 0.21 0.67 0.65 0.37 0.86 ]
[0.64 0.84 0.95 0.34 0.89 0.76 0.20 0.91 0.28 0.08 0.96 0.84 0.62 0.25 0.29 0.51 0.61 1.00 0.71 1.00 0.51 0.21 0.26 0.50 0.88 0.31 0.22 0.09 0.87 0.33 0.00 0.96 0.38 0.89 ]
[0.19 0.79 0.89 0.50 0.10 0.05 0.10 0.24 0.22 0.29 0.44 0.43 0.39 0.76 0.91 0.71 0.57 0.71 1.00 0.95 0.87 0.34 0.87 0.90 0.05 0.22 0.07 0.81 0.66 0.06 0.04 0.39 0.69 0.31 ]
[0.06 0.90 0.84 0.68 0.85 0.92 0.28 0.02 0.03 0.58 0.18 0.00 0.76 0.49 0.93 0.91 0.07 1.00 0.95 1.00 0.05 0.19 0.37 0.94 0.89 0.67 0.83 0.65 0.40 0.64 0.10 0.84 0.08 0.88 ]
[0.86 0.40 0.83 0.58 0.69 0.87 0.96 0.80 0.58 0.92 0.02 0.10 0.10 0.04 0.03 0.55 0.79 0.51 0.87 0.05 1.00 0.96 0.35 0.90 0.71 0.33 0.65 0.81 0.26 0.23 0.52 0.14 0.14 0.60 ]
[0.39 0.21 0.88 0.78 0.81 0.43 0.43 0.61 0.26 0.08 0.49 0.14 0.23 0.01 0.30 0.98 0.33 0.21 0.34 0.19 0.96 1.00 0.01 0.10 0.05 0.79 0.14 0.49 0.79 0.82 0.75 0.95 0.44 0.28 ]
[0.94 0.09 0.98 0.64 0.02 0.84 0.49 0.63 0.42 0.48 0.42 0.76 0.53 0.82 0.87 0.99 0.20 0.26 0.87 0.37 0.35 0.01 1.00 0.95 0.36 0.52 0.59 0.43 0.58 0.97 0.22 0.20 0.04 1.00 ]
[0.47 0.90 0.38 0.73 0.04 0.90 0.91 0.91 0.15 0.48 0.52 0.22 0.79 0.51 0.38 0.34 0.30 0.50 0.90 0.94 0.90 0.10 0.95 1.00 0.93 0.63 0.73 0.24 0.58 0.17 0.77 0.89 0.99 0.98 ]
[0.09 0.46 0.46 0.04 0.78 0.35 0.61 0.88 0.50 0.24 0.79 0.31 0.58 0.98 0.29 0.98 0.38 0.88 0.05 0.89 0.71 0.05 0.36 0.93 1.00 0.61 0.22 0.55 0.26 0.96 0.30 0.10 0.85 0.60 ]
[0.02 0.72 0.94 0.05 0.83 0.43 0.14 0.12 0.70 0.59 0.41 0.58 0.39 0.53 0.72 0.40 0.88 0.31 0.22 0.67 0.33 0.79 0.52 0.63 0.61 1.00 0.05 0.82 0.70 0.33 0.28 0.76 0.55 0.22 ]
[0.13 0.70 0.06 0.20 0.67 0.31 0.25 0.33 0.78 0.76 0.84 0.42 0.98 0.97 0.77 0.84 0.58 0.22 0.07 0.83 0.65 0.14 0.59 0.73 0.22 0.05 1.00 0.00 0.25 0.83 0.76 0.54 0.66 0.08 ]
[0.42 0.97 0.62 0.71 0.94 0.59 0.37 0.95 0.46 0.74 0.74 0.41 0.87 0.42 0.27 0.41 0.23 0.09 0.81 0.65 0.81 0.49 0.43 0.24 0.55 0.82 0.00 1.00 0.23 0.20 0.75 0.54 0.98 0.25 ]
[0.74 0.20 0.73 0.51 0.35 0.95 0.44 0.45 0.26 0.72 0.68 0.94 0.31 0.46 0.15 0.04 0.22 0.87 0.66 0.40 0.26 0.79 0.58 0.58 0.26 0.70 0.25 0.23 1.00 0.91 0.73 0.92 0.04 0.64 ]
[0.53 0.69 0.07 0.82 0.26 0.90 0.40 0.51 0.63 0.89 0.19 0.58 0.59 0.68 0.59 0.40 0.21 0.33 0.06 0.64 0.23 0.82 0.97 0.17 0.96 0.33 0.83 0.20 0.91 1.00 0.52 0.57 0.32 0.69 ]
[0.07 0.52 0.10 0.84 0.18 0.27 0.23 0.75 0.54 0.75 0.34 0.37 0.01 0.16 0.53 0.19 0.67 0.00 0.04 0.10 0.52 0.75 0.22 0.77 0.30 0.28 0.76 0.75 0.73 0.52 1.00 0.61 0.96 0.59 ]
