D = 6;
n = [ 3 3 3 3 3 3 ];
N = 25;
d = [1 1 1 1 2 2 2 2 3 3 3 3 4 4 4 4 5 5 5 5 6 6 6 6 6 ];
m = [
[1.00 0.56 0.50 0.66 0.40 0.86 0.83 0.54 0.71 0.97 0.43 0.73 0.91 0.65 0.87 0.70 0.14 0.42 0.38 0.62 0.43 0.37 0.85 0.68 0.45 ]
[0.56 1.00 0.40 0.57 0.80 0.88 0.83 0.57 0.32 0.08 0.90 0.02 0.31 0.46 0.93 0.43 0.04 0.30 0.55 0.85 0.46 0.07 0.79 0.04 0.89 ]
[0.50 0.40 1.00 0.88 0.69 0.29 0.09 0.58 0.43 0.66 0.74 0.35 0.45 0.73 0.24 0.46 0.74 0.02 0.37 0.09 0.26 0.04 0.24 0.37 0.34 ]
[0.66 0.57 0.88 1.00 0.33 0.18 0.41 0.48 0.24 0.85 0.70 0.31 0.44 0.28 0.74 0.47 0.73 0.24 0.63 0.58 0.21 0.22 0.24 0.52 0.62 ]
[0.40 0.80 0.69 0.33 1.00 0.78 0.91 0.16 0.18 0.59 0.34 0.49 0.45 0.02 0.36 0.97 0.65 0.75 0.02 0.66 0.87 0.21 0.51 0.66 0.43 ]
[0.86 0.88 0.29 0.18 0.78 1.00 0.12 0.92 0.62 0.46 0.71 0.72 0.09 0.66 0.23 0.15 0.55 0.51 0.85 0.67 0.45 0.83 0.64 0.40 0.95 ]
[0.83 0.83 0.09 0.41 0.91 0.12 1.00 0.30 0.82 0.46 0.10 0.04 0.18 0.43 0.22 0.81 0.68 0.82 0.24 0.50 0.02 0.16 0.27 0.60 0.38 ]
[0.54 0.57 0.58 0.48 0.16 0.92 0.30 1.00 0.84 0.18 0.41 0.32 0.14 0.13 0.42 0.90 0.78 0.05 0.26 0.22 0.51 0.25 0.98 0.09 0.36 ]
[0.71 0.32 0.43 0.24 0.18 0.62 0.82 0.84 1.00 0.62 0.53 0.16 0.02 0.57 0.18 0.83 0.53 0.31 0.09 0.14 0.57 0.01 0.05 0.16 0.66 ]
[0.97 0.08 0.66 0.85 0.59 0.46 0.46 0.18 0.62 1.00 0.35 0.20 0.50 0.61 0.86 0.02 0.38 0.50 0.28 0.95 0.89 0.55 0.41 0.56 0.04 ]
[0.43 0.90 0.74 0.70 0.34 0.71 0.10 0.41 0.53 0.35 1.00 0.70 0.69 0.42 0.77 0.72 0.56 0.43 0.53 0.30 0.34 0.33 0.79 0.19 0.32 ]
[0.73 0.02 0.35 0.31 0.49 0.72 0.04 0.32 0.16 0.20 0.70 1.00 0.54 0.29 0.26 0.94 0.73 0.97 0.91 0.09 0.75 0.60 0.24 0.77 0.59 ]
[0.91 0.31 0.45 0.44 0.45 0.09 0.18 0.14 0.02 0.50 0.69 0.54 1.00 0.32 0.92 0.03 0.42 0.68 0.47 0.99 0.79 0.17 0.67 0.07 0.17 ]
[0.65 0.46 0.73 0.28 0.02 0.66 0.43 0.13 0.57 0.61 0.42 0.29 0.32 1.00 0.32 0.68 0.53 0.01 0.81 0.96 0.72 0.36 0.03 0.97 0.99 ]
[0.87 0.93 0.24 0.74 0.36 0.23 0.22 0.42 0.18 0.86 0.77 0.26 0.92 0.32 1.00 0.81 0.36 0.76 0.56 0.88 0.84 0.56 0.57 0.83 0.02 ]
[0.70 0.43 0.46 0.47 0.97 0.15 0.81 0.90 0.83 0.02 0.72 0.94 0.03 0.68 0.81 1.00 0.00 0.30 0.45 0.50 0.12 0.78 0.07 0.42 0.81 ]
[0.14 0.04 0.74 0.73 0.65 0.55 0.68 0.78 0.53 0.38 0.56 0.73 0.42 0.53 0.36 0.00 1.00 0.90 0.62 0.83 0.63 0.55 0.11 0.29 0.40 ]
[0.42 0.30 0.02 0.24 0.75 0.51 0.82 0.05 0.31 0.50 0.43 0.97 0.68 0.01 0.76 0.30 0.90 1.00 0.49 0.42 0.88 0.78 0.02 0.84 0.55 ]
[0.38 0.55 0.37 0.63 0.02 0.85 0.24 0.26 0.09 0.28 0.53 0.91 0.47 0.81 0.56 0.45 0.62 0.49 1.00 0.34 0.05 0.09 0.36 1.00 0.75 ]
[0.62 0.85 0.09 0.58 0.66 0.67 0.50 0.22 0.14 0.95 0.30 0.09 0.99 0.96 0.88 0.50 0.83 0.42 0.34 1.00 0.33 0.19 0.20 0.50 0.05 ]
[0.43 0.46 0.26 0.21 0.87 0.45 0.02 0.51 0.57 0.89 0.34 0.75 0.79 0.72 0.84 0.12 0.63 0.88 0.05 0.33 1.00 0.61 0.44 0.65 0.54 ]
[0.37 0.07 0.04 0.22 0.21 0.83 0.16 0.25 0.01 0.55 0.33 0.60 0.17 0.36 0.56 0.78 0.55 0.78 0.09 0.19 0.61 1.00 0.33 0.16 0.57 ]
[0.85 0.79 0.24 0.24 0.51 0.64 0.27 0.98 0.05 0.41 0.79 0.24 0.67 0.03 0.57 0.07 0.11 0.02 0.36 0.20 0.44 0.33 1.00 0.20 0.92 ]
[0.68 0.04 0.37 0.52 0.66 0.40 0.60 0.09 0.16 0.56 0.19 0.77 0.07 0.97 0.83 0.42 0.29 0.84 1.00 0.50 0.65 0.16 0.20 1.00 0.72 ]
[0.45 0.89 0.34 0.62 0.43 0.95 0.38 0.36 0.66 0.04 0.32 0.59 0.17 0.99 0.02 0.81 0.40 0.55 0.75 0.05 0.54 0.57 0.92 0.72 1.00 ]
];
