D = 4;
n = [ 2 2 2 2 ];
N = 11;
d = [1 1 2 2 3 3 4 4 4 4 4 ];
m = [
[1.00 0.27 0.54 0.26 0.32 0.19 0.78 0.71 0.94 0.63 0.36 ]
[0.27 1.00 0.88 0.63 0.83 0.46 0.37 0.76 0.94 0.70 0.92 ]
[0.54 0.88 1.00 0.65 0.06 0.23 0.97 0.09 0.16 0.54 0.57 ]
[0.26 0.63 0.65 1.00 0.10 0.35 0.43 0.76 0.67 0.27 0.97 ]
[0.32 0.83 0.06 0.10 1.00 0.20 0.58 0.38 0.72 0.00 0.16 ]
[0.19 0.46 0.23 0.35 0.20 1.00 0.87 0.68 0.36 0.68 0.35 ]
[0.78 0.37 0.97 0.43 0.58 0.87 1.00 0.06 0.94 0.82 0.39 ]
[0.71 0.76 0.09 0.76 0.38 0.68 0.06 1.00 0.19 0.01 0.38 ]
[0.94 0.94 0.16 0.67 0.72 0.36 0.94 0.19 1.00 0.26 0.00 ]
[0.63 0.70 0.54 0.27 0.00 0.68 0.82 0.01 0.26 1.00 0.83 ]
[0.36 0.92 0.57 0.97 0.16 0.35 0.39 0.38 0.00 0.83 1.00 ]
];
