D = 2;
n = [ 3 3 ];
N = 10;
d = [1 1 1 1 1 2 2 2 2 2 ];
m = [
[1.00 0.27 0.91 0.41 0.42 0.55 0.42 0.13 0.38 0.84 ]
[0.27 1.00 0.25 0.76 0.39 0.10 0.66 0.82 0.11 0.64 ]
[0.91 0.25 1.00 0.08 0.29 0.74 0.86 0.13 0.44 0.08 ]
[0.41 0.76 0.08 1.00 0.93 0.50 0.46 0.60 0.56 0.11 ]
[0.42 0.39 0.29 0.93 1.00 0.04 0.77 0.56 0.77 0.81 ]
[0.55 0.10 0.74 0.50 0.04 1.00 0.41 0.08 0.23 0.97 ]
[0.42 0.66 0.86 0.46 0.77 0.41 1.00 0.49 0.39 0.53 ]
[0.13 0.82 0.13 0.60 0.56 0.08 0.49 1.00 0.56 0.07 ]
[0.38 0.11 0.44 0.56 0.77 0.23 0.39 0.56 1.00 0.47 ]
[0.84 0.64 0.08 0.11 0.81 0.97 0.53 0.07 0.47 1.00 ]
];
