D = 2;
n = [ 1 1 ];
N = 10;
d = [1 1 1 1 1 2 2 2 2 2 ];
m = [
[1.00 0.57 0.63 0.64 0.98 0.13 0.81 0.11 0.93 0.50 ]
[0.57 1.00 0.92 0.10 0.01 0.88 0.53 0.53 0.52 0.19 ]
[0.63 0.92 1.00 0.06 0.76 0.49 0.38 0.56 0.04 0.81 ]
[0.64 0.10 0.06 1.00 0.13 0.02 0.14 0.44 0.43 0.14 ]
[0.98 0.01 0.76 0.13 1.00 0.21 0.94 0.64 0.04 0.60 ]
[0.13 0.88 0.49 0.02 0.21 1.00 0.01 0.47 0.86 0.51 ]
[0.81 0.53 0.38 0.14 0.94 0.01 1.00 0.90 0.40 0.78 ]
[0.11 0.53 0.56 0.44 0.64 0.47 0.90 1.00 0.00 0.28 ]
[0.93 0.52 0.04 0.43 0.04 0.86 0.40 0.00 1.00 0.98 ]
[0.50 0.19 0.81 0.14 0.60 0.51 0.78 0.28 0.98 1.00 ]
];
